
[00:00:00.000 --> 00:00:05.400]  壽苦戰的時候說了耶穌受死當時的三個神跡
[00:00:05.400 --> 00:00:08.440]  還記不記得其實我說不止三個神跡
[00:00:08.440 --> 00:00:09.800]  是有四個的
[00:00:09.800 --> 00:00:13.640]  不過一次過說完四個就不夠時間了
[00:00:13.640 --> 00:00:19.240]  因為每個神跡都還要多一點時間去深入思想
[00:00:19.240 --> 00:00:23.240]  也沒有機會讓我們沉澱
[00:00:23.240 --> 00:00:28.560]  聽著聽著就很容易會有一種熟齡的飽飽滯滯
[00:00:28.560 --> 00:00:34.880]  所以第四個神跡今天才包括在一起
[00:00:34.880 --> 00:00:37.440]  因為第四個神跡是說到
[00:00:37.440 --> 00:00:42.360]  墳墓打開的聖徒會出來
[00:00:42.360 --> 00:00:44.040]  但是先不出來
[00:00:44.040 --> 00:00:46.840]  到耶穌復活的時候才出來
[00:00:46.840 --> 00:00:54.240]  所以有一半是屬於復活節主日那一天的神跡
[00:00:54.240 --> 00:00:58.440]  所以今天才再和大家一起思想
[00:00:58.440 --> 00:01:00.440]  我們再一起祈禱
[00:01:28.480 --> 00:01:38.280]  今天我們在神理的話語裏再次重申我們的認訊
[00:01:38.280 --> 00:01:43.320]  也將這種認訊帶給整個世界
[00:01:43.320 --> 00:01:45.840]  全部的人類
[00:01:45.840 --> 00:01:51.640]  我們自己當然更加需要被主你肯定
[00:01:51.640 --> 00:01:53.640]  被聖靈你教導
[00:01:53.640 --> 00:01:58.040]  所以今天在這裏一起慶祝的時候
[00:01:58.040 --> 00:02:00.040]  一起紀念的時候
[00:02:00.040 --> 00:02:04.360]  就帶著這一種心裏的喜樂
[00:02:04.360 --> 00:02:07.680]  帶著一種從上而來的喜樂
[00:02:07.680 --> 00:02:09.880]  主我們跟從祢
[00:02:09.880 --> 00:02:11.720]  祈求祂奉耶穌的名
[00:02:11.720 --> 00:02:13.720]  阿們
[00:02:13.720 --> 00:02:18.120]  那麼耶穌在復活的那一天
[00:02:18.120 --> 00:02:21.080]  究竟又有什麼神跡呢
[00:02:21.080 --> 00:02:24.880]  其實大家如果是信主一段時間
[00:02:24.880 --> 00:02:27.400]  一定聽過很多讀過很多
[00:02:27.400 --> 00:02:31.280]  如果在在已經有些信了主五十年的
[00:02:31.280 --> 00:02:35.760]  你每年都起碼聽一次耶穌復活的訊息
[00:02:35.760 --> 00:02:40.000]  有時還不止一次
[00:02:40.000 --> 00:02:43.800]  因為預備復活節都有一段時間
[00:02:43.800 --> 00:02:47.440]  先預備御苦期
[00:02:47.440 --> 00:02:52.520]  已經一路思想耶穌的受苦、受死和復活
[00:02:52.520 --> 00:02:55.400]  所以大家都已經聽很多
[00:02:55.400 --> 00:02:57.360]  就算信主不是很久
[00:02:57.360 --> 00:02:59.360]  就算在在有些朋友
[00:02:59.360 --> 00:03:04.840]  你說未正式信耶穌就是神就是救主也好
[00:03:04.840 --> 00:03:07.680]  你都一定知道復活節是放假
[00:03:07.680 --> 00:03:09.680]  你就已經知道是什麼事了
[00:03:09.680 --> 00:03:13.040]  復活節放假尤其是星期日
[00:03:13.040 --> 00:03:15.240]  就是因為這個神跡
[00:03:15.240 --> 00:03:19.520]  這個神跡就是耶穌的墳墓是空的
[00:03:19.520 --> 00:03:21.600]  這個空墳墓加上
[00:03:21.600 --> 00:03:26.440]  原封未動的果絲布和頭巾
[00:03:26.440 --> 00:03:30.080]  這裡可以叫做三個神跡
[00:03:30.080 --> 00:03:33.560]  不過這三個神跡我們將它合二為一
[00:03:33.560 --> 00:03:35.560]  是一個神跡
[00:03:35.560 --> 00:03:37.560]  剛才我們讀了一個經文
[00:03:37.560 --> 00:03:38.920]  約翰福音那裡就說
[00:03:38.920 --> 00:03:42.720]  西門彼得跟著那個門徒一路跑
[00:03:42.720 --> 00:03:47.760]  因為聽見耶穌的屍體不見了
[00:03:47.760 --> 00:03:49.760]  走到他的墳墓
[00:03:49.760 --> 00:03:52.680]  這個彼得很大膽
[00:03:52.680 --> 00:03:56.280]  之前那個門徒沒有那麼大膽
[00:03:56.280 --> 00:03:57.360]  不太敢進去
[00:03:57.360 --> 00:03:59.960]  站在門口那裏先裝一下
[00:03:59.960 --> 00:04:01.960]  彼得很大膽
[00:04:01.960 --> 00:04:05.000]  一跑進去就衝進墳墓裏面
[00:04:05.000 --> 00:04:06.240]  見到什麼呢
[00:04:06.240 --> 00:04:08.960]  見到細麻布還放在那裏
[00:04:08.960 --> 00:04:14.160]  這個細麻布就是包著耶穌的屍體的那塊布
[00:04:14.160 --> 00:04:15.800]  還放在那裏
[00:04:15.800 --> 00:04:18.080]  是原封不動的放在那裏
[00:04:18.080 --> 00:04:20.680]  好像是你看電影看過
[00:04:20.680 --> 00:04:23.000]  或者我不知道你自己有沒有做過
[00:04:23.000 --> 00:04:25.000]  你假裝睡覺
[00:04:25.000 --> 00:04:27.640]  你假裝在床上睡覺
[00:04:27.640 --> 00:04:29.080]  有時候看電影看過
[00:04:29.080 --> 00:04:31.360]  很頑皮的那些偷偷地
[00:04:31.360 --> 00:04:34.360]  不讓家人知道
[00:04:34.360 --> 00:04:36.360]  走出街晚上去玩
[00:04:36.360 --> 00:04:38.360]  弄兩個枕頭
[00:04:38.360 --> 00:04:40.360]  然後用被子蓋著
[00:04:40.360 --> 00:04:42.360]  好像有個人在睡覺
[00:04:42.360 --> 00:04:46.320]  有時候那些偵探片、間諜片
[00:04:46.320 --> 00:04:48.320]  有殺手來的時候
[00:04:48.320 --> 00:04:50.320]  就以為有個人睡覺
[00:04:50.320 --> 00:04:52.320]  一把機關槍掃過去
[00:04:52.320 --> 00:04:55.720]  掀出來看看是不是真的死了
[00:04:55.720 --> 00:04:57.720]  原來只有枕頭被鋪著
[00:04:57.720 --> 00:05:01.160]  大家記得這種情景
[00:05:01.160 --> 00:05:03.160]  這種情節
[00:05:03.160 --> 00:05:05.160]  就是這種情節
[00:05:05.160 --> 00:05:08.640]  那塊果絲布就好像有個人睡在那裏
[00:05:08.640 --> 00:05:12.640]  所以叫做原封不動的那塊果絲布
[00:05:12.640 --> 00:05:17.640]  然後還說看見耶穌的果頭巾
[00:05:17.640 --> 00:05:22.640]  和那個細麻布是放在一處的
[00:05:22.640 --> 00:05:24.640]  沒有放在一處的
[00:05:24.640 --> 00:05:27.640]  但是是分開的
[00:05:27.640 --> 00:05:31.640]  那個頭巾是另在一處捲著
[00:05:31.640 --> 00:05:36.640]  仍然是捲著頭的形狀放在那裏
