
[00:00:00.000 --> 00:00:02.600]  跟大家分享一個題目
[00:00:02.600 --> 00:00:05.720]  就叫「認真作主公」
[00:00:05.720 --> 00:00:08.160]  不知道大家有沒有見過這個石拱呢?
[00:00:08.160 --> 00:00:10.360]  我們看看下一張
[00:00:10.360 --> 00:00:11.600]  有沒有人見過?
[00:00:11.600 --> 00:00:13.560]  以前我們電腦都出來的時候
[00:00:13.560 --> 00:00:16.560]  很多年前就有一個這樣的圖畫出來
[00:00:16.560 --> 00:00:18.360]  知不知道這個石拱
[00:00:18.360 --> 00:00:21.480]  這個拱門在哪個州?
[00:00:21.480 --> 00:00:24.760]  哇!很厲害!在猶他州,沒錯
[00:00:24.760 --> 00:00:28.000]  這個其實是猶他州一個地標
[00:00:28.000 --> 00:00:29.800]  有沒有人去過?
[00:00:29.800 --> 00:00:32.800]  我們去看看,很多人沒有去過
[00:00:59.800 --> 00:01:03.120]  這個石拱叫做「Delicate Art」
[00:01:03.120 --> 00:01:05.320]  或者叫做「精緻石拱」
[00:01:05.320 --> 00:01:07.280]  無論怎麼翻譯都好
[00:01:07.280 --> 00:01:10.920]  剛才說過,這個是猶他州的地標
[00:01:10.920 --> 00:01:13.520]  很多遊客會用這個石拱
[00:01:13.520 --> 00:01:15.800]  去猜猜這個石拱是哪一種?
[00:01:15.800 --> 00:01:18.840]  這個石拱的名字叫做「Delicate Art」
[00:01:18.840 --> 00:01:21.640]  這個石拱的名字叫做「Delicate Art」
[00:01:21.640 --> 00:01:24.560]  這個石拱的名字叫做「Delicate Art」
[00:01:24.560 --> 00:01:27.280]  這個石拱的名字叫做「Delicate Art」
[00:01:27.280 --> 00:01:30.080]  這個石拱的名字叫做「Delicate Art」
[00:01:30.080 --> 00:01:32.800]  這個石拱的名字叫做「Delicate Art」
[00:01:32.800 --> 00:01:35.680]  這個石拱的名字叫做「Delicate Art」
[00:01:35.680 --> 00:01:38.600]  這個石拱的名字叫做「Delicate Art」
[00:01:38.600 --> 00:01:41.600]  這個石拱的名字叫做「Delicate Art」
[00:01:41.600 --> 00:01:44.600]  這個石拱的名字叫做「Delicate Art」
[00:01:44.600 --> 00:01:47.600]  這個石拱的名字叫做「Delicate Art」
[00:01:47.600 --> 00:01:50.600]  這個石拱的名字叫做「Delicate Art」
[00:01:50.600 --> 00:01:53.600]  這個石拱的名字叫做「Delicate Art」
[00:01:53.600 --> 00:01:56.600]  這個石拱的名字叫做「Delicate Art」
[00:01:56.600 --> 00:01:59.600]  這個石拱的名字叫做「Delicate Art」
[00:01:59.600 --> 00:02:02.600]  這個石拱的名字叫做「Delicate Art」
[00:02:02.600 --> 00:02:05.600]  這個石拱的名字叫做「Delicate Art」
[00:02:05.600 --> 00:02:08.600]  這個石拱的名字叫做「Delicate Art」
[00:02:08.600 --> 00:02:11.600]  這個石拱的名字叫做「Delicate Art」
[00:02:11.600 --> 00:02:14.600]  這個石拱的名字叫做「Delicate Art」
[00:02:14.600 --> 00:02:17.600]  這個石拱的名字叫做「Delicate Art」
[00:02:17.600 --> 00:02:20.600]  這個石拱的名字叫做「Delicate Art」
[00:02:20.600 --> 00:02:23.600]  這個石拱的名字叫做「Delicate Art」
[00:02:23.600 --> 00:02:26.600]  這個石拱的名字叫做「Delicate Art」
[00:02:26.600 --> 00:02:29.600]  這個石拱的名字叫做「Delicate Art」
[00:02:29.600 --> 00:02:32.600]  這個石拱的名字叫做「Delicate Art」
[00:02:32.600 --> 00:02:35.600]  這個石拱的名字叫做「Delicate Art」
[00:02:35.600 --> 00:02:38.600]  這個石拱的名字叫做「Delicate Art」
[00:02:38.600 --> 00:02:41.600]  這個石拱的名字叫做「Delicate Art」
[00:02:41.600 --> 00:02:44.600]  這個石拱的名字叫做「Delicate Art」
[00:02:44.600 --> 00:02:47.600]  這個石拱的名字叫做「Delicate Art」
[00:02:47.600 --> 00:02:50.600]  這個石拱的名字叫做「Delicate Art」
[00:02:50.600 --> 00:02:53.600]  這個石拱的名字叫做「Delicate Art」
[00:02:53.600 --> 00:02:56.600]  這個石拱的名字叫做「Delicate Art」
[00:02:56.600 --> 00:02:59.600]  這個石拱的名字叫做「Delicate Art」
[00:02:59.600 --> 00:03:02.600]  這個石拱的名字叫做「Delicate Art」
