
[00:00:00.000 --> 00:00:03.920]  今天我想和大家分享的題目叫「我已經看見了」
[00:00:03.920 --> 00:00:05.460]  在整個過程中
[00:00:05.460 --> 00:00:07.700]  在福音書的清晨那段時間
[00:00:07.700 --> 00:00:08.840]  我很想問
[00:00:08.840 --> 00:00:11.680]  究竟穆達拉的瑪利亞
[00:00:11.680 --> 00:00:14.480]  彼得和約翰
[00:00:14.480 --> 00:00:17.800]  他們究竟看見了什麼?
[00:00:17.800 --> 00:00:19.720]  他們看到了什麼呢?
[00:00:19.720 --> 00:00:21.720]  我們試試熟悉的去看
[00:00:21.720 --> 00:00:23.920]  第一個就是穆達拉的瑪利亞
[00:00:23.920 --> 00:00:26.280]  我們看到瑪利亞很愛主耶穌
[00:00:26.280 --> 00:00:27.380]  在清晨那段時間
[00:00:27.380 --> 00:00:29.800]  甚至可能天還未亮的那段時間
[00:00:29.800 --> 00:00:32.120]  他走到墳墓那裡
[00:00:32.120 --> 00:00:35.920]  當然他的心意是很想為耶穌做多一件事
[00:00:35.920 --> 00:00:39.580]  讓他的遺體可以有些香膏抹上去
[00:00:39.580 --> 00:00:41.440]  但當他到了那段時間
[00:00:41.440 --> 00:00:46.960]  聖經記載他看見石頭從墳墓裏面流開
[00:00:46.960 --> 00:00:48.600]  他透過這件事情
[00:00:48.600 --> 00:00:51.660]  整件事情裏面對於穆達拉的瑪利亞那段時間
[00:00:51.660 --> 00:00:54.440]  似乎他的重點就是石頭
[00:00:54.440 --> 00:00:56.140]  他只是看見石頭
[00:00:56.140 --> 00:00:59.320]  他看不到石頭背後發生了什麼事情
[00:00:59.320 --> 00:01:01.920]  不知道今天李同學會不會
[00:01:01.920 --> 00:01:03.680]  在疫情當中
[00:01:03.680 --> 00:01:06.960]  有時候我們失去了生命的焦點
[00:01:06.960 --> 00:01:08.520]  有時候我們只是看表面的
[00:01:08.520 --> 00:01:11.160]  我們看不到裏面的心意
[00:01:11.160 --> 00:01:13.560]  有時候我們看見次要的
[00:01:13.560 --> 00:01:15.440]  其實整個空的墳墓
[00:01:15.440 --> 00:01:16.920]  石頭是很次要的
[00:01:16.920 --> 00:01:18.520]  但有時候我們看見次要的
[00:01:18.520 --> 00:01:20.680]  卻看不到重要的
[00:01:20.680 --> 00:01:23.240]  又或者我們只是看到一些小部分的東西
[00:01:23.240 --> 00:01:28.160]  而看不到更大更大的圖畫
[00:01:28.160 --> 00:01:31.680]  這段時間我們都是在疫情當中
[00:01:31.680 --> 00:01:35.840]  我不知道在新冠肺炎肆虐的時間
[00:01:35.840 --> 00:01:38.040]  你看見了什麼
[00:01:38.040 --> 00:01:40.880]  我最近探望了一位老人家
[00:01:40.880 --> 00:01:44.240]  他心裏面有很多的擔憂
[00:01:44.240 --> 00:01:46.080]  他跟我說
[00:01:46.080 --> 00:01:49.360]  其實他在信與不信之間
[00:01:49.360 --> 00:01:50.840]  在陪伴著
[00:01:50.840 --> 00:01:53.840]  他說這個神是不是真的有一個神呢?
[00:01:53.840 --> 00:01:57.240]  為什麼會讓這個疫情發生呢?
[00:01:57.240 --> 00:01:58.720]  他在留意
[00:01:58.720 --> 00:02:00.640]  他說你看看疫情
[00:02:00.640 --> 00:02:01.760]  他很厲害
[00:02:01.760 --> 00:02:02.800]  做了統計
[00:02:02.800 --> 00:02:04.200]  報紙說什麼時候有疫情
[00:02:04.200 --> 00:02:07.360]  有多少人確診
[00:02:07.360 --> 00:02:08.040]  如果我沒有記錯
[00:02:08.040 --> 00:02:09.800]  昨天看應該有220萬
[00:02:09.800 --> 00:02:11.040]  大概這麼多
[00:02:11.040 --> 00:02:12.880]  他在看有多少人死亡
[00:02:12.880 --> 00:02:14.520]  如果有神的話
[00:02:14.520 --> 00:02:16.120]  為什麼會這樣呢?
