
[00:00:00.000 --> 00:00:01.620]  或者我們不交自己的職業
[00:00:01.620 --> 00:00:02.820]  不過人生裏面
[00:00:02.820 --> 00:00:04.780]  或許我們會面對另一些時候
[00:00:04.780 --> 00:00:05.680]  一些處境就是
[00:00:05.680 --> 00:00:07.940]  有些事情明天都要面對了
[00:00:07.940 --> 00:00:10.960]  專業史明天早上要考了
[00:00:10.960 --> 00:00:13.040]  今晚怎麼辦呢?
[00:00:13.040 --> 00:00:15.660]  死搶着不睡吧
[00:00:15.660 --> 00:00:17.340]  還是某一天睡了再算呢?
[00:00:17.340 --> 00:00:19.240]  還是想睡得眼光光呢?
[00:00:19.240 --> 00:00:22.120]  又或者不是專業史,老闆追的東西
[00:00:22.120 --> 00:00:23.960]  終於明天晚上
[00:00:23.960 --> 00:00:25.400]  不是明天晚上,明天早上
[00:00:25.400 --> 00:00:26.980]  都要見老闆了
[00:00:26.980 --> 00:00:29.140]  不是醜婦見家翁
[00:00:29.140 --> 00:00:32.140]  要有貨交給老闆
[00:00:32.140 --> 00:00:33.080]  今晚又怎麼樣呢?
[00:00:33.080 --> 00:00:34.240]  還沒說完
[00:00:34.240 --> 00:00:36.100]  可能這個人有夥伴
[00:00:36.100 --> 00:00:38.600]  但大家都是眼晴晴的那種
[00:00:38.600 --> 00:00:40.680]  或者不是任務的東西
[00:00:40.680 --> 00:00:42.220]  不是任務的東西
[00:00:42.220 --> 00:00:43.740]  可能是家裏的事
[00:00:43.740 --> 00:00:46.640]  終於要處理了
[00:00:46.640 --> 00:00:49.760]  或者都不是家裏的事
[00:00:49.760 --> 00:00:52.760]  甚至是說你跟人之間的關係
[00:00:52.760 --> 00:00:54.200]  你得罪了人
[00:00:54.200 --> 00:00:55.620]  終於要見人
[00:00:55.620 --> 00:00:57.420]  其實
[00:00:57.420 --> 00:01:00.080]  雅各在我剛纔讀的《聖經》
[00:01:00.080 --> 00:01:01.840]  正是這樣的處境
[00:01:01.840 --> 00:01:02.600]  OK
[00:01:02.600 --> 00:01:03.440]  老實說
[00:01:03.440 --> 00:01:05.040]  如果你稍微認識雅各
[00:01:05.040 --> 00:01:06.420]  你會問一個很簡單的問題
[00:01:06.420 --> 00:01:08.260]  就是我兒子經常看電影都會問的
[00:01:08.260 --> 00:01:08.820]  就是
[00:01:08.820 --> 00:01:10.040]  他好人還是壞人?
[00:01:10.040 --> 00:01:12.800]  小朋友都是這樣的
[00:01:12.800 --> 00:01:15.600]  在電影裏面他解決不了誰是好人誰是壞人
