
[00:00:00.000 --> 00:00:02.360]  所以在這個時候,很想特別問一問
[00:00:02.360 --> 00:00:04.320]  我們當中有沒有弟兄姊妹
[00:00:04.320 --> 00:00:07.760]  你今天帶了微信主的親友來我們當中的
[00:00:07.760 --> 00:00:08.660]  有沒有啊?
[00:00:08.660 --> 00:00:10.660]  可不可以舉手給我提提?
[00:00:10.660 --> 00:00:15.260]  好,感謝主,我們有幾位
[00:00:15.260 --> 00:00:16.720]  我們很感謝神
[00:00:16.720 --> 00:00:20.520]  我們看到,我們今天
[00:00:20.520 --> 00:00:24.920]  好像剛才楊伯倫弟兄跟我們分享見證的時候
[00:00:24.920 --> 00:00:26.420]  好幾次都說過
[00:00:26.420 --> 00:00:27.720]  「醒一醒吧」
[00:00:27.720 --> 00:00:29.720]  這個「醒一醒」的意思是什麼呢?
[00:00:29.720 --> 00:00:33.100]  是有一個很危險的處境
[00:00:33.100 --> 00:00:34.520]  不過很多人不知道而已
[00:00:34.520 --> 00:00:36.520]  很多人覺得我現在生活多好
[00:00:36.520 --> 00:00:39.360]  我已經人生很富足了
[00:00:39.360 --> 00:00:42.720]  我有我的職業,我有我的家庭,我有我的兒女
[00:00:42.720 --> 00:00:45.400]  有很多人以為,這就是我們的人生
[00:00:45.400 --> 00:00:46.720]  但是人生裏面
[00:00:46.720 --> 00:00:48.720]  你有地上的一切
[00:00:48.720 --> 00:00:50.720]  卻沒有了一樣最重要的
[00:00:50.720 --> 00:00:54.520]  就是上帝和你有生命的結連
[00:00:54.520 --> 00:00:57.420]  原來上帝是很願意
[00:00:57.420 --> 00:01:01.420]  來與我們恢復這種和好正常的關係
[00:01:01.420 --> 00:01:03.420]  所以我問你一個問題
[00:01:03.420 --> 00:01:05.420]  如果半夜三更你睡著了
[00:01:05.420 --> 00:01:07.420]  你最害怕的是什麼呢?
[00:01:07.420 --> 00:01:09.420]  你最害怕的是什麼呢?
[00:01:09.420 --> 00:01:11.420]  啊?
[00:01:11.420 --> 00:01:13.420]  是什麼呢?
[00:01:13.420 --> 00:01:17.420]  大聲一點
[00:01:17.420 --> 00:01:19.420]  「我睡不醒」
[00:01:19.420 --> 00:01:21.420]  即是睡著了,害怕睡不醒
[00:01:21.420 --> 00:01:24.420]  睡不醒,你父母都會叫醒你的
[00:01:24.420 --> 00:01:26.420]  兒子上學了
[00:01:26.420 --> 00:01:28.420]  半夜三更你睡著了
[00:01:28.420 --> 00:01:30.420]  你沉睡的時候
[00:01:30.420 --> 00:01:32.420]  你最害怕的是什麼呢?
[00:01:32.420 --> 00:01:34.420]  發惡夢
[00:01:34.420 --> 00:01:36.420]  你都會驚醒的
[00:01:36.420 --> 00:01:38.420]  再睡吧
[00:01:38.420 --> 00:01:40.420]  但最怕的是什麼呢?
[00:01:40.420 --> 00:01:42.420]  是火災
[00:01:42.420 --> 00:01:44.420]  而且不是小火,是大火
[00:01:44.420 --> 00:01:46.420]  起大火的時候
[00:01:46.420 --> 00:01:48.420]  第一件事你要做什麼呢?
[00:01:48.420 --> 00:01:52.420]  當然是起身吧
[00:01:52.420 --> 00:01:54.420]  有些人說起身去救火
[00:01:54.420 --> 00:01:56.420]  但我告訴大家
[00:01:56.420 --> 00:01:58.420]  我是說大火,不是小火
[00:01:58.420 --> 00:02:00.420]  如果是這樣的情況
[00:02:00.420 --> 00:02:02.420]  你當然要逃命
[00:02:02.420 --> 00:02:04.420]  不過
[00:02:04.420 --> 00:02:06.420]  你當然要叫醒你其他家人
[00:02:06.420 --> 00:02:08.420]  你不要自己走
[00:02:08.420 --> 00:02:10.420]  你要叫醒其他人
[00:02:10.420 --> 00:02:12.420]  所以為什麼我們要叫醒那些沉睡的人
[00:02:12.420 --> 00:02:14.420]  因為逃命是很重要的
[00:02:14.420 --> 00:02:16.420]  我們今天
[00:02:16.420 --> 00:02:18.420]  為什麼你看到那些教徒
[00:02:18.420 --> 00:02:20.420]  和你交朋友
[00:02:20.420 --> 00:02:22.420]  帶你來教會
[00:02:22.420 --> 00:02:24.420]  你會發覺
[00:02:24.420 --> 00:02:26.420]  他們有一個心在裡面
[00:02:26.420 --> 00:02:28.420]  他們很愛你
[00:02:28.420 --> 00:02:30.420]  他們很關心你
[00:02:30.420 --> 00:02:32.420]  他們因為知道
[00:02:32.420 --> 00:02:34.420]  這是人生的至寶
[00:02:34.420 --> 00:02:36.420]  一個人有地上任何東西
[00:02:36.420 --> 00:02:38.420]  但就是沒有了耶穌
[00:02:38.420 --> 00:02:40.420]  沒有了上帝的話
[00:02:40.420 --> 00:02:42.420]  我告訴你
[00:02:42.420 --> 00:02:44.420]  這一切就是歸於徒然
[00:02:44.420 --> 00:02:46.420]  如果我們今天的生命裡
[00:02:46.420 --> 00:02:48.420]  你能夠認識我們這位主耶穌
[00:02:48.420 --> 00:02:50.420]  你的生命就有真正的盼望
[00:02:50.420 --> 00:02:52.420]  希伯來書
