
[00:00:00.000 --> 00:00:06.160]  我們讀一段聖經在《格列多後書》第四章7到第12節
[00:00:06.160 --> 00:00:09.240]  保羅在這裏說我們有這寶貝放在瓦器裏
[00:00:09.240 --> 00:00:13.760]  要顯明這莫大的能力是出於神不是出於我們
[00:00:13.760 --> 00:00:18.800]  我們四面受敵卻不被困住心裏作難卻不知失望
[00:00:18.800 --> 00:00:22.880]  遭逼迫卻不被丟棄打倒了卻不知死亡
[00:00:22.880 --> 00:00:24.720]  身上藏帶了耶穌的死
[00:00:24.720 --> 00:00:28.160]  使耶穌的生也顯明在我們身上
[00:00:28.160 --> 00:00:32.120]  因爲我們這活着的人是常爲耶穌被教於死地
[00:00:32.120 --> 00:00:36.680]  使耶穌的生在我們這必死的身上顯明出來
[00:00:36.680 --> 00:00:39.200]  這樣看來死是在我們身上發動
[00:00:39.200 --> 00:00:42.120]  生卻是在你們身上發動
[00:00:42.120 --> 00:00:44.560]  我們就讀到這裏
[00:00:44.560 --> 00:00:50.160]  我想壓力對我們現代人來講不是一個陌生的名詞
[00:00:50.160 --> 00:00:56.960]  我們人從小長大似乎都一直在不同的壓力下成長
[00:00:56.960 --> 00:01:02.640]  所以有人說其實我們不是長大成熟而是壓大成熟的
[00:01:02.640 --> 00:01:08.320]  在工作上我們每一天要面對從老百同事業績而來的壓力
[00:01:08.320 --> 00:01:12.800]  常常叫我們忙得透不過氣來不是嗎
[00:01:12.800 --> 00:01:15.680]  若是失業了壓力更大
[00:01:15.680 --> 00:01:21.360]  在家庭當中我們每天要面對不同的家庭人際關係的衝突
[00:01:21.360 --> 00:01:27.680]  常常讓我們的情緒無處發泄也感覺到壓力重重
[00:01:27.680 --> 00:01:31.040]  不但在工作上家庭上我們面對各樣的壓力
[00:01:31.040 --> 00:01:34.680]  很多時候壓力也從環境而來
[00:01:34.680 --> 00:01:39.560]  根據統計因着生活環境改變所帶來的壓力
[00:01:39.560 --> 00:01:43.680]  親人過世是居首位
[00:01:43.680 --> 00:01:46.520]  離婚是第二位
[00:01:46.520 --> 00:01:51.440]  令人驚訝的是結婚竟然高居第七位
[00:01:51.440 --> 00:01:55.480]  難怪新婚的夫婦常常三天一小草五天一大草
[00:01:55.480 --> 00:02:02.840]  我們就看見生活環境的改變常常帶給我們心裏面的一些壓力
[00:02:02.840 --> 00:02:08.320]  所以我們看見其實壓力是我們日常生活中的一部分
[00:02:08.320 --> 00:02:12.840]  不只是你有壓力我也遇到各式各樣不同的壓力
[00:02:12.840 --> 00:02:18.000]  作爲一個基督徒神從來沒有讓我們對壓力有免疫
[00:02:18.000 --> 00:02:23.600]  事實上如果你讀聖經連主耶穌基督祂自己在地上的時候
[00:02:23.600 --> 00:02:28.600]  祂的心靈祂的肉體也面對極大的壓力不是嗎
[00:02:28.600 --> 00:02:36.040]  否則的話主耶穌就不會在克西馬林園那個禱告這麼迫切大聲的禱告
[00:02:36.040 --> 00:02:39.280]  事實上說當祂在克西馬林園禱告的時候
[00:02:39.280 --> 00:02:43.000]  那個時候漢族如雪點一下掉下來
[00:02:43.000 --> 00:02:46.320]  你可以看見祂的壓力有多大
[00:02:46.320 --> 00:02:48.320]  所以從這個角度來講
[00:02:48.320 --> 00:02:51.440]  當我們面對每天生活這麼多的壓力的時候
[00:02:51.440 --> 00:02:53.840]  其實也是蠻正常的不是嗎
[00:02:53.840 --> 00:02:57.520]  跟你們說你很正常
[00:02:57.520 --> 00:03:01.920]  我們看見使徒保羅的一生也是充滿了壓力
[00:03:01.920 --> 00:03:06.760]  你千萬不要以爲使徒保羅在地上超級大講員人見人愛
[00:03:06.760 --> 00:03:08.400]  其實不是
[00:03:08.400 --> 00:03:11.120]  事實上他四處去傳福音的時候
[00:03:11.120 --> 00:03:15.080]  他是一個極不受歡迎的人物
[00:03:15.080 --> 00:03:17.040]  外邦人不喜歡他
[00:03:17.040 --> 00:03:18.560]  因爲他是猶太人
[00:03:18.560 --> 00:03:20.120]  猶太人不喜歡他
[00:03:20.120 --> 00:03:21.960]  因爲他是信耶穌的
[00:03:21.960 --> 00:03:24.520]  所以難怪在剛纔所讀的經文當中
[00:03:24.520 --> 00:03:30.280]  保羅說他所處的環境是個四面受敵的環境
[00:03:30.280 --> 00:03:34.480]  各種的壓力內外夾攻而來
[00:03:34.480 --> 00:03:37.080]  但感謝神我們看見這些壓力
[00:03:37.080 --> 00:03:42.920]  不但沒有讓保羅好像造成各樣的負擔跟重擔
[00:03:42.920 --> 00:03:49.560]  反而是成爲他一種動力繼續不斷的向前奔跑
