
[00:00:00.000 --> 00:00:05.060]  很快,今天已經講到已不鎖書的第四講
[00:00:05.060 --> 00:00:09.240]  前面那三講,我們講完了第一章
[00:00:09.240 --> 00:00:13.580]  第一章保羅告訴我們,我們都是很有福氣的人
[00:00:13.580 --> 00:00:19.740]  神是充充滿滿地將他的福氣賜給我們每一個基督徒
[00:00:19.740 --> 00:00:24.280]  然後在第一章的尾,保羅就為我們禱告
[00:00:24.280 --> 00:00:28.080]  要我們明白自己的身份、自己的地位
[00:00:28.080 --> 00:00:31.840]  能夠將自己的身份地位活出來
[00:00:31.840 --> 00:00:36.300]  去到第二章,保羅又一次講我們的身份
[00:00:36.300 --> 00:00:40.960]  這次很有趣,是由我們以前的身份講起
[00:00:40.960 --> 00:00:43.300]  你說以前有什麼身份?
[00:00:43.300 --> 00:00:47.040]  以前的身份就是我們每一個都是死人一個
[00:00:47.040 --> 00:00:50.300]  死在過犯罪惡的裡面
[00:00:50.300 --> 00:00:52.680]  所以我叫今天的這篇道
[00:00:52.680 --> 00:00:55.840]  叫做「行屍走肉都會復活」
[00:00:55.840 --> 00:01:00.640]  我們認識耶穌基督之前,我們每個人都是行屍走肉
[00:01:00.640 --> 00:01:05.680]  是因為神的憐憫、神的愛、神的恩典
[00:01:05.680 --> 00:01:09.740]  以致我們能夠在靈裡面復活
[00:01:09.740 --> 00:01:13.700]  我們知道已不鎖書是給基督徒的一本書
[00:01:13.700 --> 00:01:16.000]  但是在已不鎖書的第二章
[00:01:16.000 --> 00:01:18.440]  清清楚楚地告訴我們
[00:01:18.440 --> 00:01:22.000]  一個人如何能夠得救
[00:01:22.000 --> 00:01:25.980]  一個人是經過三個階段來得救
[00:01:25.980 --> 00:01:28.460]  第一個階段是過去的
[00:01:28.460 --> 00:01:31.460]  已不鎖書的二章一至三節
[00:01:31.460 --> 00:01:34.140]  告訴我們救贖的需要
[00:01:34.140 --> 00:01:38.080]  每一個罪人都需要被救贖
[00:01:38.080 --> 00:01:42.480]  然後第二個階段是講到現在
[00:01:42.480 --> 00:01:45.900]  是已不鎖書第二章四至九節
[00:01:45.900 --> 00:01:48.040]  除了第七節
[00:01:48.040 --> 00:01:50.900]  告訴我們救贖的途徑
[00:01:50.900 --> 00:01:53.780]  如何能夠被救贖
[00:01:53.780 --> 00:01:57.700]  然後第三個階段是告訴我們將來的事
[00:01:57.700 --> 00:02:00.600]  已不鎖書的二章七節和十節
[00:02:00.600 --> 00:02:05.660]  告訴我們救贖得救之後的結果是怎樣
[00:02:05.660 --> 00:02:10.620]  我們應該有什麼行為、有什麼表示
[00:02:10.620 --> 00:02:13.360]  我們可以一起來看看
[00:02:13.360 --> 00:02:17.080]  第一點就是救贖的需要
[00:02:17.080 --> 00:02:20.040]  為什麼我們需要別人來救贖自己?
[00:02:20.040 --> 00:02:21.240]  保羅告訴我們
[00:02:21.240 --> 00:02:22.720]  我們每個人都是死人
[00:02:22.720 --> 00:02:26.840]  一個死在罪惡過犯的裡面
[00:02:26.840 --> 00:02:30.260]  試問一個死人如何能夠救自己
[00:02:30.260 --> 00:02:33.800]  所以我們每個人都需要是耶穌基督的救贖
[00:02:33.800 --> 00:02:36.440]  我們不能夠自己救自己
[00:02:36.440 --> 00:02:38.340]  不知道大家是否記得
[00:02:38.340 --> 00:02:40.020]  十年前左右
[00:02:40.020 --> 00:02:45.080]  在智利有一個礦場出現了一件意外
[00:02:45.080 --> 00:02:50.980]  就是有33個工人被困在地底的一個礦場裡面
[00:02:50.980 --> 00:02:56.780]  原來這個地底的礦場距離地面有2300呎
[00:02:56.780 --> 00:03:00.140]  2300呎就是差不多半里的路
