
[00:00:00.000 --> 00:00:06.000]  一路敬拜的時候,我很感受到神對我們說話
[00:00:06.000 --> 00:00:16.000]  的確,神的教會是上帝命定我們改變這個世界黑暗的現況
[00:00:16.000 --> 00:00:23.000]  去將陰間和死亡的弱勢交給一切認順主耶穌是基督的群體
[00:00:23.000 --> 00:00:27.000]  今天我們作為主,這麼有能力的群體
[00:00:27.000 --> 00:00:33.000]  但有時我們竟然意識不到我們有這麼大改變世界的能力
[00:00:33.000 --> 00:00:38.000]  我們自己很多時候矮化,我們認為我們自己什麼都做不到
[00:00:38.000 --> 00:00:45.000]  但主其實樂意讓教會去改變今天每一個人的生命
[00:00:45.000 --> 00:00:47.000]  我們的家庭,我們的社會
[00:00:47.000 --> 00:00:51.000]  今天,我也很希望透過今天的訊息
[00:00:51.000 --> 00:00:57.000]  讓神的話語在我們當中,真的清楚的說明祂的心意
[00:00:57.000 --> 00:00:59.000]  我們一起禱告,仰望祂
[00:00:59.000 --> 00:01:04.000]  主,我們知道祢為父的心,很想祢的兒女歸向祢
[00:01:04.000 --> 00:01:09.000]  很想世界更多人歸向創造我們的父神
[00:01:09.000 --> 00:01:14.000]  主,今天讓我們能夠配合祢永恆的心意
[00:01:14.000 --> 00:01:22.000]  我們去呼籲人進入福音改變生命的奇妙大能
[00:01:22.000 --> 00:01:27.000]  主,今天我求祢,讓我們不單單在教會裡復興
[00:01:27.000 --> 00:01:33.000]  而是讓我們能夠讓整個世界,我們的社會能夠改變
[00:01:33.000 --> 00:01:39.000]  主,祢已經賜給教會這麼奇妙強力的權柄
[00:01:39.000 --> 00:01:44.000]  屬靈和世界的權柄,可以改變一切
[00:01:44.000 --> 00:01:50.000]  因為祢樂意叫祢的群體,行昔日禮在地上更大的事
[00:01:50.000 --> 00:01:53.000]  求祢今天,真的加力給我們
[00:01:53.000 --> 00:01:56.000]  讓我們見到這個奇妙的大能
[00:01:56.000 --> 00:02:03.000]  竟然可以在我們這群本來很卑微,很軟弱的人身上顯得剛強
[00:02:03.000 --> 00:02:06.000]  祂告奉基督耶穌的聖名,阿們
[00:02:06.000 --> 00:02:12.000]  剛才主席也跟我們說了很多次,今天是父親節
[00:02:12.000 --> 00:02:16.000]  2004年,因為我翻查了一些講章
[00:02:16.000 --> 00:02:19.000]  我發現2004年就是講父親節的信息
[00:02:19.000 --> 00:02:22.000]  今天也是講父親節的信息
[00:02:22.000 --> 00:02:28.000]  算一算2004年就是我第一個拿到父親學牌的日子
[00:02:28.000 --> 00:02:31.000]  因為我的女兒剛剛出生
[00:02:31.000 --> 00:02:36.000]  6月,女兒那時候2個月多,越大了
[00:02:36.000 --> 00:02:40.000]  我在同一個講台上講父親節的信息
[00:02:40.000 --> 00:02:43.000]  我記得是講父親的四個面
[00:02:43.000 --> 00:02:51.000]  我們怎樣面對天父,面對自己,面對太太,面對兒女
[00:02:51.000 --> 00:02:54.000]  八年抗戰,八年了
[00:02:54.000 --> 00:02:58.000]  今天我自己站在這裡的時間,其實有很多感受
[00:02:58.000 --> 00:03:02.000]  我亦想想,我做了這麼多年,合不合格呢
[00:03:02.000 --> 00:03:07.000]  我很感謝昨天,我講道的時候,電話一直在震
