
[00:00:00.000 --> 00:00:01.560]  過去一段時間我和大家說
[00:00:01.560 --> 00:00:04.860]  我會用《使徒信經》成為一個框框
[00:00:04.860 --> 00:00:08.380]  也是希望能夠幫助我們在信仰上
[00:00:08.380 --> 00:00:11.860]  能夠打穩一個好的根基
[00:00:11.860 --> 00:00:13.860]  一個很穩固的根基
[00:00:13.860 --> 00:00:15.860]  就是因著這個穩固的根基
[00:00:15.860 --> 00:00:17.860]  將來我們可以去建立
[00:00:17.860 --> 00:00:19.860]  我們信仰的人生的時候
[00:00:19.860 --> 00:00:23.660]  我們可以更加經得起更多的風浪
[00:00:23.660 --> 00:00:26.920]  最近我家旁邊正在建造一座新的大廈
[00:00:26.920 --> 00:00:28.560]  以前是一座矮的大廈
[00:00:28.560 --> 00:00:30.560]  現在變成一座高的大廈
[00:00:30.560 --> 00:00:32.560]  令到我現在沒有了視野
[00:00:32.560 --> 00:00:34.560]  沒有東西可以看到
[00:00:34.560 --> 00:00:36.560]  很快就看見別人的窗
[00:00:36.560 --> 00:00:39.560]  我發覺現在建樓真的很快
[00:00:39.560 --> 00:00:42.560]  快到我都覺得很快
[00:00:42.560 --> 00:00:45.560]  因為我女兒以前是讀工程的
[00:00:45.560 --> 00:00:47.560]  所以我經常問我女兒
[00:00:47.560 --> 00:00:49.560]  女兒建法穩不穩固
[00:00:49.560 --> 00:00:51.560]  好像一會兒就建完
[00:00:51.560 --> 00:00:53.560]  她說應該穩固的
[00:00:53.560 --> 00:00:54.560]  打了樁
[00:00:54.560 --> 00:00:56.560]  樁很重要
[00:00:56.560 --> 00:00:57.560]  根基很重要
[00:00:57.560 --> 00:00:59.560]  我們的信仰根基很重要
[00:00:59.560 --> 00:01:01.560]  換言之我們在今天這個世代裏
[00:01:01.560 --> 00:01:03.560]  特別是這個末世裏
[00:01:03.560 --> 00:01:05.560]  可能有很多的假先知
[00:01:05.560 --> 00:01:08.560]  假師傅會出來說話的時候
[00:01:08.560 --> 00:01:10.560]  究竟我們怎樣去回應
[00:01:10.560 --> 00:01:13.560]  今天可能充斥在整個周圍
[00:01:13.560 --> 00:01:16.560]  甚至充斥在整個電腦的世界當中
[00:01:16.560 --> 00:01:18.560]  來去發表可能很多人
[00:01:18.560 --> 00:01:22.560]  他們自己對信仰那種的了解
[00:01:22.560 --> 00:01:24.560]  我們怎樣去回應呢
[00:01:24.560 --> 00:01:27.560]  當然我們亦都不敢說我們自己懂得所有東西
[00:01:27.560 --> 00:01:30.560]  我們仍然帶著謙卑的心來聆聽
[00:01:30.560 --> 00:01:33.560]  聆聽之後我們仍然繼續自己回到整個話語
[00:01:33.560 --> 00:01:35.560]  來去再思考
[00:01:35.560 --> 00:01:37.560]  然後再作出回應都不出奇
[00:01:37.560 --> 00:01:38.560]  不過最低限度
[00:01:38.560 --> 00:01:40.560]  如果我們有一個好的根基
[00:01:40.560 --> 00:01:42.560]  在根基再建立的時候
[00:01:42.560 --> 00:01:45.560]  或許我們再建上這間屋
[00:01:45.560 --> 00:01:48.560]  都會更加的穩固
[00:01:48.560 --> 00:01:50.560]  免至被風一吹
[00:01:50.560 --> 00:01:54.560]  馬上整棟樓就會倒塌
[00:01:54.560 --> 00:01:55.560]  《小徒聖經》
[00:01:55.560 --> 00:01:56.560]  我講了三篇道
[00:01:56.560 --> 00:01:59.560]  我是將《小徒聖經》的第一步
[00:01:59.560 --> 00:02:01.560]  我信上帝全能的父
[00:02:01.560 --> 00:02:04.560]  即是創造天地的主
[00:02:04.560 --> 00:02:07.560]  我用了三篇道來了解多一點
[00:02:07.560 --> 00:02:10.560]  我們三一真神的第一位
[00:02:10.560 --> 00:02:12.560]  關於聖父的部分
[00:02:12.560 --> 00:02:14.560]  我們看到我們的聖父
[00:02:14.560 --> 00:02:17.560]  是一位聽我們祈禱的神
[00:02:17.560 --> 00:02:20.560]  因為我們知道主禱文第一句
[00:02:20.560 --> 00:02:22.560]  講到就是我們在天上的父
