
[00:00:00.000 --> 00:00:04.800]  很高興能在這裡跟大家分享一下
[00:00:04.800 --> 00:00:08.560]  《針研》裡面講人生的質素問題
[00:00:08.560 --> 00:00:10.240]  通常我做
[00:00:10.240 --> 00:00:12.760]  原來我知道我今天是做講者
[00:00:12.760 --> 00:00:15.680]  不是選那些講者
[00:00:15.680 --> 00:00:17.680]  是做講完的那些講者
[00:00:17.680 --> 00:00:19.680]  我聽到有三位講者
[00:00:19.680 --> 00:00:22.280]  原來我今天也是講者
[00:00:22.280 --> 00:00:25.400]  在這個時間講道是有點危險的
[00:00:25.400 --> 00:00:27.400]  因為我也覺得睏
[00:00:27.400 --> 00:00:33.520]  我經常都取笑自己
[00:00:33.520 --> 00:00:37.200]  我們做講者是很厲害的
[00:00:37.200 --> 00:00:39.440]  我自己做不到大物理學家
[00:00:39.440 --> 00:00:41.920]  可以幫到很多人做大物理學家
[00:00:41.920 --> 00:00:44.400]  發現地心吸力那種
[00:00:44.400 --> 00:00:47.400]  突然之間一下子打到地上
[00:00:47.400 --> 00:00:48.240]  所以不要緊的
[00:00:48.240 --> 00:00:49.640]  如果你突然之間一下子打到地上
[00:00:49.640 --> 00:00:52.800]  我們大家都很明白很理解
[00:00:52.800 --> 00:00:56.800]  做牧師也有個難處
[00:00:56.800 --> 00:00:59.560]  我發覺特別是現在這一代做牧師
[00:00:59.560 --> 00:01:03.200]  個個不懂得說爛笑話就不算是好的
[00:01:03.200 --> 00:01:06.800]  希望偶爾我也試一下講兩個
[00:01:06.800 --> 00:01:09.800]  你發覺不是很好笑
[00:01:09.800 --> 00:01:12.800]  你也捧一下場笑一下就行
[00:01:12.800 --> 00:01:16.800]  我試過在美國做翻譯
[00:01:16.800 --> 00:01:18.880]  有一次那個講員來到
[00:01:18.880 --> 00:01:20.880]  他用英文講了很長
[00:01:20.880 --> 00:01:22.400]  那個笑話很久
[00:01:22.400 --> 00:01:26.320]  他聽到最後我都不記得他其實講過什麼
[00:01:26.320 --> 00:01:28.200]  那怎樣翻譯出來呢
[00:01:28.200 --> 00:01:31.040]  他又不懂得聽中文
[00:01:31.040 --> 00:01:32.000]  我跟下面說
[00:01:32.000 --> 00:01:33.440]  他剛剛講了一個笑話
[00:01:33.440 --> 00:01:35.800]  你們大聲笑就行了
[00:01:35.800 --> 00:01:39.840]  然後大家就大聲笑
[00:01:39.840 --> 00:01:42.440]  後來我跟那個講員喫飯
[00:01:42.440 --> 00:01:45.080]  他說你們教會的反應很好
[00:01:45.080 --> 00:01:48.320]  我講了這麼長的笑話他們都明白
[00:01:48.320 --> 00:01:51.680]  但他們為什麼聽完這麼久才來笑呢
[00:01:51.680 --> 00:01:53.480]  不是馬上笑
[00:01:53.480 --> 00:01:56.320]  我都沒有告訴他們祕密在哪裡
[00:01:56.320 --> 00:01:58.800]  其實人生有很多祕密
[00:01:58.800 --> 00:02:01.640]  我希望在《針研論》裡面
[00:02:01.640 --> 00:02:05.320]  我們都講一下祕密
[00:02:05.320 --> 00:02:07.880]  我跟大家溫習一下
[00:02:07.880 --> 00:02:12.320]  我們人生能夠不斷增值是很重要的
[00:02:12.320 --> 00:02:14.640]  這個叫做可加可減的制度
[00:02:14.640 --> 00:02:16.120]  正如李鎮八德通
[00:02:16.120 --> 00:02:18.320]  你可以加錢進去
[00:02:18.320 --> 00:02:20.800]  MTR就可以減錢出來
[00:02:20.800 --> 00:02:24.520]  這個就是正式的可加可減的制度
[00:02:24.520 --> 00:02:26.480]  人生就是這樣
[00:02:26.480 --> 00:02:28.360]  你走出來拼搏的時候
[00:02:28.360 --> 00:02:32.560]  無論裡面的心靈的能量
[00:02:32.560 --> 00:02:34.240]  開心快樂的東西
[00:02:34.240 --> 00:02:36.880]  或者有些東西會磨損你
[00:02:36.880 --> 00:02:39.000]  特別現階段都是
[00:02:39.000 --> 00:02:41.400]  好像你投資任何東西
[00:02:41.400 --> 00:02:43.480]  可能你投資了一大堆東西
[00:02:43.480 --> 00:02:45.440]  誰知道突然脫鉤
[00:02:45.440 --> 00:02:47.960]  那你一大堆東西就變成一小堆東西
[00:02:47.960 --> 00:02:49.400]  或者甚至沒了東西
[00:02:49.400 --> 00:02:52.960]  過兩天它又會升回來
[00:02:52.960 --> 00:02:56.080]  我發覺現在的港元不理自己說什麼
[00:02:56.080 --> 00:03:00.200]  去到某個階段要回應現在的新聞
[00:03:00.200 --> 00:03:01.880]  我都回應一兩句
[00:03:01.880 --> 00:03:03.520]  其實脫鉤我告訴你
[00:03:03.520 --> 00:03:07.280]  我猜很快哪個國家又脫鉤
[00:03:07.280 --> 00:03:08.560]  那個國家又脫鉤
[00:03:08.560 --> 00:03:11.480]  接著他們自己就組一個新的鉤
[00:03:11.480 --> 00:03:12.280]  就是這麼簡單
[00:03:12.280 --> 00:03:13.960]  不用養窮的那些國
[00:03:13.960 --> 00:03:15.760]  現在有二十多個國家
[00:03:15.760 --> 00:03:17.960]  歐盟有二十八個
[00:03:17.960 --> 00:03:20.080]  有多少個是窮的
[00:03:20.080 --> 00:03:25.240]  英國說每個月要泵一億英鎊
[00:03:25.240 --> 00:03:27.720]  我不是老 當然是脫了出來
