
[00:00:00.000 --> 00:00:02.000]  大英姊妹午安!
[00:00:02.000 --> 00:00:08.000]  明天是母親節,是吧?
[00:00:08.000 --> 00:00:14.000]  我想邀請在座的母親你們揮揮手,好嗎?
[00:00:14.000 --> 00:00:16.000]  揮揮手,是母親的揮揮手!
[00:00:16.000 --> 00:00:19.000]  看到了,好不好?
[00:00:19.000 --> 00:00:23.000]  附近左右的大英姊妹,
[00:00:23.000 --> 00:00:29.000]  和你們身邊的母親說句祝福的說話,
[00:00:29.000 --> 00:00:30.000]  好不好?
[00:00:30.000 --> 00:00:32.000]  你認識她也好,不認識她也好,
[00:00:32.000 --> 00:00:33.000]  祝福一下她!
[00:00:33.000 --> 00:00:37.000]  當然,如果她真的是你媽媽的話,
[00:00:37.000 --> 00:00:39.000]  不如擁抱一下她,
[00:00:39.000 --> 00:00:45.000]  甚至親她一口也行!
[00:00:45.000 --> 00:00:50.000]  我相信,一年到晚,年終無憂,
[00:00:50.000 --> 00:00:53.000]  到我們成年了!
[00:00:53.000 --> 00:00:55.000]  有一句說話是這樣說的,
[00:00:55.000 --> 00:00:59.000]  「養兒一百歲,長憂九十九。」
[00:00:59.000 --> 00:01:04.000]  我相信,這就是我們的母親!
[00:01:04.000 --> 00:01:07.000]  在我們成長的過程當中,
[00:01:07.000 --> 00:01:13.000]  父母有多重要,我相信都不用多說了!
[00:01:13.000 --> 00:01:17.000]  但是,一個家庭裡面,
[00:01:17.000 --> 00:01:20.000]  其實我們還需要些什麼呢?
[00:01:20.000 --> 00:01:24.000]  有一句很古老的說話是這樣說的,
[00:01:24.000 --> 00:01:29.000]  「不以規矩,不能成方圓。」
[00:01:29.000 --> 00:01:30.000]  什麼意思呢?
[00:01:30.000 --> 00:01:33.000]  就是說,一個木匠,
[00:01:33.000 --> 00:01:35.000]  就是道木師傅,
[00:01:35.000 --> 00:01:39.000]  如果他要弄一張圓桌,
[00:01:39.000 --> 00:01:42.000]  他就一定要規,一定要圓規。
[00:01:42.000 --> 00:01:45.000]  如果他要弄一些長方形,
[00:01:45.000 --> 00:01:47.000]  正方形的傢具,
[00:01:47.000 --> 00:01:49.000]  他就要一個矩,
[00:01:49.000 --> 00:01:53.000]  就是九十度角的一把尺。
[00:01:53.000 --> 00:01:56.000]  沒有那把尺,就做不到。
