
[00:00:00.000 --> 00:00:02.000]  啟英姐妹早晨
[00:00:02.000 --> 00:00:04.000]  多謝主我們一齊敬拜
[00:00:04.000 --> 00:00:06.000]  一齊唱詩 一齊祈禱
[00:00:06.000 --> 00:00:08.000]  一齊讀神的說話
[00:00:08.000 --> 00:00:10.000]  一齊我們的生命
[00:00:10.000 --> 00:00:14.000]  被祂繼續栽培建立
[00:00:14.000 --> 00:00:18.000]  我們一齊再次思想
[00:00:18.000 --> 00:00:20.000]  這一段經文的時候
[00:00:20.000 --> 00:00:22.000]  我們再次一齊禱告
[00:00:22.000 --> 00:00:24.000]  多謝主的帶領
[00:00:24.000 --> 00:00:26.000]  多謝主的恩待
[00:00:26.000 --> 00:00:28.000]  以致我們可以
[00:00:28.000 --> 00:00:32.000]  在祢的裡面得著寶貴的
[00:00:32.000 --> 00:00:35.000]  祢的兒女的名分
[00:00:35.000 --> 00:00:38.000]  又成為主耶穌的門徒
[00:00:38.000 --> 00:00:40.000]  我們回顧昔日
[00:00:40.000 --> 00:00:42.000]  在初期的教會
[00:00:42.000 --> 00:00:44.000]  怎樣跟從祢
[00:00:44.000 --> 00:00:46.000]  怎樣侍奉祢
[00:00:46.000 --> 00:00:48.000]  怎樣向這個世界
[00:00:48.000 --> 00:00:50.000]  去見證祢的愛
[00:00:50.000 --> 00:00:52.000]  我們求聖靈
[00:00:52.000 --> 00:00:56.000]  今天同樣的教導帶領我們
[00:00:56.000 --> 00:00:58.000]  讓我們每個人的心
[00:00:58.000 --> 00:01:00.000]  都是謙卑下來
[00:01:00.000 --> 00:01:04.000]  在聖靈的真光教導
[00:01:04.000 --> 00:01:08.000]  我們繼續忠心的跟從祢
[00:01:08.000 --> 00:01:11.000]  禱告奉教救主耶穌的名
[00:01:11.000 --> 00:01:13.000]  阿們
[00:01:13.000 --> 00:01:16.000]  《士堂傳》的第六章
[00:01:16.000 --> 00:01:18.000]  都是很多時給我們
[00:01:18.000 --> 00:01:21.000]  有一個很好的參考
[00:01:21.000 --> 00:01:23.000]  尤其是很多的教會
[00:01:23.000 --> 00:01:26.000]  都會希望可以
[00:01:26.000 --> 00:01:28.000]  很多的地方都是
[00:01:28.000 --> 00:01:31.000]  學回初期的教會
[00:01:31.000 --> 00:01:33.000]  這樣來組織
[00:01:33.000 --> 00:01:35.000]  來侍奉
[00:01:35.000 --> 00:01:38.000]  來關懷弟兄姊妹
[00:01:38.000 --> 00:01:42.000]  同樣來向這個世界見證
[00:01:42.000 --> 00:01:44.000]  所以這段的
[00:01:44.000 --> 00:01:47.000]  《士堂傳》的第六章
[00:01:47.000 --> 00:01:52.000]  都有很重要的一個訊息
[00:01:52.000 --> 00:01:54.000]  大家都記得
[00:01:54.000 --> 00:01:58.000]  寧福堂也差不多要提名
[00:01:58.000 --> 00:02:00.000]  下一屆的執事
[00:02:00.000 --> 00:02:02.000]  差不多要選舉
[00:02:02.000 --> 00:02:04.000]  然後九月十一日
[00:02:04.000 --> 00:02:07.000]  就有週年的年議大會
[00:02:07.000 --> 00:02:11.000]  做這些其中的工作
[00:02:11.000 --> 00:02:13.000]  所以很自然
[00:02:13.000 --> 00:02:15.000]  我們就會在這些時間
[00:02:15.000 --> 00:02:20.000]  想起《士堂傳》的第六章
[00:02:22.000 --> 00:02:23.000]  我都記得
[00:02:23.000 --> 00:02:24.000]  我都不是第一次
[00:02:24.000 --> 00:02:26.000]  跟大家分享《士堂傳》第六章
[00:02:26.000 --> 00:02:28.000]  但是這段經文
[00:02:28.000 --> 00:02:30.000]  其實有很多不同的
[00:02:30.000 --> 00:02:33.000]  豐富的內容
[00:02:33.000 --> 00:02:36.000]  今天再跟大家思想
[00:02:36.000 --> 00:02:39.000]  這段經文怎樣教導我們
[00:02:39.000 --> 00:02:44.000]  有關於愛和和諧的服侍
[00:02:44.000 --> 00:02:47.000]  這段經文好像有講到
