
[00:00:00.000 --> 00:00:02.000]  生命樹宣教網絡
[00:00:02.000 --> 00:00:05.080]  聖經人聖經事每日同大家見面
[00:00:05.080 --> 00:00:09.480]  今天講的主題是難信之信
[00:00:09.480 --> 00:00:11.280]  四個字都懂
[00:00:11.280 --> 00:00:13.680]  什麼叫難信之信呢?
[00:00:13.680 --> 00:00:16.120]  是很難信的
[00:00:16.120 --> 00:00:17.680]  不過都信
[00:00:17.680 --> 00:00:19.040]  我的意思是這樣
[00:00:19.040 --> 00:00:20.120]  要解釋一下
[00:00:20.120 --> 00:00:21.720]  不然你不明白我寫什麼
[00:00:21.720 --> 00:00:23.040]  很難信
[00:00:23.040 --> 00:00:26.440]  不過竟然間都信
[00:00:26.440 --> 00:00:27.040]  好了
[00:00:27.040 --> 00:00:29.840]  聖經人聖經事是講聖經裡面的事件
[00:00:29.840 --> 00:00:33.360]  聖經人物主要主角當然是認識上帝
[00:00:33.360 --> 00:00:35.960]  還有裡面有關的人物
[00:00:35.960 --> 00:00:38.400]  生命樹很想大家多一點讀聖經
[00:00:38.400 --> 00:00:40.640]  我這次先看看經文
[00:00:40.640 --> 00:00:44.120]  仍然是創世紀第十五章
[00:00:44.120 --> 00:00:47.400]  你會發覺到開頭講創世就慢慢講
[00:00:47.400 --> 00:00:50.240]  因為後面將事跳得快一點
[00:00:50.240 --> 00:00:54.520]  希望可以多一點聖經故事跟大家去認識
[00:00:54.520 --> 00:00:56.080]  十五章第一節
[00:00:56.080 --> 00:00:58.240]  我要將故事很快地講
[00:00:58.240 --> 00:01:04.520]  「這時以後,耶和華在意象中有話對阿伯蘭說:
[00:01:04.520 --> 00:01:08.120]  「阿伯蘭,你不要懼怕,
[00:01:08.120 --> 00:01:11.120]  我是你的盾牌,
[00:01:11.120 --> 00:01:13.920]  必大大地賞賜你。」」
[00:01:13.920 --> 00:01:16.960]  這裡沒什麼特別解釋了
[00:01:16.960 --> 00:01:18.600]  所以我先講一下
