
[00:00:00.000 --> 00:00:05.000]  大兄姊妹平安,請我們先一起低頭祈禱
[00:00:05.000 --> 00:00:09.000]  親愛的天父,我們感謝咱們理智的恩典
[00:00:09.000 --> 00:00:18.000]  讓我們在主一的精神仍然可以在這個地方追習敬拜祢,思想祢的話語
[00:00:18.000 --> 00:00:21.000]  我們懇求聖靈保守帶領我們
[00:00:21.000 --> 00:00:27.000]  讓我們無論在現場崇拜的,或者在家裏看視頻的大兄姊妹
[00:00:27.000 --> 00:00:33.000]  都可以同感一靈,接受上帝話語的教導
[00:00:33.000 --> 00:00:39.000]  讓我們學習天國的價值觀,明白怎樣與人相處
[00:00:39.000 --> 00:00:42.000]  奉主耶穌基督的名,祈禱,阿們
[00:00:42.000 --> 00:00:51.000]  好,上個禮拜我就和大家思想過登山補訓的八福
[00:00:51.000 --> 00:00:59.000]  我希望大家還記得我指出的八福裏面其實是很強調天國的
[00:00:59.000 --> 00:01:03.000]  因為第一福和第八福都說天國是他們的
[00:01:03.000 --> 00:01:10.000]  意思就是說人生所有的福氣都是在天國裏面
[00:01:10.000 --> 00:01:15.000]  而天國的核心價值就是關係
[00:01:15.000 --> 00:01:21.000]  我們要先和上帝建立好正常的關係
[00:01:21.000 --> 00:01:27.000]  也要和其他人建立好的關係
[00:01:27.000 --> 00:01:31.000]  一旦我們成為天國的公民
[00:01:31.000 --> 00:01:36.000]  並且按照耶穌的教導去行事為人的話
[00:01:36.000 --> 00:01:41.000]  我們不單止可以享受我們在地上的生活
[00:01:41.000 --> 00:01:45.000]  並且當我們進入天堂的時候
[00:01:45.000 --> 00:01:48.000]  我們還可以得到獎賞
[00:01:48.000 --> 00:01:51.000]  在耶穌講完八福之後
[00:01:51.000 --> 00:01:55.000]  在第十三至十六節主耶穌就告訴我們
[00:01:55.000 --> 00:02:00.000]  我們活在地上是有一個使命的
[00:02:00.000 --> 00:02:03.000]  我們是世上的光和炎
[00:02:03.000 --> 00:02:07.000]  然後祂又總結告訴我們
[00:02:07.000 --> 00:02:11.000]  我們在地球上的生活目標
[00:02:11.000 --> 00:02:16.000]  應該是讓他們看見你們的好行為
[00:02:16.000 --> 00:02:22.000]  便將榮耀歸給你們在天上的父
[00:02:22.000 --> 00:02:28.000]  如果有人以為宗教信仰就好像醫院的急診部門一樣
[00:02:28.000 --> 00:02:31.000]  我們有需要的時候就來找上帝求救
[00:02:31.000 --> 00:02:36.000]  否則我們可以每日過自己想過的生活
[00:02:36.000 --> 00:02:40.000]  用世界的方法去待人處事
[00:02:40.000 --> 00:02:42.000]  如果你有這樣的想法
[00:02:42.000 --> 00:02:47.000]  我鼓勵大家留心主耶穌在這裡所講的
[00:02:47.000 --> 00:02:50.000]  作為基督的門徒
[00:02:50.000 --> 00:02:53.000]  我們的生活目標
[00:02:53.000 --> 00:03:00.000]  應該是通過善行去榮耀天上的父
[00:03:00.000 --> 00:03:06.000]  馬太在第十七至二十節當中
[00:03:06.000 --> 00:03:12.000]  首先提出了主耶穌和舊約教導的關係
[00:03:12.000 --> 00:03:17.000]  這個對第一世紀的猶太人來說是非常重要的
[00:03:17.000 --> 00:03:21.000]  因為他們都相信要進入天國
[00:03:21.000 --> 00:03:25.000]  就要進行摩西的律法
[00:03:25.000 --> 00:03:28.000]  馬太想讓他們知道
[00:03:28.000 --> 00:03:32.000]  耶穌的教導不是違反律法
[00:03:32.000 --> 00:03:37.000]  他的目的更加不是要廢除舊約的律法
[00:03:37.000 --> 00:03:46.000]  反而是要全面正確的理解和應用舊約中的教導
[00:03:46.000 --> 00:03:53.000]  此外,耶穌的使命更加是要完成舊約先知
[00:03:53.000 --> 00:03:58.000]  關於它的所有預言
[00:03:58.000 --> 00:04:04.000]  因此要成為天下公民並不是很容易
[00:04:04.000 --> 00:04:07.000]  在二十節裡說
[00:04:07.000 --> 00:04:12.000]  因為你們的義若不勝過民事和法理賽人的義
[00:04:12.000 --> 00:04:16.000]  絕不能進天國
[00:04:16.000 --> 00:04:19.000]  但我們也不用太早失望
