
[00:00:00.000 --> 00:00:03.480]  今日有好多的教會或者頂展會
[00:00:03.480 --> 00:00:06.520]  都在猜拳的工作上找不到自己的位置
[00:00:06.520 --> 00:00:09.360]  又或者是失卻了自己的位置
[00:00:09.360 --> 00:00:13.840]  想著宣教猜拳都是那些很偉大的人去
[00:00:13.840 --> 00:00:16.440]  或者有些假期的人又肯出錢去
[00:00:16.440 --> 00:00:18.000]  跟我們就沒什麼關係
[00:00:18.000 --> 00:00:19.280]  或者我們能夠做
[00:00:19.280 --> 00:00:21.000]  就是我們代討
[00:00:21.000 --> 00:00:23.120]  或者他們拿到籌款表過來的時候
[00:00:23.120 --> 00:00:25.440]  我們就奉獻一些錢
[00:00:25.440 --> 00:00:28.720]  其實我們在猜拳的工作上
[00:00:28.720 --> 00:00:32.000]  可以檢視一下自己現在是什麼位置
[00:00:32.000 --> 00:00:36.840]  過去你覺得你自己跟猜拳有什麼關係呢?
[00:00:36.840 --> 00:00:39.000]  在今年透過教會
[00:00:39.000 --> 00:00:40.560]  用不同的方法
[00:00:40.560 --> 00:00:42.520]  還有不同的機會
[00:00:42.520 --> 00:00:47.440]  給你會不會都有一些可以突破的時刻呢?
[00:00:47.440 --> 00:00:49.000]  以至你在猜拳的工作上
[00:00:49.000 --> 00:00:50.160]  你多一點的認識
[00:00:50.160 --> 00:00:52.960]  甚至是你踏前多一步呢?
[00:00:52.960 --> 00:00:55.080]  今日我特別介紹一位在聖經裡面
[00:00:55.080 --> 00:00:58.400]  被稱為「全福音的肥利」
[00:00:58.400 --> 00:01:01.800]  這是《使徒行傳》第21章8節去描述他的
[00:01:01.800 --> 00:01:03.000]  「全福音的肥利」
[00:01:03.000 --> 00:01:07.160]  他是初期教會在猜拳工作上
[00:01:07.160 --> 00:01:09.280]  一位表表者
[00:01:09.280 --> 00:01:12.040]  讓我交代一下經文的背景
[00:01:12.040 --> 00:01:13.800]  《使徒行傳》第8章
[00:01:13.800 --> 00:01:16.680]  可以這麼說是全卷師裡面
[00:01:16.680 --> 00:01:19.680]  一個很重要的轉捩點
[00:01:19.680 --> 00:01:20.680]  溫習一下
[00:01:20.680 --> 00:01:25.400]  作者在1章第4節和第5節記載耶穌復活之後
[00:01:25.400 --> 00:01:28.760]  就和門徒聚集,吩咐他們要留在耶路撒冷
[00:01:28.760 --> 00:01:30.720]  要等候父所應許的
[00:01:30.720 --> 00:01:31.400]  就是什麼?
[00:01:31.400 --> 00:01:33.880]  第5節告訴他,就是聖靈了
[00:01:33.880 --> 00:01:36.200]  第6節門徒就問耶穌
[00:01:36.200 --> 00:01:38.960]  「你復興以色列國是不是就在這個時候?」
[00:01:38.960 --> 00:01:40.240]  耶穌沒有直接回答他
[00:01:40.240 --> 00:01:44.680]  只是說那個時候日期不是你們可以知道的
[00:01:44.680 --> 00:01:47.040]  第8節,我們很熟的,一起讀
[00:01:47.040 --> 00:01:49.560]  《使徒行傳》第1章8節,1、2、3
