
[00:00:00.000 --> 00:00:04.760]  我們能夠去叫世界 叫萬國
[00:00:04.760 --> 00:00:06.760]  知道神的道路和救恩
[00:00:06.760 --> 00:00:09.160]  這是神給我們的福氣
[00:00:09.160 --> 00:00:11.420]  是賜福的一個途徑
[00:00:11.420 --> 00:00:14.900]  藉著這件事 神賜福給我們
[00:00:14.900 --> 00:00:16.900]  這是神光照我們
[00:00:16.900 --> 00:00:18.900]  我們才可以這樣做
[00:00:18.900 --> 00:00:20.900]  所以我們去傳福音
[00:00:20.900 --> 00:00:22.900]  去宣教
[00:00:22.900 --> 00:00:25.340]  這不是因為我們很有能力
[00:00:25.340 --> 00:00:26.920]  或者我們很本事
[00:00:26.920 --> 00:00:28.920]  或者這個工作很偉大
[00:00:28.920 --> 00:00:30.920]  是因為神光照我們
[00:00:30.920 --> 00:00:32.920]  神賜福給我們
[00:00:32.920 --> 00:00:39.920]  我們繼續看
[00:00:39.920 --> 00:00:41.920]  如果有聖經 打開聖經來看
[00:00:41.920 --> 00:00:43.920]  第三節
[00:00:43.920 --> 00:00:45.920]  詩篇67篇
[00:00:45.920 --> 00:00:47.920]  第三節
[00:00:47.920 --> 00:00:49.920]  經文說 神啊
[00:00:49.920 --> 00:00:51.920]  願列邦稱讚你
[00:00:51.920 --> 00:00:53.920]  願萬民都稱讚你
[00:00:53.920 --> 00:00:57.920]  列邦萬民
[00:00:57.920 --> 00:00:59.920]  和剛才所說
[00:00:59.920 --> 00:01:01.920]  世界萬國的意思
[00:01:01.920 --> 00:01:03.920]  其實是相同
[00:01:03.920 --> 00:01:05.920]  都是指所有的人 全人類
[00:01:05.920 --> 00:01:09.920]  我們是神的子民
[00:01:09.920 --> 00:01:11.920]  我們每一個信徒都應該
[00:01:11.920 --> 00:01:13.920]  抱有這一種
[00:01:13.920 --> 00:01:15.920]  神國度的
[00:01:15.920 --> 00:01:17.920]  這一種胸襟
[00:01:17.920 --> 00:01:19.920]  是一種很廣大
[00:01:19.920 --> 00:01:21.920]  國度的胸懷
[00:01:21.920 --> 00:01:23.920]  和這一個心願
[00:01:23.920 --> 00:01:25.920]  什麼心願呢
[00:01:25.920 --> 00:01:27.920]  希望全人類
[00:01:27.920 --> 00:01:29.920]  都懂得去
[00:01:29.920 --> 00:01:31.920]  稱頌神
[00:01:31.920 --> 00:01:33.920]  我們自己有沒有
[00:01:33.920 --> 00:01:35.920]  這一種國度的
[00:01:35.920 --> 00:01:37.920]  胸襟呢
[00:01:37.920 --> 00:01:43.920]  新約聖經有兩次
[00:01:43.920 --> 00:01:45.920]  彼得後書和提摩大前書
[00:01:45.920 --> 00:01:47.920]  都有提過
[00:01:47.920 --> 00:01:49.920]  神願意萬人得救
[00:01:49.920 --> 00:01:51.920]  不願意一人沉淪
[00:01:53.920 --> 00:01:55.920]  人類普遍都有這種
[00:01:55.920 --> 00:01:57.920]  國度的胸襟
[00:01:57.920 --> 00:02:01.920]  我們願不願意所有的人
[00:02:01.920 --> 00:02:03.920]  都有機會聽到福音
[00:02:03.920 --> 00:02:05.920]  我們自己願不願意
[00:02:05.920 --> 00:02:07.920]  做這個工作
[00:02:07.920 --> 00:02:13.920]  第四節
[00:02:13.920 --> 00:02:15.920]  願萬國都快樂歡呼
[00:02:15.920 --> 00:02:19.920]  因為你必按公正審判萬民
[00:02:19.920 --> 00:02:21.920]  引導世上的萬國
[00:02:23.920 --> 00:02:25.920]  大家想想
[00:02:25.920 --> 00:02:27.920]  如果神真的按公正審判
[00:02:27.920 --> 00:02:29.920]  這個世界
[00:02:29.920 --> 00:02:31.920]  審判萬國萬民
[00:02:31.920 --> 00:02:33.920]  你想想萬國萬民
[00:02:33.920 --> 00:02:35.920]  怎麼可能快樂歡呼呢
[00:02:35.920 --> 00:02:39.920]  因為世人都犯了罪
[00:02:39.920 --> 00:02:41.920]  如果真的要審判的時候
[00:02:41.920 --> 00:02:43.920]  萬族只有哀哭戰鬥
[00:02:43.920 --> 00:02:47.920]  怎麼才可以歡呼
[00:02:47.920 --> 00:02:49.920]  可以快樂呢
[00:02:49.920 --> 00:02:51.920]  除非他們已經得到救恩
[00:02:51.920 --> 00:02:53.920]  他們的罪已經
[00:02:53.920 --> 00:02:55.920]  得到赦免
[00:02:55.920 --> 00:02:59.920]  否則審判臨到的時候
[00:02:59.920 --> 00:03:01.920]  只有哀哭
[00:03:01.920 --> 00:03:05.920]  那是誰的責任
[00:03:05.920 --> 00:03:09.920]  令到更多的人
[00:03:09.920 --> 00:03:11.920]  由哀哭戰鬥
[00:03:11.920 --> 00:03:13.920]  變成快樂歡呼呢
[00:03:13.920 --> 00:03:17.920]  很容易想到
[00:03:17.920 --> 00:03:19.920]  是我們
[00:03:19.920 --> 00:03:21.920]  是神將這個責任
[00:03:21.920 --> 00:03:23.920]  托付給我們每一個信徒
[00:03:23.920 --> 00:03:27.920]  這套詩篇是這樣說
[00:03:27.920 --> 00:03:29.920]  新約很簡單
[00:03:29.920 --> 00:03:31.920]  主耶穌親自頒發
[00:03:31.920 --> 00:03:33.920]  大使命給我們
[00:03:33.920 --> 00:03:41.920]  神給了我們每一個信徒
[00:03:41.920 --> 00:03:43.920]  都有這個
[00:03:43.920 --> 00:03:45.920]  傳福音的責任
[00:03:45.920 --> 00:03:47.920]  在這個
[00:03:49.920 --> 00:03:51.920]  英國的施布珍
[00:03:51.920 --> 00:03:53.920]  他說得很好
[00:03:53.920 --> 00:03:55.920]  他說現在
[00:03:55.920 --> 00:03:57.920]  人類最大的敵人是什麼呢
[00:03:57.920 --> 00:04:01.920]  人類最大的敵人
[00:04:01.920 --> 00:04:03.920]  就是對神無知
[00:04:03.920 --> 00:04:05.920]  但是
[00:04:05.920 --> 00:04:07.920]  信徒的見證
[00:04:07.920 --> 00:04:09.920]  就能夠勝過
[00:04:09.920 --> 00:04:11.920]  這個仇敵
[00:04:11.920 --> 00:04:17.920]  人的無知對神的無知
[00:04:17.920 --> 00:04:19.920]  人不認識神
[00:04:19.920 --> 00:04:21.920]  是自己最大的仇敵
[00:04:21.920 --> 00:04:23.920]  但是
[00:04:23.920 --> 00:04:25.920]  信徒信仰的見證
[00:04:25.920 --> 00:04:27.920]  就能夠勝過
[00:04:27.920 --> 00:04:29.920]  這個仇敵
[00:04:29.920 --> 00:04:33.920]  你有沒有這樣去做見證呢
[00:04:33.920 --> 00:04:37.920]  你有沒有活出這個見證呢
[00:04:37.920 --> 00:04:39.920]  以致可以影響這個世界
[00:04:39.920 --> 00:04:41.920]  影響你身邊的人呢
[00:04:45.920 --> 00:04:47.920]  第三節
[00:04:47.920 --> 00:04:49.920]  神啊
[00:04:49.920 --> 00:04:51.920]  願列邦稱讚你
[00:04:51.920 --> 00:04:53.920]  願萬民都稱讚你
[00:04:53.920 --> 00:04:55.920]  這是重複
[00:04:55.920 --> 00:04:57.920]  重複剛才第三節那裡說
[00:04:57.920 --> 00:04:59.920]  願萬人得救
[00:04:59.920 --> 00:05:01.920]  這個心願
[00:05:01.920 --> 00:05:03.920]  句子重複
[00:05:03.920 --> 00:05:07.920]  原因是一方面
[00:05:07.920 --> 00:05:09.920]  為了要表達
[00:05:09.920 --> 00:05:11.920]  那種迫切的心願
[00:05:11.920 --> 00:05:13.920]  願萬人得救
[00:05:13.920 --> 00:05:15.920]  而另一方面
