
[00:00:00.000 --> 00:00:02.500]  這個軍隊打仗的異象
[00:00:02.500 --> 00:00:05.240]  令我想起一套很有名的電影
[00:00:05.240 --> 00:00:06.340]  可能你也有看過
[00:00:06.340 --> 00:00:08.340]  我想給你看一些片段
[00:00:08.340 --> 00:00:09.740]  有沒有看過這部電影
[00:00:09.740 --> 00:00:14.400]  1999年的科幻片《Classic Matrix》
[00:00:14.400 --> 00:00:16.500]  我覺得這個電影其實是
[00:00:16.500 --> 00:00:19.800]  最接近我們基督徒的思想
[00:00:19.800 --> 00:00:21.900]  我不知道你記不記得這個故事的背景
[00:00:21.900 --> 00:00:24.700]  你聽聽這些對白
[00:00:24.700 --> 00:00:30.900]  他說每一個人都是出生在一個監獄裡面的奴隸
[00:00:30.900 --> 00:00:34.100]  他們被這個 Matrix 所困住
[00:00:34.100 --> 00:00:37.500]  這個 Matrix 是一個假造出來的世界
[00:00:37.500 --> 00:00:39.000]  它無所不在
[00:00:39.000 --> 00:00:40.500]  在我們的周圍
[00:00:40.500 --> 00:00:42.800]  就算在這個房間裡面
[00:00:42.800 --> 00:00:45.500]  當你望出你的窗戶
[00:00:45.500 --> 00:00:46.900]  你看到的是 Matrix
[00:00:46.900 --> 00:00:48.500]  當你上班的時候
[00:00:48.500 --> 00:00:50.500]  你的工作
[00:00:50.500 --> 00:00:52.200]  你的公司是 Matrix
[00:00:52.200 --> 00:00:55.200]  當你回教會的時候
[00:00:55.200 --> 00:00:58.300]  都可以是 Matrix
[00:00:58.300 --> 00:01:01.400]  他說整個是一個虛幻的世界
[00:01:01.400 --> 00:01:03.300]  好像一個簾一樣拉著
[00:01:03.300 --> 00:01:04.600]  擋著你的眼睛
[00:01:04.600 --> 00:01:09.200]  讓你看不到故事的真相
[00:01:09.200 --> 00:01:10.500]  如果你有看過這個故事
[00:01:10.500 --> 00:01:12.300]  或者你還記得這個故事說什麼
[00:01:12.300 --> 00:01:18.200]  它說到人和電腦的一個爭鬥
[00:01:18.200 --> 00:01:22.200]  它不知道在什麼時候的未來
[00:01:22.200 --> 00:01:25.500]  人工智能已經在統治這個世界
[00:01:25.500 --> 00:01:28.200]  但是這些電腦需要有電源
[00:01:28.200 --> 00:01:30.800]  令到他們的電腦可以繼續存在
[00:01:30.800 --> 00:01:35.100]  於是它保留那些人的嬰兒
[00:01:35.100 --> 00:01:38.300]  但是其實那些人永遠沒有長大
[00:01:38.300 --> 00:01:41.900]  它創造了一個 Artificial Intelligence
[00:01:41.900 --> 00:01:44.700]  一個人工智能的一個假的世界
[00:01:44.700 --> 00:01:47.700]  而那些人每天在這裡經歷的所有事情
[00:01:47.700 --> 00:01:50.400]  其實不是真的
[00:01:50.400 --> 00:01:52.000]  而是假的
[00:01:52.000 --> 00:01:53.400]  在這個世界裡面
[00:01:53.400 --> 00:01:54.300]  Morpheus
[00:01:54.300 --> 00:01:59.000]  那個跟他們鬥爭的領隊
[00:01:59.000 --> 00:02:00.700]  去找 Neo
[00:02:00.700 --> 00:02:04.100]  他相信是那個認許之子
[00:02:04.100 --> 00:02:07.000]  他告訴他這個世界究竟是怎樣
[00:02:07.000 --> 00:02:08.100]  他帶他去看
[00:02:08.100 --> 00:02:12.400]  其實這個世界不是他想像中這樣想的
[00:02:12.400 --> 00:02:15.000]  去到最後
[00:02:15.000 --> 00:02:18.900]  或者應該說故事剛剛開始要進入高峰的時候
[00:02:18.900 --> 00:02:21.200]  Morpheus 跟他說一句話
[00:02:21.200 --> 00:02:23.000]  他說 This is the moment of truth
[00:02:23.000 --> 00:02:25.000]  這個是真相的時候
[00:02:25.000 --> 00:02:26.000]  他給他選擇
[00:02:26.000 --> 00:02:29.200]  他說這個是你最後的機會
[00:02:29.200 --> 00:02:32.000]  你過了這一條路
[00:02:32.000 --> 00:02:33.500]  你就沒有辦法再回頭
[00:02:33.500 --> 00:02:34.400]  他給他什麼呢
[00:02:34.400 --> 00:02:39.800]  他給他選擇兩顆藥丸
