
[00:00:00.000 --> 00:00:04.000]  我們把掌聲歸位給被主 也謝謝施班的獻唱
[00:00:04.000 --> 00:00:11.500]  他唱出了我們今年的主題 就是將最好的獻給被主
[00:00:11.500 --> 00:00:16.500]  那鄭英姊妹 你有沒有想過獻什麼給被主 你的最好是什麼來的?
[00:00:16.500 --> 00:00:24.500]  那要想一下了 不用擔心 因為我們有一整年慢慢去想的 OK
[00:00:24.500 --> 00:00:28.500]  而我們的經文反而是一個很特別的經文 有些人說 啊 怎麼會這樣寫的呢?
[00:00:28.500 --> 00:00:32.500]  經文是這麼說的 在《馬特福音》的十三章十二節
[00:00:32.500 --> 00:00:36.500]  它說 凡有的 還要加給他 叫他有餘
[00:00:36.500 --> 00:00:41.500]  凡沒有的 連他所有的 也要奪去
[00:00:41.500 --> 00:00:46.500]  因為很多時候我們在想 獻給主的時候 好像在想 我有什麼最好的呢?
[00:00:46.500 --> 00:00:50.500]  是不是在我最好的狀態之下 我才可以獻給主呢?
[00:00:50.500 --> 00:00:53.500]  但反而我們想用這段經文是給自己提醒的
[00:00:53.500 --> 00:01:00.500]  因為當初想起這個主題的原因是 回顧在這兩三年期間
[00:01:00.500 --> 00:01:06.500]  我們真的很感受到神一直在我們當中 去施恩給我們
[00:01:06.500 --> 00:01:11.500]  當我們很忙亂 很不知道怎麼做 對前路也看不透的時候
[00:01:11.500 --> 00:01:14.500]  神卻不斷地跟我們說話
[00:01:14.500 --> 00:01:19.500]  所以整個團隊都覺得 神的恩典在我們教會真的很豐足
[00:01:19.500 --> 00:01:21.500]  我們也很經歷得到
[00:01:21.500 --> 00:01:25.500]  我們很想跟神說 我們怎樣才能回應 去服侍祢呢?
[00:01:25.500 --> 00:01:29.500]  但神卻提醒我們 其實神給我們的恩典是很多的
[00:01:29.500 --> 00:01:34.500]  如果我們有的 神是會樂意繼續加給我們 讓我們去服侍
[00:01:34.500 --> 00:01:37.500]  但也要小心 如果有些人是沒有的
[00:01:37.500 --> 00:01:41.500]  其實你會連僅有的 都會被奪去
[00:01:41.500 --> 00:01:43.500]  所以某程度來說 我也明白
[00:01:43.500 --> 00:01:48.500]  在殖民教會裡的弟兄姊妹 奉獻對我們來說不是一個難的課題
[00:01:48.500 --> 00:01:50.500]  因為奉獻對我們來說不是失去的
[00:01:50.500 --> 00:01:53.500]  奉獻來說反而是我們得到的更多
[00:01:53.500 --> 00:01:56.500]  在學習十一奉獻這十幾二十年裡
[00:01:56.500 --> 00:01:59.500]  我們整體的弟兄姊妹都很明白這個道理
[00:01:59.500 --> 00:02:01.500]  所以我們真的去求神幫助我們
[00:02:01.500 --> 00:02:05.500]  究竟我們應該怎樣來將更好的獻給主呢?
[00:02:05.500 --> 00:02:09.500]  而這幅圖是我們的年曆表裡的圖
[00:02:09.500 --> 00:02:15.500]  其實刻意請設計師的同事 將這個殺種比喻放在裡面
[00:02:15.500 --> 00:02:21.500]  為什麼這麼說呢? 因為我也覺得我們教會走了一段很長的時間
[00:02:21.500 --> 00:02:26.500]  也到了二十多三十年的日子 以教會的年齡來說
[00:02:26.500 --> 00:02:30.500]  但是看到不同的人在這裡進主 在這裡長大
[00:02:30.500 --> 00:02:34.500]  當初的學生已經結婚 做了爸爸媽媽
[00:02:34.500 --> 00:02:38.500]  不同的人在這裡來 也會走 又走 又回來
[00:02:38.500 --> 00:02:44.500]  其實很多場景 當講回顧是有很多感觸的
[00:02:44.500 --> 00:02:46.500]  其實有沒有想過為什麼這麼有趣呢?
[00:02:46.500 --> 00:02:51.500]  一個道 一篇道 千多人一起聽
[00:02:51.500 --> 00:02:53.500]  可能網上的弟兄姊妹不止
[00:02:53.500 --> 00:03:00.500]  但是每一個人所聽的道 所領受 所結出來的生命的果子是不同的
[00:03:00.500 --> 00:03:05.500]  在殺種比喻裡面 相信教會內的弟兄姊妹都很熟悉
[00:03:05.500 --> 00:03:08.500]  但是我們都想重新再挑戰一下
[00:03:08.500 --> 00:03:11.500]  這個種子是講上帝的話語
[00:03:11.500 --> 00:03:16.500]  今天你和我都是透過聽道 透過靈修 透過看聖經
[00:03:16.500 --> 00:03:18.500]  我們都是去學習的
[00:03:18.500 --> 00:03:22.500]  千墨用的《對經釋義》已經用了差不多五個輪了
[00:03:22.500 --> 00:03:26.500]  就是說我們不斷去四年五年看一次聖經
[00:03:26.500 --> 00:03:29.500]  其實我們起碼都看了四次五次了
[00:03:29.500 --> 00:03:31.500]  如果真的是老餅的基督徒
[00:03:31.500 --> 00:03:34.500]  但是問題是為什麼大家都看同一本聖經
[00:03:34.500 --> 00:03:36.500]  大家都一起去學習
[00:03:36.500 --> 00:03:40.500]  但是我們發現其實不同的信徒的表現是有不同的
[00:03:40.500 --> 00:03:42.500]  今天是二零二年的第一年
[00:03:42.500 --> 00:03:44.500]  我也希望給大家一點回顧的時間
[00:03:44.500 --> 00:03:46.500]  去檢視一下自己
[00:03:46.500 --> 00:03:48.500]  當我們說我們要去獻給主的時候
[00:03:48.500 --> 00:03:51.500]  究竟這塊田是什麼狀態呢
[00:03:51.500 --> 00:03:53.500]  在這個比喻裡面 聖經是這麼說的
[00:03:53.500 --> 00:03:58.500]  它說有四種土地對這個種子有不同的回應
[00:03:58.500 --> 00:04:01.500]  第一個就是路旁 路旁是一些硬地
[00:04:01.500 --> 00:04:03.500]  硬地是代表什麼呢
[00:04:03.500 --> 00:04:05.500]  就是其實心很硬
[00:04:05.500 --> 00:04:08.500]  我們天天都聽道 但是聽不進去
[00:04:08.500 --> 00:04:10.500]  什麼叫聽不進去呢
[00:04:10.500 --> 00:04:12.500]  在這兩年的網絡世界
[00:04:12.500 --> 00:04:14.500]  我們更加感覺到的
[00:04:14.500 --> 00:04:17.500]  很坦白的 我們都試過在家裡看崇拜的
[00:04:17.500 --> 00:04:19.500]  現在那些電影節目都是
[00:04:19.500 --> 00:04:21.500]  有時候覺得合聽的就聽
[00:04:21.500 --> 00:04:25.500]  不合聽的就fast forward
[00:04:25.500 --> 00:04:27.500]  fast forward已經很好了
[00:04:27.500 --> 00:04:29.500]  有些是會怎樣呢
