
[00:00:00.000 --> 00:00:05.240]  希望祢的應許,沒有人可以從祢的手裏面將我們奪去
[00:00:05.240 --> 00:00:10.860]  願在祢的面前,你再一次今天來到你的殿當中
[00:00:10.860 --> 00:00:14.080]  早上來到你的殿當中去敬拜你
[00:00:14.080 --> 00:00:17.920]  就好像昔日一些婦女
[00:00:17.920 --> 00:00:24.320]  來到主的墳墓前,就是去迎接,去服侍我們的主
[00:00:24.320 --> 00:00:30.880]  願剛才的敬拜,我們的奉獻,都能夠滿足主的心腸
[00:00:30.880 --> 00:00:33.780]  由聖靈求你自己親自來到這個地方
[00:00:33.780 --> 00:00:37.440]  讓講的聽的,不單止將你的話語去分解
[00:00:37.440 --> 00:00:40.760]  而且應用在我們的生活當中
[00:00:40.760 --> 00:00:44.280]  因為你的話,是我們腳前的燈,腦上的光
[00:00:44.280 --> 00:00:48.040]  我們請祈禱交託,奉耶穌得勝的名字祈求
[00:00:48.040 --> 00:00:50.040]  阿們,好,請坐
[00:00:54.320 --> 00:01:03.280]  好,不知道大家預備好了沒有,應該我深信預備好了
[00:01:03.280 --> 00:01:05.280]  大家都是精神抖抖,早上
[00:01:05.280 --> 00:01:08.160]  今天想和大家去分享這個題目
[00:01:08.160 --> 00:01:12.240]  是一個音來的,即是音節音節
[00:01:12.240 --> 00:01:15.360]  是逃兵,逃兵,和逃兵
[00:01:15.360 --> 00:01:18.240]  我不知道你看了這三個字,對你有什麼的思想
[00:01:18.240 --> 00:01:20.240]  亦都好像一條路,剛才那首歌
[00:01:20.240 --> 00:01:22.240]  是一個回家的路程
[00:01:22.240 --> 00:01:25.200]  神使用我們,由一個浪子,一個逃兵
[00:01:25.200 --> 00:01:29.200]  即是愛世界,逃即是找,search for
[00:01:29.200 --> 00:01:31.680]  然後信了耶穌,可能有時想走
[00:01:31.680 --> 00:01:35.120]  但是最後,耶穌的愛,仍然呼召我們
[00:01:35.120 --> 00:01:37.120]  去做一個基督徒的正兵,是嗎?
[00:01:37.120 --> 00:01:39.840]  好,這個星期,下一張,麻煩你
[00:01:39.840 --> 00:01:43.200]  這個星期有一件盛事,和這張powerpoint
[00:01:43.200 --> 00:01:45.200]  和下張powerpoint,和這個差不多的
[00:01:45.200 --> 00:01:50.320]  因為都是在講,在本港的宣教歷史上
[00:01:50.320 --> 00:01:52.320]  在香港宣教歷史上,是一件盛事
[00:01:52.320 --> 00:01:56.320]  亦都是一件浸信會的宣教的一件盛事
[00:01:56.320 --> 00:01:58.320]  因為為什麼呢?記不記得幾個月前
[00:01:58.320 --> 00:02:00.320]  王美中牧師來和我們分享一件事
[00:02:00.320 --> 00:02:02.320]  就是在講這件事
[00:02:02.320 --> 00:02:04.320]  就是第七屆
[00:02:04.320 --> 00:02:06.320]  全球,全球喔
[00:02:06.320 --> 00:02:08.320]  記不記得?華人浸信會宣教大會
[00:02:08.320 --> 00:02:10.320]  契第一屆
[00:02:10.320 --> 00:02:14.320]  全球華人浸信會青年宣教大會
[00:02:14.320 --> 00:02:16.320]  這個精彩就因為
[00:02:16.320 --> 00:02:20.080]  在第一屆的華人宣教大會
[00:02:20.080 --> 00:02:22.080]  宣教的開始的時候
[00:02:22.080 --> 00:02:24.080]  經過七年
[00:02:24.080 --> 00:02:28.080]  負責的人已經開始登陸了
[00:02:28.080 --> 00:02:31.120]  要將這個棒交給我們的年青人
[00:02:31.120 --> 00:02:33.120]  我們感謝主,我們教會裏面
[00:02:33.120 --> 00:02:35.120]  有,應該都不少
[00:02:35.120 --> 00:02:37.120]  三個以上都不少
[00:02:37.120 --> 00:02:40.320]  去參加這個宣教大會
[00:02:40.320 --> 00:02:42.320]  請繼續紀念他們
[00:02:42.320 --> 00:02:45.120]  現在這班青年,有部分還在四川
[00:02:45.120 --> 00:02:47.120]  現在可能坐飛機下來
[00:02:47.120 --> 00:02:51.120]  有部分這一班,接下來就會參加這個大會
[00:02:51.120 --> 00:02:53.120]  我想講這個大會給大家第一就知道
[00:02:53.120 --> 00:02:55.120]  這件盛事是我們的
[00:02:55.120 --> 00:02:57.120]  是嗎?告訴你,這件是我們的
[00:02:57.120 --> 00:02:59.120]  下面有少量,還有少量
[00:02:59.120 --> 00:03:01.120]  因為只有四十多本
[00:03:01.120 --> 00:03:03.120]  大家關於這件事
[00:03:03.120 --> 00:03:05.120]  可以浸情,浸信會的情報
[00:03:05.120 --> 00:03:07.120]  大家或者是
[00:03:07.120 --> 00:03:09.120]  情的消息,或者感情
[00:03:09.120 --> 00:03:11.120]  大家可以留意
