
[00:00:00.000 --> 00:00:03.080]  最近我不知道有沒有看過這一幅圖畫
[00:00:03.080 --> 00:00:06.200]  這一幅在網上傳得很厲害
[00:00:06.200 --> 00:00:07.040]  它說什麼?
[00:00:07.040 --> 00:00:10.920]  它說 Stolen goods must remain under 950 dollar
[00:00:10.920 --> 00:00:13.440]  在 LV 的商店出面
[00:00:13.440 --> 00:00:15.600]  哇!聽完之後很多人有反應
[00:00:15.600 --> 00:00:16.640]  好像大家這樣
[00:00:16.640 --> 00:00:18.400]  搞錯啊!
[00:00:18.400 --> 00:00:19.440]  世風日下
[00:00:19.440 --> 00:00:21.600]  社會的治安一天不如一天
[00:00:21.600 --> 00:00:23.920]  有些人說是假的
[00:00:23.920 --> 00:00:25.000]  是砌上去的
[00:00:25.000 --> 00:00:25.840]  叫 fake
[00:00:25.840 --> 00:00:27.200]  fake picture
[00:00:27.200 --> 00:00:32.080]  專門嘲笑現在最流行的 Prop 47
[00:00:32.080 --> 00:00:33.200]  47 號提案
[00:00:33.200 --> 00:00:36.520]  說的是加州零售法案有關的
[00:00:36.520 --> 00:00:39.040]  只是取笑它而已
[00:00:39.040 --> 00:00:40.680]  不知道你有什麼反應
[00:00:40.680 --> 00:00:43.680]  但是其實無論有沒有這個牌
[00:00:43.680 --> 00:00:45.440]  現在這些盜竊案是怎樣?
[00:00:45.440 --> 00:00:46.520]  越來越怎樣?
[00:00:46.520 --> 00:00:48.040]  是越來越多的
[00:00:48.040 --> 00:00:51.320]  多到無可再多
[00:00:51.320 --> 00:00:55.280]  所有的零售料都要倒閉、走、離開
[00:00:55.280 --> 00:00:56.920]  很多損失
[00:00:56.920 --> 00:01:00.800]  根據這個 National Retail Federation
[00:01:00.800 --> 00:01:03.320]  美國零售聯合會
[00:01:03.320 --> 00:01:05.120]  它的數字統計
[00:01:05.120 --> 00:01:07.320]  零售業年度的損失率
[00:01:07.320 --> 00:01:09.040]  是因為被盜竊這些
