
[00:00:00.000 --> 00:00:03.760]  各位親愛的弟兄姐妹,早上好!
[00:00:03.760 --> 00:00:08.280]  好高興能夠在現場看到這麼多的弟兄姐妹一起敬拜詔梅祖。
[00:00:08.280 --> 00:00:13.280]  你可不知道在過去一年,我在臺上講道,臺下沒人笑,
[00:00:13.280 --> 00:00:16.040]  特別是講笑話的時候,心中好難過啊!
[00:00:16.040 --> 00:00:20.280]  所以今年你一定要大聲地笑一笑,Amen?
[00:00:20.280 --> 00:00:25.360]  還有歡迎各位在線上觀看我們直播的親愛的弟兄姐妹朋友們,
[00:00:25.360 --> 00:00:29.400]  非常高興被邀請到你的家中與你一同來分享神的話語。
[00:00:29.400 --> 00:00:33.880]  我們相信在這個新的季節裏面,神要做新事,
[00:00:33.880 --> 00:00:40.120]  你要不斷地更新,來經歷神祂在你身上恢復的恩典。
[00:00:40.120 --> 00:00:42.520]  正如詩篇103篇第五節所說的,
[00:00:42.520 --> 00:00:50.120]  "祂用每物使你所願得以知足,以致你如應返老還童"。
[00:00:50.120 --> 00:00:52.720]  以致你如應返老還童,
[00:00:52.720 --> 00:00:57.280]  我想詩人當時的意思是你老丹益壯,重新得力,
[00:00:57.280 --> 00:01:01.880]  恢復你童年的柔美,不像老丹一樣。
[00:01:01.880 --> 00:01:05.160]  但在星期三,老丹打完疫苗以後,
[00:01:05.160 --> 00:01:12.360]  在回家的途中,視力開始模糊,看不清回家的路途,
[00:01:12.360 --> 00:01:17.120]  就懷疑這是疫苗嚴重的副作用。
[00:01:17.120 --> 00:01:20.960]  好不容易回到家以後,趕緊打電話到疫苗接種中心,
[00:01:20.960 --> 00:01:25.120]  要詢問說是否要馬上看醫生,還是要住院觀察。
[00:01:25.120 --> 00:01:29.360]  沒想到中心的護士小姐就告訴她說,
[00:01:29.360 --> 00:01:34.360]  "張先生啊,今天早上你打完疫苗以後,
[00:01:34.360 --> 00:01:39.960]  你趕緊就走了,你忘記戴上你的眼鏡啦!"
[00:01:39.960 --> 00:01:42.720]  老東旁邊的人說,
[00:01:42.720 --> 00:01:48.280]  "這不是返老還童,這是老啦!"
[00:01:48.280 --> 00:01:50.680]  神繼續要做恢復的工作,
[00:01:50.680 --> 00:01:55.120]  特別是當我們經歷在新的季節要做新事的時候,
[00:01:55.120 --> 00:02:00.120]  我相信我們要重新來渴慕神他榮耀的存在,
[00:02:00.120 --> 00:02:02.520]  重新有這樣一個屬靈的渴慕,
[00:02:02.520 --> 00:02:05.880]  渴慕神榮耀的存在。
[00:02:05.880 --> 00:02:10.640]  因此今天早上我們來思想耶穌基督這位坐在寶座上,
[00:02:10.640 --> 00:02:16.360]  這位我們要定睛,要把焦點放在耶穌基督的身上,
[00:02:16.360 --> 00:02:19.040]  因爲當我們渴慕神榮耀的存在的時候,
[00:02:19.040 --> 00:02:23.800]  我們就要來重新來渴慕耶穌基督。
