
[00:00:00.000 --> 00:00:03.160]  我們繼續看貼薩諾尼加前書
[00:00:03.160 --> 00:00:05.880]  上次和大家看貼薩諾尼加前書的時候
[00:00:05.880 --> 00:00:10.240]  講到保羅對當地的教會一些鼓勵
[00:00:10.240 --> 00:00:12.800]  特別是做些什麼可以討神喜悅
[00:00:12.800 --> 00:00:16.520]  今天我們再看看一些事情
[00:00:16.520 --> 00:00:19.520]  這些事情可能對於我們人生裡面
[00:00:19.520 --> 00:00:24.720]  你經歷過未必是一些很開心的經歷
[00:00:24.720 --> 00:00:28.920]  就是人的死亡
[00:00:28.920 --> 00:00:32.560]  有一句說話
[00:00:32.560 --> 00:00:37.120]  相逢是分離的開始
[00:00:37.120 --> 00:00:40.160]  有聽過吧
[00:00:40.160 --> 00:00:43.560]  原來我們人相逢的時候
[00:00:43.560 --> 00:00:45.200]  今天我和你相逢
[00:00:45.200 --> 00:00:48.600]  我們要預備有一天大家是會分開的
[00:00:48.600 --> 00:00:51.080]  所以今天我們在這裡第一次見面
[00:00:51.080 --> 00:00:55.520]  可能就是我們要預備要分開的開始
[00:00:55.520 --> 00:00:58.040]  好像很悲觀
[00:00:58.040 --> 00:01:01.080]  但是真的很現實
[00:01:01.080 --> 00:01:02.560]  人都是會這樣
[00:01:02.560 --> 00:01:05.400]  人人都會經歷死亡
[00:01:05.400 --> 00:01:10.080]  有罪也有善
[00:01:10.080 --> 00:01:12.000]  在人生裡面我見過
[00:01:12.000 --> 00:01:17.680]  我自己見過兩次比較虛幻的喪禮
[00:01:17.680 --> 00:01:20.360]  第一個的喪禮
[00:01:20.360 --> 00:01:30.000]  是 第一個喪禮 張國榮
[00:01:30.000 --> 00:01:35.880]  張國榮應該是在愚人節那天跳樓死的
[00:01:35.880 --> 00:01:38.640]  之後在香港很轟動的
[00:01:38.640 --> 00:01:45.800]  成千過千的人在街上追著跟著喪禮去
[00:01:45.800 --> 00:01:50.200]  電視拍著那些歌迷哭得很淒慘
[00:01:50.200 --> 00:01:54.240]  當然有張國榮也有第二個
[00:01:54.240 --> 00:01:59.200]  有胡艷芳
[00:01:59.200 --> 00:02:03.960]  那時候心裡好像很upset
[00:02:03.960 --> 00:02:05.960]  特別聽到她說的時候
[00:02:05.960 --> 00:02:10.880]  她臨到最後演唱會 癌症到她去世
[00:02:10.880 --> 00:02:15.760]  好像人生裡面很無常 很短暫
[00:02:15.760 --> 00:02:21.600]  在人生很光輝的時候就沒了生命
[00:02:21.600 --> 00:02:26.480]  甚至見到通常如果你有出席過一些
[00:02:26.480 --> 00:02:29.520]  其他宗教的喪禮
[00:02:29.520 --> 00:02:33.160]  你會有一種感覺就是一來很嘈
