
[00:00:00.000 --> 00:00:03.000]  優姐妹大家平安
[00:00:03.000 --> 00:00:05.000]  保羅說
[00:00:05.000 --> 00:00:07.000]  他說我們的盼望和喜樂
[00:00:07.000 --> 00:00:11.000]  並所誇的冠冕是什麼呢
[00:00:11.000 --> 00:00:13.000]  豈不是主耶穌來的時候
[00:00:13.000 --> 00:00:16.000]  你們在他面前站立得住嗎
[00:00:16.000 --> 00:00:18.000]  今天
[00:00:18.000 --> 00:00:21.000]  所有我們這些的門訓的老師
[00:00:21.000 --> 00:00:23.000]  所有我們的教母同工
[00:00:23.000 --> 00:00:26.000]  我們的長老我們的執事
[00:00:26.000 --> 00:00:28.000]  我們的盼望在什麼呢
[00:00:28.000 --> 00:00:30.000]  就是主耶穌在來的時候
[00:00:30.000 --> 00:00:34.000]  這些透過門訓畢業的弟兄姐妹們
[00:00:34.000 --> 00:00:36.000]  你們要靠主站立得穩
[00:00:36.000 --> 00:00:39.000]  這是保羅的盼望
[00:00:39.000 --> 00:00:42.000]  今天我要跟大家分享的題目也是這個
[00:00:42.000 --> 00:00:48.000]  要靠主站立得穩
[00:00:48.000 --> 00:00:51.000]  今日有很多事情會讓我們站立不穩
[00:00:51.000 --> 00:00:54.000]  讓教會站立不穩
[00:00:54.000 --> 00:00:59.000]  像是大家都很知道的疫情
[00:00:59.000 --> 00:01:03.000]  通貨膨脹
[00:01:03.000 --> 00:01:08.000]  聽說美國以前要花一千塊可以過生活的
[00:01:08.000 --> 00:01:11.000]  現在要花一千兩百五十塊
[00:01:11.000 --> 00:01:16.000]  因為他這邊說到一個月要多花兩百五十元
[00:01:16.000 --> 00:01:19.000]  那講到許多地方
[00:01:19.000 --> 00:01:21.000]  因為通貨膨脹的原因
[00:01:21.000 --> 00:01:24.000]  他們肉都買不起了
[00:01:24.000 --> 00:01:25.000]  所以只能搶著買麵包
[00:01:25.000 --> 00:01:29.000]  媒體說今年的東西會比去年更貴
[00:01:29.000 --> 00:01:31.000]  大家有沒有感受到
[00:01:31.000 --> 00:01:32.000]  有
[00:01:32.000 --> 00:01:36.000]  我這次回臺灣買了一盒蛋
[00:01:36.000 --> 00:01:38.000]  不買還沒事
[00:01:38.000 --> 00:01:39.000]  買的時候我嚇一跳
[00:01:39.000 --> 00:01:43.000]  一盒蛋近三塊多快四塊美金
[00:01:43.000 --> 00:01:45.000]  三塊多美金十幾顆
[00:01:45.000 --> 00:01:47.000]  跟美國的物價一樣
[00:01:47.000 --> 00:01:53.000]  以前一美金可能可以買到三十顆蛋
[00:01:53.000 --> 00:01:55.000]  讓我嚇一跳
[00:01:55.000 --> 00:01:57.000]  通貨膨脹的問題
[00:01:57.000 --> 00:02:00.000]  曾經也造成教會的困擾
[00:02:00.000 --> 00:02:04.000]  讓國內許多的教會請不起傳道人
[00:02:04.000 --> 00:02:08.000]  教會關門
[00:02:08.000 --> 00:02:12.000]  現在我們看見烏克蘭的戰爭
[00:02:12.000 --> 00:02:15.000]  你們看到這個畫面是誰在禱告
[00:02:15.000 --> 00:02:17.000]  是烏克蘭的基督徒們
[00:02:17.000 --> 00:02:19.000]  他們在那裡禱告
[00:02:19.000 --> 00:02:21.000]  他們能做什麼呢
[00:02:21.000 --> 00:02:23.000]  他說我們能夠
[00:02:23.000 --> 00:02:25.000]  牧者說我們很擔心
[00:02:25.000 --> 00:02:29.000]  但是我們鼓勵他們要盡全力來仰望耶穌
[00:02:29.000 --> 00:02:31.000]  只有透過禱告
[00:02:31.000 --> 00:02:36.000]  我們才能夠保持我們國家的和平
[00:02:36.000 --> 00:02:39.000]  今天早上我起來
[00:02:39.000 --> 00:02:42.000]  我在想我們的教會
[00:02:42.000 --> 00:02:45.000]  全球的教會 普世的教會
[00:02:45.000 --> 00:02:47.000]  面臨各樣的挑戰
[00:02:47.000 --> 00:02:49.000]  這都是外來的
[00:02:49.000 --> 00:02:52.000]  我仔細去看了一下這個畫面
[00:02:52.000 --> 00:02:56.000]  他說基督徒處境最艱難的國家
[00:02:56.000 --> 00:03:00.000]  前五十名裡面沒有美國
[00:03:00.000 --> 00:03:02.000]  就剛剛正如葛牧師說的
[00:03:02.000 --> 00:03:04.000]  如果我們在美國
[00:03:04.000 --> 00:03:06.000]  我們一點代價都付不起來的話
[00:03:06.000 --> 00:03:09.000]  我們怎麼能夠見主面呢
[00:03:09.000 --> 00:03:12.000]  所以裝備我們自己站立得穩
[00:03:12.000 --> 00:03:16.000]  是我們弟兄姊妹要努力的
[00:03:16.000 --> 00:03:19.000]  所以今天我想跟大家分享的角度呢
[00:03:19.000 --> 00:03:21.000]  不僅是要站立得穩
[00:03:21.000 --> 00:03:24.000]  而且還是教會
[00:03:24.000 --> 00:03:26.000]  也就是每一位
[00:03:26.000 --> 00:03:28.000]  不是只有自己站穩就好了
[00:03:28.000 --> 00:03:30.000]  我們講屬靈真傳常常都是講到
[00:03:30.000 --> 00:03:32.000]  你要禱告
[00:03:32.000 --> 00:03:34.000]  可是我們常常忘記
[00:03:34.000 --> 00:03:38.000]  我們要扶持我們旁邊的弟兄姊妹
[00:03:38.000 --> 00:03:40.000]  保羅講到說你們要站立得穩
[00:03:40.000 --> 00:03:43.000]  他不是只對一個人講的
[00:03:43.000 --> 00:03:46.000]  他講的對象是所有的
[00:03:46.000 --> 00:03:47.000]  菲律賓教會
[00:03:47.000 --> 00:03:48.000]  所以我今天呢
[00:03:48.000 --> 00:03:51.000]  想從這段經文裡面跟大家分享
[00:03:51.000 --> 00:03:52.000]  如果你有聖經
[00:03:52.000 --> 00:03:54.000]  可以跟我一起翻到菲律賓書
[00:03:54.000 --> 00:03:56.000]  第四章一到九節
[00:03:56.000 --> 00:03:59.000]  我在這裡讀給大家聽
[00:03:59.000 --> 00:04:02.000]  也可以大家跟我一起來讀
[00:04:02.000 --> 00:04:05.000]  我所親愛所思想
[00:04:05.000 --> 00:04:07.000]  所想念的弟兄們
[00:04:07.000 --> 00:04:08.000]  你們就是我的喜樂
[00:04:08.000 --> 00:04:10.000]  我的冠冕
[00:04:10.000 --> 00:04:12.000]  我親愛的弟兄
[00:04:12.000 --> 00:04:15.000]  你們應當靠足站立得穩
[00:04:15.000 --> 00:04:17.000]  我勸尤阿爹和尋都基
