
[00:00:00.000 --> 00:00:06.820]  好,今天講信息,繼續我們會講這一季的題目,是什麼呢?
[00:00:06.820 --> 00:00:09.300]  仍然是在講年貫,是吧?
[00:00:09.300 --> 00:00:16.460]  好,講起年貫,我想起一件事,上個星期六,不是昨天,上個星期六
[00:00:16.460 --> 00:00:20.220]  我和太太去了一個安息禮拜
[00:00:20.220 --> 00:00:25.300]  按道理我們去安息禮拜不是一件罕見的事
[00:00:25.300 --> 00:00:27.300]  我們經常都去安息禮拜
[00:00:27.300 --> 00:00:30.560]  不過我覺得這個安息禮拜有點特別
[00:00:30.560 --> 00:00:32.560]  是什麼人的安息禮拜呢?
[00:00:32.560 --> 00:00:42.520]  就是我鄰居,住在我兩個單位的一個接近90歲的伯伯
[00:00:42.520 --> 00:00:47.140]  去到很特別,因爲都認識了很久
[00:00:47.140 --> 00:00:52.280]  我們搬到這裏17年了,他們遲我們兩年進去
[00:00:52.280 --> 00:00:54.620]  其實都認識了十幾年了
[00:00:54.620 --> 00:01:01.040]  往日這個伯伯就會帶着他的孫女回爭奪
[00:01:01.040 --> 00:01:03.300]  我就帶着我的兒子回爭奪
[00:01:03.300 --> 00:01:09.720]  所以又是街坊,又是校友的家人,很多種關係
[00:01:09.720 --> 00:01:13.240]  在這十幾年裏面,其實大部分時間
[00:01:13.240 --> 00:01:17.600]  大家都是打打招呼,聊聊天
[00:01:17.600 --> 00:01:23.620]  直到近幾年,有些機會在屋苑裏面遇到
[00:01:23.620 --> 00:01:27.080]  其實都不是我做的,是我太太做的
[00:01:27.080 --> 00:01:30.820]  做什麼呢?就是和她聊聊天,關心一下她
[00:01:30.820 --> 00:01:34.560]  最後有機會和她分享一下福音
[00:01:34.560 --> 00:01:38.660]  她又確認了,挺好,是不是?
[00:01:38.660 --> 00:01:42.920]  就這樣住了,但其實我們做的事情真的不多
[00:01:42.920 --> 00:01:47.620]  發生什麼事呢?就是其後她生病了
[00:01:47.620 --> 00:01:55.160]  我其實那天去安息禮拜聽述她兒子的故事
[00:01:55.160 --> 00:02:00.380]  她生病到一個地步,醫生說她應該康復不了
[00:02:00.380 --> 00:02:04.640]  從醫學的角度上,她的病應該沒得救了
[00:02:04.640 --> 00:02:09.420]  甚至她已經進了靈室
[00:02:09.420 --> 00:02:17.000]  大家知道靈室是做善綜的,準備最後的日子
[00:02:17.000 --> 00:02:22.720]  很奇怪,她在靈室遇到一個基督徒醫生
[00:02:22.720 --> 00:02:28.000]  醫生直接告訴她,從醫學的角度來說
[00:02:28.000 --> 00:02:31.200]  你的病是沒得康復的
[00:02:31.200 --> 00:02:38.320]  不過,你可以祈禱,求主支持你
[00:02:38.320 --> 00:02:41.940]  事情就是這樣發生了
[00:02:41.940 --> 00:02:46.980]  發生什麼事呢?就是過了一段時間後
[00:02:46.980 --> 00:02:52.800]  這個伯伯居然康復了
[00:02:52.800 --> 00:02:55.700]  可以出院了
[00:02:55.700 --> 00:03:02.300]  其實就是在這個過程中,她更深的認識這位神
[00:03:02.300 --> 00:03:09.060]  最後她回到屋苑附近的一間教會
[00:03:09.060 --> 00:03:15.640]  直到她在那裏再一次缺志,受洗
[00:03:15.640 --> 00:03:20.680]  最後,這間教會爲她安排了這個安息禮拜
[00:03:20.680 --> 00:03:26.220]  我想,我去到殯儀館裏面,去到安息禮拜當中
[00:03:26.220 --> 00:03:31.520]  看着中央那張照片的時候,心裏就很感動
[00:03:31.520 --> 00:03:37.520]  除了想起過往跟街坊一起互動的片段
[00:03:37.520 --> 00:03:41.940]  心裏就覺得,真是好啊,主真是好
[00:03:41.940 --> 00:03:48.340]  主對這個伯伯的愛,對他那種憐憫真是好
[00:03:48.340 --> 00:03:51.800]  他真是一個很好的伯伯,我們很喜歡他
[00:03:51.800 --> 00:03:57.860]  但我們經常覺得,哇,其實他相信主就最好了
[00:03:57.860 --> 00:04:01.460]  所以我覺得,當我和我太太去到安息禮拜裏面的時候
[00:04:01.460 --> 00:04:03.840]  去到後期一路聽述詩的時候
[00:04:03.840 --> 00:04:07.740]  我們兩個都很感動,心裏真的很感動
[00:04:07.740 --> 00:04:12.980]  覺得主這樣透過不同的人去祝福一個生命
[00:04:12.980 --> 00:04:16.620]  以至這個生命最終去到人生最後的階段
[00:04:16.620 --> 00:04:21.880]  能夠認識神,能夠安然地回到天家裏面
[00:04:21.880 --> 00:04:28.940]  這都是她一個未信耶穌的兒子自己說出來的
[00:04:28.940 --> 00:04:37.900]  到最後,她的大兒子述事,他說,爸爸的這個生命的見證
[00:04:37.900 --> 00:04:43.020]  是令他們幾兄妹再一次思想
[00:04:43.020 --> 00:04:47.500]  信仰對一個人生的意義是什麼
[00:04:47.500 --> 00:04:50.540]  所以整個過程裏面,我覺得,哇,真是很感恩
[00:04:50.540 --> 00:04:54.200]  我們都在學習,我們都在學習什麼呢
[00:04:54.200 --> 00:05:00.640]  現在在我們的屋苑裏面,特別是我們對這些老人家會比較
[00:05:00.640 --> 00:05:05.780]  比較賞心點,感動點,會鬧多一點,講多一點,談多一點
[00:05:05.780 --> 00:05:10.520]  其實坦白說,很有趣的,我們那層樓
[00:05:10.520 --> 00:05:14.020]  我們去安息禮拜已經不是第一次了
[00:05:14.020 --> 00:05:16.380]  已經是第二次了,第二次了
[00:05:16.380 --> 00:05:20.680]  我覺得,不知道主是否感動我們,要在我們的屋苑裏面
