
[00:00:00.000 --> 00:00:03.520]  今天我想跟大家分享神指引的地方
[00:00:03.520 --> 00:00:06.960]  他必會供應這個主題
[00:00:06.960 --> 00:00:09.480]  如果大家有機會來過我家
[00:00:09.480 --> 00:00:11.480]  你可能會發覺我家很特別
[00:00:11.480 --> 00:00:13.800]  我家很多的地方、很多的角落
[00:00:13.800 --> 00:00:17.840]  你都可以看到很多不同的聖經金句掛在這裡
[00:00:17.840 --> 00:00:22.880]  但是有一幅聖經金句掛在我的客人浴室裡面
[00:00:22.880 --> 00:00:24.520]  是我特別喜歡的
[00:00:24.520 --> 00:00:27.360]  也特別引起了我的好奇心
[00:00:27.360 --> 00:00:40.480]  這句話是來自《二塞亞書》的 58 章 11 節
[00:00:40.480 --> 00:00:42.080]  但是我查一下經文的時候
[00:00:42.080 --> 00:00:45.960]  原來寫出來的字句是跟它不一樣的
[00:00:45.960 --> 00:00:48.240]  所以我好奇心驅使之下
[00:00:48.240 --> 00:00:50.320]  我就去研究多一些這句話
[00:00:50.320 --> 00:00:53.120]  神指引的地方他必會供應
[00:00:53.120 --> 00:00:56.200]  是不是有背後的聖經的真理
[00:00:56.200 --> 00:00:57.920]  在這段探索的過程裡面
[00:00:57.920 --> 00:01:00.800]  我想探索一下這句話的說法
[00:01:00.800 --> 00:01:04.600]  是不是根據聖經的教導而準確無誤的呢
[00:01:04.600 --> 00:01:05.840]  在這個探索過程裡面
[00:01:05.840 --> 00:01:08.320]  我想增加自己對神的認識
[00:01:08.320 --> 00:01:11.320]  對神的屬性品格更加多一些認識
[00:01:11.320 --> 00:01:14.560]  當事情不如我們預期發生的時候
[00:01:14.560 --> 00:01:19.680]  神是不是真的會供應我們的需要等等的深刻問題
[00:01:19.680 --> 00:01:22.520]  了解神童尋求祂的指引
[00:01:22.520 --> 00:01:27.520]  是一個基督徒成熟的標誌之一
[00:01:27.520 --> 00:01:28.920]  在今天我的分享當中
[00:01:28.920 --> 00:01:31.760]  我會用自己一些家人的經歷
[00:01:31.760 --> 00:01:34.840]  來見證神的供應和帶領
[00:01:34.840 --> 00:01:37.640]  我會分享我一家人被呼召回到亞洲
[00:01:37.640 --> 00:01:40.840]  做跡象棚、大跡侍奉的宣教歷程
[00:01:40.840 --> 00:01:42.200]  在那二十八年裡面
[00:01:42.200 --> 00:01:46.040]  我的一家人都依靠神的帶領和供應
[00:01:46.040 --> 00:01:51.200]  在生活中見證了神的屬實
[00:01:51.200 --> 00:01:53.040]  我們在進一步講述之前
[00:01:53.040 --> 00:01:56.240]  我們大家可以一起為今天的訊息禱告
[00:01:56.240 --> 00:01:58.480]  求主求神的靈預備我們的心
[00:01:58.480 --> 00:02:02.680]  我們一起低求禱告
[00:02:02.680 --> 00:02:05.640]  天父我們聚集一齊敬拜祢的時候
[00:02:05.640 --> 00:02:08.760]  我們尋求祢與我們同在
[00:02:08.760 --> 00:02:11.680]  當我們今天深思祢話語的時候
[00:02:11.680 --> 00:02:15.160]  願祢的話語引導我們遵循祢的道路
[00:02:15.160 --> 00:02:18.240]  願祢的聖靈開啟我們的理解
[00:02:18.240 --> 00:02:20.320]  並以祢的旨意充滿我們
[00:02:20.320 --> 00:02:23.120]  奉主耶穌基督的名禱告
[00:02:23.120 --> 00:02:28.280]  阿們
[00:02:28.280 --> 00:02:32.400]  今天如果我們看一卦神引導之處
[00:02:32.400 --> 00:02:33.960]  他必有供應
[00:02:33.960 --> 00:02:38.240]  對基督徒來說是一個很強而有力的訊息
[00:02:38.240 --> 00:02:42.480]  這個訊息是深深紮根於聖經的一些教導
[00:02:42.480 --> 00:02:46.400]  二財亞書第五十八章第十一節這樣說
[00:02:46.400 --> 00:02:49.160]  耶和華必事上引導你
[00:02:49.160 --> 00:02:52.560]  在乾旱之地使你心滿意足
[00:02:52.560 --> 00:02:55.720]  骨頭堅固你必像曉冠的原子
[00:02:55.720 --> 00:03:00.880]  又像水流不斷的泉源
[00:03:00.880 --> 00:03:05.080]  在這段聖經裡面強調了一個很實在的信念
[00:03:05.080 --> 00:03:07.920]  就是我們跟隨神指引的時候
[00:03:07.920 --> 00:03:09.760]  祂會供應我們的需要
[00:03:09.760 --> 00:03:13.360]  並豐盛的賜福給我們
[00:03:13.360 --> 00:03:16.680]  神要求我們安心於祂的信實
[00:03:16.680 --> 00:03:19.440]  更審一層來思想的話
[00:03:19.440 --> 00:03:22.920]  神是會將我們生命裡面的力量
[00:03:22.920 --> 00:03:25.240]  滋潤我們的泉源
[00:03:25.240 --> 00:03:27.960]  即使我們最艱難的時候
[00:03:27.960 --> 00:03:33.560]  神都是一樣永遠不變的
[00:03:33.560 --> 00:03:38.080]  首先我想簡簡單單地說一說二財亞書的背景
[00:03:38.080 --> 00:03:42.360]  二財亞書在傳統上是出自於先知二賽亞
[00:03:42.360 --> 00:03:44.640]  他是亞摩斯的兒子
[00:03:44.640 --> 00:03:47.080]  生活在公元前八世紀
[00:03:47.080 --> 00:03:51.960]  二賽亞先知的預言橫跨了猶大四個皇帝
[00:03:51.960 --> 00:03:56.560]  烏西亞王、約坦王、阿哈斯王和希西加王
[00:03:56.560 --> 00:04:01.080]  他的信息是針對了以色列人道德敗壞和衰落
[00:04:01.080 --> 00:04:05.200]  當初以色列人是要悔改並重新信靠實
[00:04:05.200 --> 00:04:09.040]  這本經書是涉及到上帝的聖潔
[00:04:09.040 --> 00:04:13.120]  彌賽亞的來臨和救贖盼望等等
[00:04:13.120 --> 00:04:17.800]  二賽亞的事故發生在猶大歷史上一個很動盪的時期
[00:04:17.800 --> 00:04:21.080]  這個時期猶大是面臨來自亞述等
[00:04:21.080 --> 00:04:23.720]  很強大的帝國的外部威脅
[00:04:23.720 --> 00:04:24.600]  不單止如此
[00:04:24.600 --> 00:04:29.880]  以色列人同時也有很腐敗和社會不公平的內部挑戰
[00:04:29.880 --> 00:04:32.000]  二賽亞書預言針對這個問題
[00:04:32.000 --> 00:04:35.320]  呼籲以色列人要回歸
[00:04:35.320 --> 00:04:39.720]  對神的信實並警告即將來到的審判
[00:04:39.720 --> 00:04:42.440]  二賽亞書描述了彌賽亞
[00:04:42.440 --> 00:04:45.800]  即是那位將來會救贖我們的仇苦僕人
[00:04:45.800 --> 00:04:48.720]  他就是對以後的信徒
[00:04:48.720 --> 00:04:52.320]  能夠理解到耶穌基督使命和身份
[00:04:52.320 --> 00:04:56.400]  提出一個很深深的神學的基礎
[00:04:56.400 --> 00:04:58.600]  二賽亞書第四十到五十八章
[00:04:58.600 --> 00:05:03.320]  其實標記了一個很大的書寫的轉變方向
[00:05:03.320 --> 00:05:07.680]  從一個審判的主題轉為安慰和希望
[00:05:07.680 --> 00:05:13.400]  二賽亞向秘魯的以色列人宣告神是沒有忘記他們的
[00:05:13.400 --> 00:05:15.440]  鼓勵以色列人要信靠神
[00:05:15.440 --> 00:05:19.040]  信靠神的大能和他不變的認許
[00:05:19.040 --> 00:05:21.520]  來到二賽亞書第五十八章
[00:05:21.520 --> 00:05:26.440]  二賽亞呼籲以色列人從他的單純的儀式的崇拜悔改過來
[00:05:26.440 --> 00:05:30.600]  要轉化為真誠公義的敬拜
[00:05:30.600 --> 00:05:35.520]  他挑戰信徒要檢查自己崇拜是不是敬虔誠實
[00:05:35.520 --> 00:05:39.760]  這張書提醒我們真正的敬拜不是一些宗教的儀式
[00:05:39.760 --> 00:05:42.120]  而是通過我們和神和人
[00:05:42.120 --> 00:05:45.880]  一個很密切的愛和關係來體現出來
[00:05:45.880 --> 00:05:49.000]  認定神的供應在我們生活裡面所需
