
[00:00:00.000 --> 00:00:01.480]  禮拜四早上
[00:00:01.480 --> 00:00:03.120]  不 禮拜四晚上
[00:00:03.120 --> 00:00:08.080]  跟太太去了兒子的學校裡的
[00:00:08.080 --> 00:00:10.920]  交響樂的音樂會
[00:00:10.920 --> 00:00:13.080]  如果大家認識我就知道
[00:00:13.080 --> 00:00:16.080]  我對音樂一竅不通
[00:00:16.080 --> 00:00:19.000]  很明顯就是對牛彈琴
[00:00:19.000 --> 00:00:21.920]  我就自然睡覺睡得很舒服
[00:00:21.920 --> 00:00:24.680]  但到了最後
[00:00:24.680 --> 00:00:27.280]  尾二的那首歌就突然醒了
[00:00:28.280 --> 00:00:31.480]  尾二的那首歌就叫彈奏
[00:00:31.480 --> 00:00:33.360]  O Come O Come Emmanuel
[00:00:33.360 --> 00:00:34.920]  就是剛才第一首
[00:00:34.920 --> 00:00:36.480]  師哥勁大的師哥
[00:00:36.480 --> 00:00:38.880]  以馬內利懇求幹臨
[00:00:38.880 --> 00:00:43.440]  這首是一首非常非常喜歡的聖誕歌
[00:00:43.440 --> 00:00:44.720]  我最喜歡的是這首
[00:00:44.720 --> 00:00:48.080]  這首大概是十二三世紀的一首
[00:00:48.080 --> 00:00:49.760]  拉丁文的詩歌
[00:00:49.760 --> 00:00:53.000]  很出奇很出乎意料之外
[00:00:53.000 --> 00:00:57.000]  整個交響樂團的老師重新編曲
[00:00:57.840 --> 00:01:01.120]  以致整首歌所展現的
[00:01:01.120 --> 00:01:02.360]  是一點都不哀怨
[00:01:02.360 --> 00:01:03.840]  是很歡呼
[00:01:03.840 --> 00:01:05.440]  是很喜樂
[00:01:05.440 --> 00:01:07.920]  並且很莊嚴的
[00:01:07.920 --> 00:01:12.280]  在等候著那位彌賽亞君王
[00:01:12.280 --> 00:01:13.760]  幹臨的一種氣氛
[00:01:13.760 --> 00:01:16.520]  我聽得很開心
[00:01:16.520 --> 00:01:19.040]  但心裡也有一個很震撼
[00:01:19.040 --> 00:01:23.080]  重新讓我想起張臨奇究竟是怎麼一回事
[00:01:23.080 --> 00:01:25.000]  張臨奇很明顯
[00:01:25.000 --> 00:01:26.000]  我們要回顧
[00:01:26.000 --> 00:01:28.000]  我們紀念主耶穌基督的降生
[00:01:28.000 --> 00:01:30.400]  大家是期盼祂第二次的降臨
[00:01:30.400 --> 00:01:34.560]  但當我們回想第一次主耶穌基督降生的時候
[00:01:34.560 --> 00:01:35.520]  很多時候我們想
[00:01:35.520 --> 00:01:38.320]  有一點童話故事的感覺
[00:01:38.320 --> 00:01:39.880]  有些羊
[00:01:39.880 --> 00:01:42.160]  有些閃閃的星星
[00:01:42.160 --> 00:01:43.200]  白色的屋子
[00:01:43.200 --> 00:01:44.040]  馬槽
[00:01:44.040 --> 00:01:48.720]  馬槽通常到我們去做聖誕節表演的時候
[00:01:48.720 --> 00:01:50.320]  馬槽是零碎乾淨的
[00:01:50.320 --> 00:01:51.960]  彷彿沒有了牛
[00:01:51.960 --> 00:01:53.840]  羊的味道
[00:01:53.840 --> 00:01:56.360]  屎味什麼都沒有
[00:01:56.360 --> 00:01:59.240]  但其實一點都不是這樣的處境
[00:01:59.240 --> 00:02:02.160]  但像童話故事一樣很開心
[00:02:02.160 --> 00:02:04.200]  很溫暖
[00:02:04.200 --> 00:02:05.400]  很安靜
[00:02:05.400 --> 00:02:06.240]  很平靜
[00:02:06.240 --> 00:02:09.160]  但我回想
[00:02:09.160 --> 00:02:13.400]  當我們迎接主耶穌基督第二次回來的時候
[00:02:13.400 --> 00:02:16.840]  我們應該好像很莊嚴
[00:02:16.840 --> 00:02:17.760]  很歡樂
[00:02:17.760 --> 00:02:20.760]  很歡慶地迎接一個君王再臨
[00:02:21.680 --> 00:02:26.560]  讓我想起耶穌最後一個禮拜進入耶路撒冷的時候
[00:02:26.560 --> 00:02:30.120]  耶路撒冷門口所有人都排在兩旁
[00:02:30.120 --> 00:02:31.920]  他的衣服鋪在地上
[00:02:31.920 --> 00:02:34.200]  大家高呼「和撒拿!和撒拿!」
[00:02:34.200 --> 00:02:35.440]  那一幕
[00:02:35.440 --> 00:02:39.960]  以色列人
[00:02:39.960 --> 00:02:43.120]  一直都在期待一個領袖
