
[00:00:00.000 --> 00:00:06.000]  我們來看詩篇 119 篇
[00:00:06.000 --> 00:00:13.000]  我們今天要學習的是 41 節到 56 節
[00:00:13.000 --> 00:00:19.000]  一共有 16 節聖經
[00:00:19.000 --> 00:00:23.000]  這 16 節聖經是兩段
[00:00:23.000 --> 00:00:25.000]  每段是 8 節
[00:00:25.000 --> 00:00:27.000]  有兩個主題
[00:00:27.000 --> 00:00:31.000]  我們就把它合在一起來分享
[00:00:31.000 --> 00:00:35.000]  第一段是從 41 節到 48 節
[00:00:35.000 --> 00:00:41.000]  是講到求神顯明他的憐憫和拯救
[00:00:41.000 --> 00:00:45.000]  這是頭一段
[00:00:45.000 --> 00:00:51.000]  下面這一段是 49 節到 56 節
[00:00:51.000 --> 00:00:56.000]  是講到在患難中的盼望和安慰
[00:00:56.000 --> 00:00:59.000]  我們就來看這 16 節聖經
[00:00:59.000 --> 00:01:01.000]  我們先來看第一段
[00:01:01.000 --> 00:01:07.000]  求神顯明他的憐憫和拯救
[00:01:07.000 --> 00:01:09.000]  這是一個禱告
[00:01:09.000 --> 00:01:13.000]  這 8 節聖經也是一個禱告
[00:01:13.000 --> 00:01:17.000]  這 8 節聖經有兩個懇求
[00:01:17.000 --> 00:01:18.000]  有兩個求
[00:01:18.000 --> 00:01:21.000]  41 節是個求
[00:01:21.000 --> 00:01:26.000]  願禰照禰的話使禰的慈愛
[00:01:26.000 --> 00:01:29.000]  就是禰的救恩臨到我身上
[00:01:29.000 --> 00:01:32.000]  這是向神一個懇求
[00:01:32.000 --> 00:01:35.000]  下面這 43 節
[00:01:35.000 --> 00:01:41.000]  求禰教真理的話總不離開我的口
[00:01:41.000 --> 00:01:44.000]  因我仰望禰的典章
[00:01:44.000 --> 00:01:48.000]  這 41 跟 43 是兩個求
[00:01:48.000 --> 00:01:52.000]  其餘的 6 節是 6 個要、我要
[00:01:52.000 --> 00:01:55.000]  就是詩人一方面向神求
[00:01:55.000 --> 00:01:59.000]  一方面跟神說我要怎麼樣
[00:01:59.000 --> 00:02:01.000]  他說我要
[00:02:01.000 --> 00:02:06.000]  所以其他的 6 節是 6 個我要
[00:02:06.000 --> 00:02:13.000]  這個詩人禱告是很摸着神的心的
[00:02:13.000 --> 00:02:17.000]  因爲他不但是求神做什麼事情
[00:02:17.000 --> 00:02:22.000]  他還說我要怎麼樣來回應神所做的
[00:02:22.000 --> 00:02:25.000]  這就是一個敬畏神的人
[00:02:25.000 --> 00:02:28.000]  跟不敬畏神的人一個很大的分別
[00:02:28.000 --> 00:02:33.000]  不敬畏神的人只是求求求求
[00:02:33.000 --> 00:02:37.000]  但是具體他有心願要怎麼樣去做
[00:02:37.000 --> 00:02:42.000]  他並沒有做出來
[00:02:42.000 --> 00:02:45.000]  只是求沒有去做
[00:02:45.000 --> 00:02:49.000]  這是一個不合適的
[00:02:49.000 --> 00:02:53.000]  這個裏面我們看見他既有求
[00:02:53.000 --> 00:02:57.000]  他們也對神所求的事情他有回應的
[00:02:57.000 --> 00:03:03.000]  這就是一個敬畏神的人的禱告
[00:03:03.000 --> 00:03:07.000]  頭三節是說到求神的憐憫
[00:03:07.000 --> 00:03:10.000]  因爲我們屬於神的人
[00:03:10.000 --> 00:03:14.000]  他覺得最重要的就是神的憐憫
[00:03:14.000 --> 00:03:17.000]  因爲我們不是憑着自己有什麼力量
[00:03:17.000 --> 00:03:19.000]  可以來做什麼事情
[00:03:19.000 --> 00:03:22.000]  我們一切的都需要神憐憫
[00:03:22.000 --> 00:03:24.000]  我們多麼軟弱
[00:03:24.000 --> 00:03:26.000]  我們需要神憐憫我們
[00:03:26.000 --> 00:03:28.000]  我們的心思不太穩定
[00:03:28.000 --> 00:03:30.000]  我們需要神憐憫我們
[00:03:30.000 --> 00:03:33.000]  我們常常會走錯路
[00:03:33.000 --> 00:03:35.000]  也需要神的憐憫
[00:03:35.000 --> 00:03:39.000]  所以這是一個求憐憫的一個禱告
[00:03:39.000 --> 00:03:42.000]  他說耶和華願禰照禰的話
[00:03:42.000 --> 00:03:45.000]  使禰的慈愛就是禰的救恩
[00:03:45.000 --> 00:03:47.000]  領到我身上
[00:03:47.000 --> 00:03:50.000]  這救恩就是拯救的意思
[00:03:50.000 --> 00:03:52.000]  並不是說他還沒有信主
[00:03:52.000 --> 00:03:54.000]  要得到神的救恩
[00:03:54.000 --> 00:03:56.000]  他是需要神的拯救
[00:03:56.000 --> 00:03:58.000]  在每天的生活中間
[00:03:58.000 --> 00:04:01.000]  一些所謂的征戰當中
[00:04:01.000 --> 00:04:04.000]  都需要神拯救他
[00:04:04.000 --> 00:04:10.000]  讓神的拯救能夠領到他身上
[00:04:10.000 --> 00:04:12.000]  第二個求
[00:04:12.000 --> 00:04:18.000]  就是要求神的慈愛
[00:04:18.000 --> 00:04:23.000]  他說禰的慈愛就是禰的救恩
[00:04:23.000 --> 00:04:30.000]  這個英文的慈愛是一種堅定的愛
[00:04:30.000 --> 00:04:33.000]  神有一種堅定的愛
[00:04:33.000 --> 00:04:35.000]  不管環境怎麼樣
[00:04:35.000 --> 00:04:38.000]  不管對面對方是怎麼樣
[00:04:38.000 --> 00:04:40.000]  他有一個堅定的愛
[00:04:40.000 --> 00:04:43.000]  他一愛的話就愛到底
[00:04:43.000 --> 00:04:46.000]  他無論人怎麼失敗
[00:04:46.000 --> 00:04:48.000]  他總是愛他們
[00:04:48.000 --> 00:04:51.000]  那這個是一種叫loving kindness
[00:04:51.000 --> 00:04:53.000]  這種堅定的愛
[00:04:53.000 --> 00:04:56.000]  在救恩裏頭摩西向神禱告
[00:04:56.000 --> 00:04:58.000]  神向他啓示的話
[00:04:58.000 --> 00:05:01.000]  也是說到有這樣一種愛
[00:05:01.000 --> 00:05:03.000]  堅定的愛
[00:05:03.000 --> 00:05:07.000]  所以詩人當時遇到一些難處
[00:05:07.000 --> 00:05:10.000]  當時在第二節說
[00:05:10.000 --> 00:05:12.000]  四十二節說
[00:05:12.000 --> 00:05:16.000]  我就有話回答那羞辱我的
[00:05:16.000 --> 00:05:19.000]  當時他受到人的羞辱
[00:05:19.000 --> 00:05:22.000]  所以他覺得他很難承擔
[00:05:22.000 --> 00:05:25.000]  所以他就來到神的面前
[00:05:25.000 --> 00:05:27.000]  來向神祈求
[00:05:27.000 --> 00:05:30.000]  什麼是叫做信徒感到
[00:05:30.000 --> 00:05:33.000]  最叫他羞辱的話呢
[00:05:33.000 --> 00:05:35.000]  不是羞辱他本身
[00:05:35.000 --> 00:05:39.000]  這些羞辱的話是挾住神
[00:05:39.000 --> 00:05:42.000]  當你的信徒聽到一些
[00:05:42.000 --> 00:05:44.000]  挾住神的時候
[00:05:44.000 --> 00:05:47.000]  這是非常難受的事情
[00:05:47.000 --> 00:05:49.000]  因爲他愛的是神
[00:05:49.000 --> 00:05:51.000]  現在他所愛的神
[00:05:51.000 --> 00:05:54.000]  被人羞辱被人挾住的話
[00:05:54.000 --> 00:05:57.000]  他心裏頭是非常的難受的
[00:05:57.000 --> 00:05:59.000]  怎麼辦呢
[00:05:59.000 --> 00:06:02.000]  他就要求神來幫助
[00:06:02.000 --> 00:06:04.000]  求神來幫助
[00:06:04.000 --> 00:06:06.000]  他說他沒有話
[00:06:06.000 --> 00:06:08.000]  他就沒有辦法來回應
[00:06:08.000 --> 00:06:10.000]  來適應這樣的情況
[00:06:10.000 --> 00:06:12.000]  所以他就說
[00:06:12.000 --> 00:06:15.000]  他要求神的救恩
[00:06:15.000 --> 00:06:19.000]  拯救能夠領導他
[00:06:19.000 --> 00:06:23.000]  慈愛就是憐憫
[00:06:23.000 --> 00:06:25.000]  所以叫憐憫
[00:06:25.000 --> 00:06:27.000]  這個憐憫呢
[00:06:27.000 --> 00:06:28.000]  神的慈愛呢
[00:06:28.000 --> 00:06:31.000]  對我們起好多方面的作用
[00:06:31.000 --> 00:06:34.000]  他可以來呼喚我們
[00:06:34.000 --> 00:06:36.000]  可以來改變我們
[00:06:36.000 --> 00:06:38.000]  他來重申我們
[00:06:38.000 --> 00:06:39.000]  他叫我們
[00:06:39.000 --> 00:06:41.000]  稱我們爲義
[00:06:41.000 --> 00:06:44.000]  他能夠赦免我們的罪
[00:06:44.000 --> 00:06:47.000]  這些都是神的慈愛
[00:06:47.000 --> 00:06:49.000]  神的慈愛包括的範圍
[00:06:49.000 --> 00:06:50.000]  非常的廣
[00:06:50.000 --> 00:06:52.000]  非常的大
[00:06:52.000 --> 00:06:54.000]  若不是神的慈愛
[00:06:54.000 --> 00:06:56.000]  若不是神的憐憫
[00:06:56.000 --> 00:06:59.000]  我們這些罪人是沒有希望的
[00:06:59.000 --> 00:07:02.000]  即使神賜給你永生了
[00:07:02.000 --> 00:07:04.000]  你在今生這條路上呢
[00:07:04.000 --> 00:07:07.000]  你走起來也是困難重重
[00:07:07.000 --> 00:07:08.000]  就是每一步
[00:07:08.000 --> 00:07:12.000]  每一天都需要神的憐憫
[00:07:12.000 --> 00:07:15.000]  神的愛來隨着我們
[00:07:15.000 --> 00:07:18.000]  所以我們感謝神
[00:07:18.000 --> 00:07:19.000]  神不但救了我們
[00:07:19.000 --> 00:07:22.000]  還賜給我們有信心
[00:07:22.000 --> 00:07:25.000]  這信心的兩大支柱
[00:07:25.000 --> 00:07:27.000]  最重要的兩點呢
[00:07:27.000 --> 00:07:29.000]  就是一個是神的憐憫
[00:07:29.000 --> 00:07:31.000]  神憐憫我們
[00:07:31.000 --> 00:07:33.000]  所以我們是有希望的
[00:07:33.000 --> 00:07:37.000]  我們是可以跟隨主到最後的
[00:07:37.000 --> 00:07:39.000]  我們能夠得到救恩
[00:07:39.000 --> 00:07:40.000]  是不會失去的
[00:07:40.000 --> 00:07:43.000]  這是神的憐憫
[00:07:43.000 --> 00:07:44.000]  還有一個呢
[00:07:44.000 --> 00:07:46.000]  就是神的話
[00:07:46.000 --> 00:07:48.000]  神給我們話
[00:07:48.000 --> 00:07:51.000]  爲什麼他給我們這本聖經
[00:07:51.000 --> 00:07:53.000]  這麼多的話
[00:07:53.000 --> 00:07:54.000]  就是他
[00:07:54.000 --> 00:07:56.000]  就是叫我們有信心
[00:07:56.000 --> 00:07:57.000]  有了他的話
[00:07:57.000 --> 00:07:59.000]  我們就有信心
[00:07:59.000 --> 00:08:01.000]  所以信心的兩大支柱呢
[00:08:01.000 --> 00:08:03.000]  就是一個神的憐憫
[00:08:03.000 --> 00:08:06.000]  一個就是神的話
[00:08:06.000 --> 00:08:09.000]  那麼什麼是褻瀆神的話呢
[00:08:09.000 --> 00:08:13.000]  一般的看起來有三種
[00:08:13.000 --> 00:08:16.000]  有三種褻瀆神的話
[00:08:16.000 --> 00:08:18.000]  一個是來自撒旦的
[00:08:18.000 --> 00:08:20.000]  撒旦褻瀆神
[00:08:20.000 --> 00:08:22.000]  還有一種呢是異端
[00:08:22.000 --> 00:08:25.000]  名稱說他是基督徒
[00:08:25.000 --> 00:08:27.000]  其實他不是真基督徒
[00:08:27.000 --> 00:08:29.000]  他是異端
[00:08:29.000 --> 00:08:31.000]  這是褻瀆神的
[00:08:31.000 --> 00:08:33.000]  還有一般的世人
[00:08:33.000 --> 00:08:35.000]  不敬畏神的人
[00:08:35.000 --> 00:08:37.000]  毀謗神的
[00:08:37.000 --> 00:08:41.000]  這三方面來的褻瀆神的話
[00:08:41.000 --> 00:08:43.000]  那麼對於這個撒旦來的話呢
[00:08:43.000 --> 00:08:46.000]  聖經裏頭告訴我們
[00:08:46.000 --> 00:08:51.000]  用我們裏面謙卑的話來回答他
[00:08:51.000 --> 00:08:54.000]  我們不是去跟他辯駁
[00:08:54.000 --> 00:08:56.000]  跟他責罵他
[00:08:56.000 --> 00:09:00.000]  我們是用裏面我們對神的敬畏
[00:09:00.000 --> 00:09:04.000]  知道他所說的都是沒有道理
[00:09:04.000 --> 00:09:06.000]  都是這種褻瀆的話
[00:09:06.000 --> 00:09:09.000]  不值得一個一個跟他辯駁去
[00:09:09.000 --> 00:09:11.000]  我們很謙卑
[00:09:11.000 --> 00:09:15.000]  對神承認我們是神的兒女
[00:09:15.000 --> 00:09:19.000]  我們用簡單的話來回答他
[00:09:19.000 --> 00:09:21.000]  那對異端呢
[00:09:21.000 --> 00:09:23.000]  褻瀆神的話呢
[00:09:23.000 --> 00:09:26.000]  我們就用智慧的言語
[00:09:26.000 --> 00:09:30.000]  用我們聖經裏頭所學習到的
[00:09:30.000 --> 00:09:34.000]  適當的按照他們所提出來的
[00:09:34.000 --> 00:09:36.000]  我們來回答他
[00:09:36.000 --> 00:09:40.000]  那麼對於一些毀謗的人
[00:09:40.000 --> 00:09:42.000]  這些人不信神
[00:09:42.000 --> 00:09:44.000]  他毀謗神
[00:09:44.000 --> 00:09:46.000]  譏笑神
[00:09:46.000 --> 00:09:47.000]  譏笑基督徒
[00:09:47.000 --> 00:09:49.000]  那麼這些話怎麼回答呢
[00:09:49.000 --> 00:09:53.000]  用我們端正的行爲
[00:09:53.000 --> 00:09:56.000]  用我們敬畏神的行爲
[00:09:56.000 --> 00:10:02.000]  用神給我們活潑的話來回答他
[00:10:02.000 --> 00:10:04.000]  跟不信神的人
[00:10:04.000 --> 00:10:06.000]  如果人家譏笑你
[00:10:06.000 --> 00:10:11.000]  來褻瀆神的話
[00:10:11.000 --> 00:10:14.000]  我們就一定要有平時
[00:10:14.000 --> 00:10:17.000]  我們有一個端正的行爲
[00:10:17.000 --> 00:10:22.000]  我們用好行爲的表現來回答他
[00:10:22.000 --> 00:10:24.000]  所以對這個三方面
[00:10:24.000 --> 00:10:28.000]  我們都來學習
[00:10:28.000 --> 00:10:33.000]  用神的話來回答羞辱他的人
[00:10:33.000 --> 00:10:34.000]  四十二節說
[00:10:34.000 --> 00:10:37.000]  他說我倚靠你的話
[00:10:37.000 --> 00:10:41.000]  他說我就用話回答那羞辱我的
[00:10:41.000 --> 00:10:44.000]  因我倚靠你的話
[00:10:44.000 --> 00:10:47.000]  倚靠你的話
[00:10:47.000 --> 00:10:49.000]  這就是真的信心
[00:10:49.000 --> 00:10:51.000]  不是靠自己的口才
[00:10:51.000 --> 00:10:55.000]  來回答這些褻瀆神的人
[00:10:55.000 --> 00:10:56.000]  羞辱他的人
[00:10:56.000 --> 00:10:58.000]  而是用信心
[00:10:58.000 --> 00:11:00.000]  不信自己
[00:11:00.000 --> 00:11:03.000]  只是信神跟他的話
[00:11:03.000 --> 00:11:05.000]  因爲你尊重神的話
[00:11:05.000 --> 00:11:07.000]  神必定尊重你
[00:11:07.000 --> 00:11:09.000]  當你把自己交給神
[00:11:09.000 --> 00:11:11.000]  靠着神說話的話
[00:11:11.000 --> 00:11:16.000]  你就有合適的話可以回答他們
[00:11:16.000 --> 00:11:18.000]  那麼這個信心
[00:11:18.000 --> 00:11:20.000]  就是你認識到
[00:11:20.000 --> 00:11:24.000]  你是得到的救恩是很確實的
[00:11:24.000 --> 00:11:25.000]  在人看起來
[00:11:25.000 --> 00:11:26.000]  可能他不懂
[00:11:26.000 --> 00:11:29.000]  他認爲很虛無縹緲
[00:11:29.000 --> 00:11:31.000]  但是你是信主的人
[00:11:31.000 --> 00:11:33.000]  你明白自己是神的兒女
[00:11:33.000 --> 00:11:35.000]  你知道這個信心
[00:11:35.000 --> 00:11:38.000]  是救恩是很確實的
[00:11:38.000 --> 00:11:39.000]  這樣的話
[00:11:39.000 --> 00:11:42.000]  你就有神會給你智慧的話
[00:11:42.000 --> 00:11:46.000]  來回答那些反對他的人
[00:11:46.000 --> 00:11:47.000]  四十三節說
[00:11:47.000 --> 00:11:50.000]  求你教真理的話
[00:11:50.000 --> 00:11:51.000]  神的話語部分
[00:11:51.000 --> 00:11:53.000]  裏頭是真理的話
[00:11:53.000 --> 00:11:54.000]  就是什麼
[00:11:54.000 --> 00:11:56.000]  就是神的應許
[00:11:56.000 --> 00:11:58.000]  神的應許
[00:11:58.000 --> 00:12:00.000]  就仰望神出來做
[00:12:00.000 --> 00:12:03.000]  有時候我們靠自己的想法
[00:12:03.000 --> 00:12:07.000]  口才都沒有辦法來回答的話
[00:12:07.000 --> 00:12:10.000]  這需要神出來做
[00:12:10.000 --> 00:12:12.000]  叫我們說話的時候
[00:12:12.000 --> 00:12:14.000]  有堅定的把握
[00:12:14.000 --> 00:12:16.000]  叫做神的意識
[00:12:16.000 --> 00:12:20.000]  那麼這就是有堅定的話
[00:12:20.000 --> 00:12:22.000]  所以我們對人相處
[00:12:22.000 --> 00:12:27.000]  我們不怕人譏笑我們是基督徒
[00:12:27.000 --> 00:12:29.000]  我們在受傷的時候
[00:12:29.000 --> 00:12:33.000]  可以表明我們自己是信仰是什麼
[00:12:33.000 --> 00:12:36.000]  這個是需要的
[00:12:36.000 --> 00:12:38.000]  我們不是一直在講
[00:12:38.000 --> 00:12:40.000]  我們所信的東西
[00:12:40.000 --> 00:12:43.000]  但是我們適當的可以表明
[00:12:43.000 --> 00:12:45.000]  我們所信的神
[00:12:45.000 --> 00:12:46.000]  他愛我們
[00:12:46.000 --> 00:12:48.000]  我本來是怎麼樣的
[00:12:48.000 --> 00:12:50.000]  現在我改變了
[00:12:50.000 --> 00:12:52.000]  都是因爲神的緣故
[00:12:52.000 --> 00:12:53.000]  這樣的話
[00:12:53.000 --> 00:12:56.000]  你可以適當的表明你的信仰
[00:12:56.000 --> 00:12:57.000]  那麼這樣的話
