
[00:00:00.000 --> 00:00:03.200]  呢個比喻係一個唔容易解釋嘅比喻
[00:00:03.200 --> 00:00:05.200]  呢個比喻有四個角色
[00:00:05.200 --> 00:00:09.000]  一個主人 一個管家 有兩個債仔
[00:00:09.000 --> 00:00:11.000]  個管家就肯定係個主角
[00:00:11.000 --> 00:00:15.000]  但係呢個管家呢 根據聖經講呢係不義
[00:00:15.000 --> 00:00:20.000]  同呢個不義嘅人當中 佢哋學啲咩呢咁
[00:00:20.000 --> 00:00:26.000]  喺越戰期間呢 有一個孫教士 俾北越去捉咗
[00:00:26.000 --> 00:00:30.000]  咁呀坐監 喺軟禁期間呢
[00:00:30.000 --> 00:00:35.000]  咁呢個孫教士就同一個看守嘅士兵就同佢分享真理呀
[00:00:35.000 --> 00:00:38.000]  成日為佢代討呀 成為好朋友
[00:00:38.000 --> 00:00:42.000]  咁有一日呢一個嘅士兵就同呢個孫教士講
[00:00:42.000 --> 00:00:46.000]  佢話我聽日要去打仗 要打一場硬仗
[00:00:46.000 --> 00:00:50.000]  但係呢場仗如果打贏咗呢
[00:00:50.000 --> 00:00:54.000]  共產主義喺越南呢 就能夠跨進一大步
[00:00:54.000 --> 00:00:58.000]  呢場仗就好凶險 我隨時冇命返嚟
[00:00:58.000 --> 00:01:02.000]  但我願意無死去打呢場仗
[00:01:02.000 --> 00:01:06.000]  呢個士兵就繼續講啦 你就成日同我傳福音
[00:01:06.000 --> 00:01:09.000]  但我認識一啲基督徒呢
[00:01:09.000 --> 00:01:13.000]  佢個信仰其實係 喂 生命嘅陪襯品嚟㗎喎
[00:01:13.000 --> 00:01:17.000]  可有可無喎 我唔同
[00:01:17.000 --> 00:01:21.000]  共產主義對我嚟講 係我嘅生命
[00:01:21.000 --> 00:01:25.000]  係我一切 咁呢個孫教士後尾佢
[00:01:25.000 --> 00:01:29.000]  佢放返出嚟呢 佢就常常用呢一個嘅越共士兵
[00:01:29.000 --> 00:01:33.000]  做一個例子 呢個越共士兵對佢
[00:01:33.000 --> 00:01:37.000]  所信嘅嘢 佢個毀身 佢嘅付出
[00:01:37.000 --> 00:01:41.000]  值得我哋學習 我哋唔信共產主義
[00:01:41.000 --> 00:01:45.000]  但我哋欣賞呢個士兵 佢嘅毀身
[00:01:45.000 --> 00:01:49.000]  佢嘅付出 呢個不義嘅管家呢
[00:01:49.000 --> 00:01:53.000]  我唔係認同佢嘅不義 但係佢有啲嘢呢係值得
[00:01:53.000 --> 00:01:57.000]  我哋學習 先睇呢個故事嘅背景先
[00:01:57.000 --> 00:02:01.000]  呢個故事一開始呢 就耶穌又對門徒說
[00:02:01.000 --> 00:02:05.000]  即係又對呢 佢之前講過一個比喻 而家又講
[00:02:05.000 --> 00:02:09.000]  佢之前講嘅比喻呢 就係浪子嘅比喻
[00:02:09.000 --> 00:02:13.000]  而呢個比喻呢 有三批聽眾
[00:02:13.000 --> 00:02:17.000]  第一批就係嗰班稅理罪人啦 第二批就係
[00:02:17.000 --> 00:02:21.000]  法理罪人 同埋民事 第三批就係門徒
[00:02:21.000 --> 00:02:25.000]  所以我哋相信 耶穌佢又講嘅時候 除咗門徒聽呢
[00:02:25.000 --> 00:02:29.000]  呢班民事同法理罪人呢 都係聽眾
[00:02:29.000 --> 00:02:33.000]  而緊接呢個比喻嘅第十四節呢
[00:02:33.000 --> 00:02:37.000]  佢係咁講 佢話法理罪人同民事
[00:02:37.000 --> 00:02:41.000]  貪愛錢財 貪瞞聽見這一切話 就嘲笑耶穌
[00:02:41.000 --> 00:02:45.000]  所以原來耶穌係特登講畀佢哋聽 因為點呀
[00:02:45.000 --> 00:02:49.000]  呢班人貪愛錢財 而從呢個比喻嘅結論
[00:02:49.000 --> 00:02:53.000]  第十三節 一個人又唔可以侍奉神 又唔可以侍奉錢
[00:02:53.000 --> 00:02:57.000]  我哋好相信呢個比喻嘅主題
