
[00:00:00.000 --> 00:00:04.000]  路加福音第二章第十到十一節
[00:00:04.000 --> 00:00:06.940]  這裏說那天使對他們說不要懼怕
[00:00:06.940 --> 00:00:10.600]  我報給你們大喜的信息是關乎萬民的
[00:00:10.600 --> 00:00:14.240]  因今天在大衛的城裏爲你們生了救主
[00:00:14.240 --> 00:00:17.100]  救世主基督 Amen
[00:00:17.100 --> 00:00:18.900]  再過兩天就是聖誕節了
[00:00:18.900 --> 00:00:20.740]  在這裏首先恭賀大家
[00:00:20.740 --> 00:00:23.800]  聖誕節非常非常快樂 Amen
[00:00:23.800 --> 00:00:27.940]  Hallelujah
[00:00:27.940 --> 00:00:30.900]  聖誕節是一個充滿歡樂的季節
[00:00:30.900 --> 00:00:32.700]  雖然我們今天所處的時代
[00:00:32.700 --> 00:00:36.700]  還是一個充滿動盪不安的一個世代
[00:00:36.700 --> 00:00:39.500]  但聖誕節之所以能夠帶給我們歡樂
[00:00:39.500 --> 00:00:42.500]  從來不是因爲我們的環境
[00:00:42.500 --> 00:00:44.200]  因爲有一句話說得好
[00:00:44.200 --> 00:00:47.900]  He is the reason for the season
[00:00:47.900 --> 00:00:49.240]  唯有耶穌基督
[00:00:49.240 --> 00:00:53.640]  是我們慶祝聖誕真正的原因 Amen
[00:00:53.640 --> 00:00:55.100]  也唯有耶穌基督
[00:00:55.100 --> 00:01:00.240]  才能夠在我們心靈的深處成爲我們喜樂的源頭
[00:01:00.240 --> 00:01:04.000]  事實上當我們看第一個聖誕節的時候
[00:01:04.000 --> 00:01:08.540]  雖然當時的世代是充滿黑暗跟艱難
[00:01:08.540 --> 00:01:10.700]  但主耶穌基督的降生
[00:01:10.700 --> 00:01:14.440]  真的帶來當時極大的一個喜樂
[00:01:14.440 --> 00:01:16.040]  我們看見瑪利亞
[00:01:16.040 --> 00:01:19.540]  當她知道她從聖靈要趕運生子
[00:01:19.540 --> 00:01:22.100]  要生耶穌基督的時候
[00:01:22.100 --> 00:01:25.140]  她心裏就充滿了歡喜快樂
[00:01:25.140 --> 00:01:27.700]  大聲來歌頌神
[00:01:27.700 --> 00:01:30.860]  而當瑪利亞把這個好消息告訴她的親戚
[00:01:30.860 --> 00:01:32.740]  以利沙伯的時候
[00:01:32.740 --> 00:01:36.000]  聖經說以利沙伯心中也充滿了歡喜
[00:01:36.000 --> 00:01:40.460]  連她婦女的胎兒也歡喜跳動
[00:01:40.460 --> 00:01:41.940]  在路加福音第二章裏面
[00:01:41.940 --> 00:01:44.540]  我們看見牧羊人歡喜
[00:01:44.540 --> 00:01:48.800]  而且天使在高空歌唱歌頌神
[00:01:48.800 --> 00:01:50.340]  天使宣告說
[00:01:50.340 --> 00:01:52.240]  我報給你們一個大喜的信息
[00:01:52.240 --> 00:01:53.740]  是關乎萬民的
[00:01:53.740 --> 00:01:55.700]  今天在大衛的城裏
[00:01:55.700 --> 00:01:57.340]  爲你們神裏 爲救主
[00:01:57.340 --> 00:01:59.300]  就是主基督
[00:01:59.300 --> 00:02:01.800]  這裏說到這個大喜的信息
[00:02:01.800 --> 00:02:04.740]  不只是關乎牧羊人的
[00:02:04.740 --> 00:02:07.100]  不只是關乎瑪利亞的
[00:02:07.100 --> 00:02:08.740]  更是關乎誰啊
[00:02:08.740 --> 00:02:10.040]  萬民
[00:02:10.040 --> 00:02:11.960]  請問誰是萬民啊
[00:02:11.960 --> 00:02:13.860]  我們就是萬民嘛
[00:02:13.860 --> 00:02:14.540]  換句話
[00:02:14.540 --> 00:02:18.660]  今天無論我們處在怎麼樣的環境當中
[00:02:18.660 --> 00:02:22.840]  主耶穌的降生就是要來翻轉我們的生命
[00:02:22.840 --> 00:02:25.640]  而且重新帶給我們喜樂
[00:02:25.640 --> 00:02:26.840]   Amen
[00:02:26.840 --> 00:02:29.300]  那你說我們怎麼樣才能夠經歷
[00:02:29.300 --> 00:02:32.760]  這樣一種聖誕所帶來的喜樂呢
[00:02:32.760 --> 00:02:34.700]  今天早上從三方面跟大家來分享
[00:02:34.700 --> 00:02:35.760]  首先第一個
[00:02:35.760 --> 00:02:39.440]  一定要重新來認識神的信使
[00:02:39.440 --> 00:02:45.600]  跟你們說重新認識神的信使
[00:02:45.600 --> 00:02:47.440]  特別是今天當我們在面對
[00:02:47.440 --> 00:02:50.700]  生活上很多挫折跟困境的時候
[00:02:50.700 --> 00:02:53.260]  我們常常很容易去懷疑神
[00:02:53.260 --> 00:02:56.960]  而且很灰心對神失望
[00:02:56.960 --> 00:02:59.160]  但聖誕的故事
[00:02:59.160 --> 00:03:03.000]  就要再一次打開我們信心的眼睛
[00:03:03.000 --> 00:03:08.140]  來認識到我們的神是何等的偉大跟奇妙
[00:03:08.140 --> 00:03:08.800]  首先第一
[00:03:08.800 --> 00:03:12.840]  我們看見神是爲等候他的人行事
[00:03:12.840 --> 00:03:18.200]  跟着我們說神爲等候他的人行事
[00:03:18.200 --> 00:03:19.400]  第二件你要知道
[00:03:19.400 --> 00:03:24.240]  聖誕節的故事不是從新約時代纔開始
[00:03:24.240 --> 00:03:25.800]  早在舊約時代
