
[00:00:00.000 --> 00:00:06.000]  今天我們要來分享的主的話題目是《要思想耶穌》
[00:00:06.000 --> 00:00:11.000]  這是在希伯來書第三章的第一節
[00:00:11.000 --> 00:00:15.000]  在第二章在上一章的第十七節就說
[00:00:15.000 --> 00:00:22.000]  說到主耶穌是我們慈悲中性的打擊師
[00:00:22.000 --> 00:00:25.000]  那麼到了第三章跟第四章呢
[00:00:25.000 --> 00:00:29.000]  就分別就說到祂的慈悲
[00:00:29.000 --> 00:00:31.000]  慈悲的意思就是憐憫
[00:00:31.000 --> 00:00:34.000]  就說到耶穌是我們的憐憫
[00:00:34.000 --> 00:00:37.000]  憐憫我們的打擊師
[00:00:37.000 --> 00:00:41.000]  然後以後呢要到五章六章呢
[00:00:41.000 --> 00:00:46.000]  就要從思想耶穌的中性
[00:00:46.000 --> 00:00:53.000]  中性就是一個性詞
[00:00:53.000 --> 00:00:56.000]  先說耶穌的性詞
[00:00:56.000 --> 00:01:00.000]  三章四章是說到祂的性詞
[00:01:00.000 --> 00:01:04.000]  然後呢五章六章呢說到祂的憐憫
[00:01:04.000 --> 00:01:07.000]  所以這個我們現在看到第三章呢
[00:01:07.000 --> 00:01:12.000]  就是來思想耶穌
[00:01:12.000 --> 00:01:15.000]  在第三章第一節就說
[00:01:15.000 --> 00:01:23.000]  你們應當思想我們所認為使者為大祭祀的耶穌
[00:01:23.000 --> 00:01:28.000]  就是這個地方就先開始要來思想耶穌了
[00:01:28.000 --> 00:01:30.000]  因為這個思想耶穌呢
[00:01:30.000 --> 00:01:35.000]  目的是叫我們的心心能夠堅持到底
[00:01:35.000 --> 00:01:40.000]  所以祂怎麼樣來提到我們的身分呢
[00:01:40.000 --> 00:01:51.000]  我們的身分呢就是同夢天照的
[00:01:51.000 --> 00:01:58.000]  我們的身分就是我們的同夢天照的聖潔弟兄
[00:01:58.000 --> 00:02:02.000]  聖潔呢就是成聖的意思
[00:02:02.000 --> 00:02:06.000]  就是成聖呢就是說把這個性主的人呢
[00:02:06.000 --> 00:02:11.000]  分別出來來為神所用
[00:02:11.000 --> 00:02:13.000]  本來我們都在世界裡頭
[00:02:13.000 --> 00:02:16.000]  我們做的事情都是為了自己
[00:02:16.000 --> 00:02:18.000]  但是當我們性主以後呢
[00:02:18.000 --> 00:02:21.000]  神在我們身上就有個目的
[00:02:21.000 --> 00:02:26.000]  要把我們分別出來來為了祂所用
[00:02:26.000 --> 00:02:28.000]  為什麼呢
[00:02:28.000 --> 00:02:31.000]  為了現在能夠被神所用
[00:02:31.000 --> 00:02:34.000]  能夠成就神的旨意
[00:02:34.000 --> 00:02:38.000]  那麼也為了將來在這個新天新地裡頭
[00:02:38.000 --> 00:02:46.000]  神還要託付我們來與祂一同來管理這個新天新地
[00:02:46.000 --> 00:02:49.000]  所以不但是在現在
[00:02:49.000 --> 00:02:55.000]  在現在神要分別我們出來為祂所用
[00:02:55.000 --> 00:02:58.000]  在將來神還是要用我們
[00:02:58.000 --> 00:03:02.000]  不是到將來到天堂以後就什麼事情都不做了
[00:03:02.000 --> 00:03:08.000]  一天到晚就是讚美唱歌就是這樣
[00:03:08.000 --> 00:03:13.000]  我們還有很多事情在將來神還要用我們
[00:03:13.000 --> 00:03:18.000]  那麼就今天都是訓練我們的一個機會
[00:03:18.000 --> 00:03:20.000]  因為神在我們人的身上啊
[00:03:20.000 --> 00:03:22.000]  祂有一個目的
[00:03:22.000 --> 00:03:25.000]  本來神創造人的時候
[00:03:25.000 --> 00:03:29.000]  就是叫人呢能夠在生養眾多
[00:03:29.000 --> 00:03:30.000]  能夠遍滿地面
[00:03:30.000 --> 00:03:33.000]  能夠治理這個地
[00:03:33.000 --> 00:03:35.000]  那麼就是說在暫時呢
[00:03:35.000 --> 00:03:37.000]  先治理這個地
[00:03:37.000 --> 00:03:40.000]  那將來呢範圍還要更大一些
[00:03:40.000 --> 00:03:44.000]  所以神對我們呢有個目的呢
[00:03:44.000 --> 00:03:47.000]  就是叫我們能夠與祂一同來治理
[00:03:47.000 --> 00:03:50.000]  但是因為人墮落以後呢
[00:03:50.000 --> 00:03:55.000]  人就失去這樣的一個尊貴榮耀
[00:03:55.000 --> 00:03:57.000]  但是神呢就恢復我們
[00:03:57.000 --> 00:04:03.000]  能夠恢復到神原先創造人的目的
[00:04:03.000 --> 00:04:08.000]  這個不只是聖節
[00:04:08.000 --> 00:04:13.000]  那麼還是要說到是
[00:04:13.000 --> 00:04:16.000]  還是弟兄同蒙天召
[00:04:16.000 --> 00:04:21.000]  天召的意思就是有天上的目標
[00:04:21.000 --> 00:04:24.000]  一個是神從天上來召我們
[00:04:24.000 --> 00:04:26.000]  來呼喚我們
[00:04:26.000 --> 00:04:30.000]  另一方面呢也是我們向著這個天而去
[00:04:30.000 --> 00:04:36.000]  所以這個天召呢就是一個屬天的目標
[00:04:36.000 --> 00:04:39.000]  那這樣的話因為我們有個屬天的目標呢
[00:04:39.000 --> 00:04:43.000]  我們在地上呢就可以過著一個更高的生活了
[00:04:43.000 --> 00:04:49.000]  如果我們的眼目只是看著地上的一切的展示東西
[00:04:49.000 --> 00:04:52.000]  那我們就受到很多的限制
[00:04:52.000 --> 00:04:57.000]  我們所生活的有沒有一個更遠大的更高的一個目標
[00:04:57.000 --> 00:05:02.000]  因為更高的目標可以促使我們有更好的更高的生活
[00:05:02.000 --> 00:05:04.000]  所以這個同蒙天召
[00:05:04.000 --> 00:05:13.000]  這個是一個非常高的一個完美的一個大的一個思想
[00:05:13.000 --> 00:05:18.000]  就叫我們給在地上呢過著一個更高的生活
[00:05:18.000 --> 00:05:22.000]  那麼什麼叫做思想耶穌
[00:05:22.000 --> 00:05:24.000]  思想耶穌
[00:05:24.000 --> 00:05:36.000]  思想呢就是呢很認真的很深入很仔細的來思想耶穌
[00:05:36.000 --> 00:05:38.000]  他的所事他是誰
[00:05:38.000 --> 00:05:41.000]  他是神的兒子要思想他
[00:05:41.000 --> 00:05:43.000]  他是我們救主我們要思想他
[00:05:43.000 --> 00:05:48.000]  而且呢要思想到耶穌他所做的事情
[00:05:48.000 --> 00:05:50.000]  他怎麼拯救我們
[00:05:50.000 --> 00:05:52.000]  他在地上怎麼樣活的
[00:05:52.000 --> 00:05:57.000]  他在地上怎麼樣的醫病趕鬼把婦嬰傳開
[00:05:57.000 --> 00:06:05.000]  那這些整個耶穌的方方面面都是值得我們來思想的
[00:06:05.000 --> 00:06:08.000]  那麼他是誰呢
[00:06:08.000 --> 00:06:12.000]  這裡說呢我們所認為使者
[00:06:12.000 --> 00:06:16.000]  使者的意思就是神所拆遣來的
[00:06:16.000 --> 00:06:19.000]  還有一個呢他的身份呢是大祭司
[00:06:19.000 --> 00:06:22.000]  他的祭司大祭司的意思呢
[00:06:22.000 --> 00:06:26.000]  就是他來幫助我們照顧我們的
[00:06:26.000 --> 00:06:28.000]  祭司在就業裡頭呢
[00:06:28.000 --> 00:06:33.000]  其實也不是說單單去殺牛殺羊的獻祭
[00:06:33.000 --> 00:06:36.000]  祭司神給他們一個作用呢
[00:06:36.000 --> 00:06:41.000]  就是來教育教導百姓明白律法
[00:06:41.000 --> 00:06:44.000]  明白神的心意教導他們
[00:06:44.000 --> 00:06:46.000]  他們有什麼難處
[00:06:46.000 --> 00:06:49.000]  他有什麼困難
[00:06:49.000 --> 00:06:51.000]  那麼都可以跟祭司來說
[00:06:51.000 --> 00:06:54.000]  好像祭司在當時的話
[00:06:54.000 --> 00:06:58.000]  好像就是像一個心理醫生一樣的
[00:06:58.000 --> 00:07:03.000]  來幫助人能夠解決這些各方面的難處
[00:07:03.000 --> 00:07:05.000]  那麼這就是一個
[00:07:05.000 --> 00:07:09.000]  所以這個祭司這個使者兩方面合起來
[00:07:09.000 --> 00:07:13.000]  就看到呢這耶穌呢是神所拆來的
[00:07:13.000 --> 00:07:15.000]  我們思想耶穌神所拆來的
[00:07:15.000 --> 00:07:17.000]  而且思想耶穌呢
[00:07:17.000 --> 00:07:19.000]  他是我們的祭司
[00:07:19.000 --> 00:07:20.000]  他是幫助我們
[00:07:20.000 --> 00:07:23.000]  他也是來照顧我們
[00:07:23.000 --> 00:07:25.000]  人有軟弱
[00:07:25.000 --> 00:07:28.000]  那麼祭司呢就是來幫助我們的
[00:07:28.000 --> 00:07:32.000]  那為什麼要思想耶穌
[00:07:32.000 --> 00:07:35.000]  因為我們呢不是做基督徒
[00:07:35.000 --> 00:07:38.000]  常常說我們做一個基督徒
[00:07:38.000 --> 00:07:41.000]  當然我們心裡都想做一個好的基督徒
[00:07:41.000 --> 00:07:45.000]  其實重點呢不是來做一個基督徒
[00:07:45.000 --> 00:07:51.000]  其實我們呢是行在天路上的這個旅客
[00:07:51.000 --> 00:07:52.000]  客旅
[00:07:52.000 --> 00:07:54.000]  我們是寄居的
[00:07:54.000 --> 00:07:56.000]  我們是活出一個基督徒
[00:07:56.000 --> 00:07:59.000]  我們是行出一個基督徒
[00:07:59.000 --> 00:08:01.000]  不是來做
[00:08:01.000 --> 00:08:04.000]  但是我們在這一方面呢
[00:08:04.000 --> 00:08:08.000]  每天都要行出神所要的
[00:08:08.000 --> 00:08:13.000]  這樣的一個聖潔蒙天照的生活的話
[00:08:13.000 --> 00:08:17.000]  那不是我們的力量可以走上去的
[00:08:17.000 --> 00:08:21.000]  這條路啊是不太容易走的
[00:08:21.000 --> 00:08:25.000]  你得救以後一直等到你見主面
[00:08:25.000 --> 00:08:28.000]  有很長的時間
[00:08:28.000 --> 00:08:30.000]  也可能有十年二十年
[00:08:30.000 --> 00:08:32.000]  或者有好幾十年
[00:08:32.000 --> 00:08:34.000]  這條路是馬拉松的路
[00:08:34.000 --> 00:08:36.000]  是一個漫長的路
[00:08:36.000 --> 00:08:38.000]  不是你一直靠著熱心的話
[00:08:38.000 --> 00:08:41.000]  就走到好的
[00:08:41.000 --> 00:08:43.000]  也許可能開始走的時候
[00:08:43.000 --> 00:08:45.000]  還比較有點力氣
[00:08:45.000 --> 00:08:46.000]  剛醒主的時候
