
[00:00:00.000 --> 00:00:02.560]  由我哋呢都喺呢個時候一齊禱告
[00:00:02.560 --> 00:00:05.200]  主,你賜畀我哋教會,我哋欣賞感恩
[00:00:05.200 --> 00:00:08.800]  又話喺教會當中,我哋能夠見到你自己嘅工作
[00:00:08.800 --> 00:00:10.000]  見到你嘅恩典
[00:00:10.000 --> 00:00:12.000]  我哋每一位都係因為你嘅揀選
[00:00:12.000 --> 00:00:14.400]  你畀我哋恩典,能夠成為你嘅兒女
[00:00:14.400 --> 00:00:17.520]  亦都讓我哋教會唔係一個停滯不前嘅教會
[00:00:17.520 --> 00:00:19.760]  讓我哋教會能夠努力嘅向前
[00:00:19.760 --> 00:00:24.400]  你到去工作,你到去為你嘅國度,你嘅福音,你到去努力
[00:00:24.400 --> 00:00:26.400]  求你自己都親自興起我哋
[00:00:26.400 --> 00:00:28.400]  讓我哋藉住唔同嘅方法
[00:00:28.400 --> 00:00:32.800]  唔同嘅智慧,將基督嘅名,將基督嘅恩典
[00:00:32.800 --> 00:00:36.400]  我哋所享受嘅一個福音,能夠去分享出去
[00:00:36.400 --> 00:00:39.600]  主,我哋求你去使用,亦都使用唔單止我哋教會
[00:00:39.600 --> 00:00:42.800]  所有其他地方,本地嘅教會,我哋都喺疫情後
[00:00:42.800 --> 00:00:45.200]  有好多唔同嘅掙扎,唔同嘅挑戰
[00:00:45.200 --> 00:00:48.000]  主,我哋求你興起各地嘅教會
[00:00:48.000 --> 00:00:51.600]  讓你嘅教會能夠有聖靈嘅工作,聖靈嘅運行
[00:00:51.600 --> 00:00:55.200]  你到去使用我哋,使我哋能夠成為你自己嘅見證
[00:00:55.200 --> 00:00:57.200]  我哋咁祈禱奉主明求
[00:00:57.200 --> 00:01:00.000]  好,今日我哋睇另外一篇詩篇
[00:01:00.000 --> 00:01:02.400]  我哋一路睇緊每一篇嘅詩篇
[00:01:02.400 --> 00:01:06.800]  我哋一路去到揀選唔同嘅詩歌嚟到去睇
[00:01:06.800 --> 00:01:10.400]  詩篇133篇,呢度聖經咁樣講
[00:01:10.400 --> 00:01:15.200]  大衛嘅上行之詩漢,弟兄和睦同住
[00:01:15.200 --> 00:01:17.600]  是何等的善,何等的美
[00:01:17.600 --> 00:01:22.400]  你留意有時啲詩歌係有標題,有title,有subscription
[00:01:22.400 --> 00:01:25.600]  有啲嘅title係特別有意思嘅
[00:01:25.600 --> 00:01:28.000]  係呢度講到上行之詩
[00:01:28.000 --> 00:01:30.000]  Song of Ascent
[00:01:30.000 --> 00:01:34.400]  即係話係上行,上山嘅意思
[00:01:34.400 --> 00:01:40.000]  喺耶路撒冷係二千幾尺嘅海拔之上,喺山區
[00:01:40.000 --> 00:01:45.400]  所以無論咩方向去耶路撒冷都係要爬山,都係要上去嘅
[00:01:45.400 --> 00:01:50.600]  咁所以呢啲嘅詩歌都有佢自己嘅特定嘅背景,係咪
[00:01:50.600 --> 00:01:56.800]  呢度背後有個字Ala或者Aliya
[00:01:56.800 --> 00:02:00.200]  今日呢嗰啲現代嘅以色列人,猶太人
[00:02:00.200 --> 00:02:03.600]  佢哋如果係散居喺世界各地唔同嘅地方
[00:02:03.600 --> 00:02:08.200]  佢哋想移民返返去現代嘅以色列國Modern Israel嘅話
[00:02:08.200 --> 00:02:12.200]  佢哋嗰個成個移民嘅process就叫做Aliya
[00:02:12.200 --> 00:02:15.800]  Aliya咩意思,即係話上,go up嘅意思
[00:02:15.800 --> 00:02:20.000]  咁所以呢個好有意思,虛刀嘢好殺眼嘅時候永遠都係go up
[00:02:20.000 --> 00:02:24.600]  大家熟悉聖經嘅話知道啦,有上行之詩呢個title嘅詩歌
[00:02:24.600 --> 00:02:28.000]  就係有15首,120至到134
[00:02:28.000 --> 00:02:32.800]  我哋睇緊呢係May2個首,133首詩篇
[00:02:32.800 --> 00:02:38.800]  呢度話畀我哋聽,呢啲嘅以色列人可能係佢哋歷世歷代
[00:02:38.800 --> 00:02:43.200]  佢哋會上耶路撒冷朝聖,上耶路撒冷去敬拜嘅時候
[00:02:43.200 --> 00:02:47.600]  佢哋呢會累積咗一啲咁樣嘅詩歌或者歌曲
[00:02:47.600 --> 00:02:51.200]  喺佢上路嘅時候,上耶路撒冷去敬拜嘅時候
[00:02:51.200 --> 00:02:53.000]  佢哋可能就會唱出
[00:02:53.000 --> 00:02:57.600]  因為喺摩西律法裏面,生命記十六章十六節
[00:02:57.600 --> 00:03:01.600]  嗰度講咩,佢話你哋所有嘅男丁,男丁就代表成個家庭
[00:03:01.600 --> 00:03:04.000]  或者有陣時帶住家人
[00:03:04.000 --> 00:03:11.400]  要再除敲節,即係pass over,大概係而家嘅四五月嘅時候
[00:03:11.400 --> 00:03:16.400]  七七節,即係pentecost,或者shuffle,即係佢哋修割節
[00:03:16.400 --> 00:03:21.800]  即係七七四十九一之後,pentecost第五十日
[00:03:21.800 --> 00:03:25.800]  嗰個七七節嗰度,佢哋亦都要上去耶路撒
[00:03:25.800 --> 00:03:31.800]  然之後喺Sukuk駐彭節嘅時候,大概而家九月十月嘅時候
[00:03:31.800 --> 00:03:37.800]  一年嘅三次要上到耶路,話所揀選嘅嗰個地方
[00:03:37.800 --> 00:03:41.200]  有嘢會話名字居住嘅嗰個地方亦都要朝見佢
[00:03:41.200 --> 00:03:44.800]  亦都不可空手嚟到去敬拜上帝
[00:03:44.800 --> 00:03:48.800]  今日我哋嘅科技好發達
[00:03:48.800 --> 00:03:55.800]  我哋上行或者去一個地方旅遊都要做好多準備
[00:03:55.800 --> 00:03:58.800]  雖然我哋已經有好多technology
[00:03:58.800 --> 00:04:06.800]  我啱收到我哋八月底嘅時候,有啲大英姐妹會一齊去以色列兩個禮拜
[00:04:06.800 --> 00:04:10.800]  咁我昨日先收到嗰張SIM卡,因為早幾張SIM卡
[00:04:10.800 --> 00:04:13.800]  去到嗰度有個本地嘅電話,係方便啲
[00:04:13.800 --> 00:04:15.800]  都等咗兩個禮拜我先收到
[00:04:15.800 --> 00:04:17.800]  有好多嘢要準備,好多嘢要prepare
[00:04:17.800 --> 00:04:20.800]  你諗下你去travel嘅時候有幾多嘢要執
[00:04:20.800 --> 00:04:24.800]  你想像下古色列人嘅時代,舊約嘅時代
[00:04:24.800 --> 00:04:28.800]  佢哋需要預備嘅嘢係幾多,需要prepare嘅嘢係幾多
[00:04:28.800 --> 00:04:32.800]  如果你想像下你喺加利利住嘅話,即係喺北邊
[00:04:32.800 --> 00:04:34.800]  喺加利利湖附近
[00:04:34.800 --> 00:04:38.800]  你要上行去耶路撒岸嘅話
[00:04:38.800 --> 00:04:42.800]  你要行差唔多五至到六日嘅路程
[00:04:42.800 --> 00:04:46.800]  中間要停唔同嘅村莊等等,要借宿等等
[00:04:46.800 --> 00:04:49.800]  要做好多好多唔同嘅準備
[00:04:49.800 --> 00:04:51.800]  呢十五首上行之詩
