
[00:00:00.000 --> 00:00:03.300]  今天是聖誕主日,很難得
[00:00:03.300 --> 00:00:07.800]  是25號剛好在禮拜天,非常的難得
[00:00:07.800 --> 00:00:12.200]  所以跟你旁邊前後左右的對他說多說幾聲
[00:00:12.200 --> 00:00:21.300]  聖誕節非常非常快樂,跟他說吧
[00:00:21.300 --> 00:00:23.500]  每次我想到聖誕節的故事
[00:00:23.500 --> 00:00:26.400]  我都感覺到何等的奇妙,你知道嗎?
[00:00:26.400 --> 00:00:29.800]  這位全能的神,創造萬有的主宰
[00:00:29.800 --> 00:00:33.000]  為了愛我們這些平凡的人
[00:00:33.000 --> 00:00:37.200]  竟然是我們的父神願意拆遣他的獨生愛子
[00:00:37.200 --> 00:00:41.200]  來到這個世界上,讓他降生在這個世界
[00:00:41.200 --> 00:00:44.000]  而且為他選擇了一個地方
[00:00:44.000 --> 00:00:48.400]  不是按照我們人所想像,應當生在王宮裡面
[00:00:48.400 --> 00:00:51.500]  反而耶穌基督降生在哪裡呢?
[00:00:51.500 --> 00:00:54.600]  馬槽裡,馬槽是什麼地方?
[00:00:54.600 --> 00:00:57.900]  馬槽是一個非常平凡的地方,不是嗎?
[00:00:57.900 --> 00:01:01.600]  是一個平凡到不能再平凡的地方
[00:01:01.600 --> 00:01:04.300]  事實上在當時的世代裡面
[00:01:04.300 --> 00:01:09.400]  你再也找不到任何一個地方比馬槽更加平凡
[00:01:09.400 --> 00:01:15.700]  換句話說,耶穌基督正是為每一個平凡的人來到這個世界
[00:01:15.700 --> 00:01:19.200]  所以如果今天你覺得在茫茫人海當中
[00:01:19.200 --> 00:01:22.700]  你覺得好像你自己何等的平凡
[00:01:22.700 --> 00:01:26.700]  那我告訴你,聖誕節是要告訴你一個好消息
[00:01:26.700 --> 00:01:29.700]  那是耶穌基督是為你的你而來
[00:01:29.700 --> 00:01:30.400]  Amen?
[00:01:30.400 --> 00:01:31.900]  跟你們說,耶穌基督是為你而來
[00:01:31.900 --> 00:01:34.600]  跟他說,耶穌基督是為你的你而來
[00:01:34.600 --> 00:01:36.300]  所以當我們在慶祝聖誕的時候
[00:01:36.300 --> 00:01:40.100]  我想我們不只是一個外面熱鬧的慶祝而已
[00:01:40.100 --> 00:01:40.800]  求神幫助
[00:01:40.800 --> 00:01:46.200]  我們看見聖誕節是一個我們可以經歷神的時刻
[00:01:46.200 --> 00:01:47.000]  Amen?
[00:01:47.000 --> 00:01:48.400]  怎麼樣能夠經歷神呢?
[00:01:48.400 --> 00:01:51.400]  第一個我們看見是一個禱告的時刻
[00:01:51.400 --> 00:01:55.000]  跟你們說,這是一個禱告的時刻
[00:01:55.000 --> 00:01:59.600]  禱告是我們經歷神最好的一個管道
[00:01:59.600 --> 00:02:03.000]  特別是當我們生活在這個充滿危機的世代
[00:02:03.000 --> 00:02:03.900]  不是嗎?
[00:02:03.900 --> 00:02:08.600]  不但國際間充滿了恐怖份子的一些攻擊的威脅
[00:02:08.600 --> 00:02:10.200]  在我們個人生命當中
[00:02:10.200 --> 00:02:14.000]  我們也常常面對生活各個方面的衝擊
[00:02:14.000 --> 00:02:16.000]  面對生活中的壓力
[00:02:16.000 --> 00:02:17.900]  我們感覺無力
[00:02:17.900 --> 00:02:21.000]  面對生活中多少人際關係的衝突
