
[00:00:00.000 --> 00:00:02.000]  在五十五週年的時候
[00:00:02.000 --> 00:00:04.240]  讓我們懷著感恩的心情
[00:00:04.240 --> 00:00:06.720]  去感激上帝的帶領
[00:00:06.720 --> 00:00:10.960]  雖然在這五十五年的裡面
[00:00:10.960 --> 00:00:15.040]  上帝沒有讓我們日子全部都平順
[00:00:15.040 --> 00:00:17.280]  不過當我們回想的時候
[00:00:17.280 --> 00:00:19.200]  當我們經過困難的時候
[00:00:19.200 --> 00:00:23.680]  我們就更加覺得上帝恩典的甘甜
[00:00:23.680 --> 00:00:26.000]  更加覺得上帝愛我們
[00:00:26.000 --> 00:00:28.000]  並沒有離開我們
[00:00:29.280 --> 00:00:34.080]  今日我跟大家讀了兩段或者叫做三段的經文
[00:00:34.080 --> 00:00:37.520]  分別是在《撒姆爾記》上《仕途行傳》
[00:00:37.520 --> 00:00:39.520]  有兩段
[00:00:39.520 --> 00:00:43.920]  這兩段的經文講到兩個人物
[00:00:43.920 --> 00:00:45.600]  一個是撒姆爾
[00:00:45.600 --> 00:00:48.800]  一個就是斯提反
[00:00:48.800 --> 00:00:50.800]  這兩段的經文
[00:00:50.800 --> 00:00:55.920]  都可以說是一個歷史轉折的時期
[00:00:55.920 --> 00:00:59.680]  撒姆爾是由一個士詩時代
[00:00:59.680 --> 00:01:02.080]  轉向一個王國時期
[00:01:02.080 --> 00:01:04.080]  或者是先知時代
[00:01:04.080 --> 00:01:06.720]  的一個轉折性的人物
[00:01:06.720 --> 00:01:10.000]  斯提反可以說是由教會
[00:01:10.000 --> 00:01:12.000]  是集中在耶路撒冷
[00:01:12.000 --> 00:01:14.480]  去到教會散播到去
[00:01:14.480 --> 00:01:17.440]  撒瑪利亞以至更遠的地方
[00:01:17.440 --> 00:01:19.440]  的一個轉折性的人物
[00:01:19.440 --> 00:01:22.800]  如果你看《撒姆爾記》上
[00:01:22.800 --> 00:01:26.400]  你會看到一開始的經文是怎樣形容的呢?
[00:01:26.400 --> 00:01:28.000]  第三章第一節
[00:01:28.000 --> 00:01:33.680]  「在那些日子,耶和華的言語稀少,不常有異象。」
[00:01:33.680 --> 00:01:36.320]  這個也是往往士詩記
[00:01:36.320 --> 00:01:38.560]  有時候沒有了士詩的時候
[00:01:38.560 --> 00:01:39.920]  那些的形容
[00:01:39.920 --> 00:01:42.800]  就說那些人都亂做事
[00:01:42.800 --> 00:01:46.480]  因為他們中間沒有王
[00:01:46.480 --> 00:01:50.960]  去到同一章十九二十節的時候
[00:01:50.960 --> 00:01:53.280]  曾經說到撒姆爾的成長
[00:01:53.280 --> 00:01:56.400]  「撒姆爾長大了,耶和華與他同在。」
[00:01:56.400 --> 00:02:01.360]  「使他所說的話一句都不落空,從但到別時巴。」
[00:02:01.360 --> 00:02:06.640]  「所有的以色列人都知道耶和華納撒姆爾為先知。」
[00:02:06.640 --> 00:02:14.160]  他是一個將以色列人重新一次團結起來的一位先知
[00:02:14.160 --> 00:02:16.160]  一位最後的士詩
