
[00:00:00.000 --> 00:00:04.000]  第一段經文,我們一起讀一次
[00:00:04.000 --> 00:00:06.000]  我重點是讀這段經文
[00:00:06.000 --> 00:00:13.000]  主對阿拿尼亞說,你至冠去,他是利我所揀選的棄命
[00:00:13.000 --> 00:00:20.000]  要在外邦人和君王,並以需要人面前宣揚我的名
[00:00:20.000 --> 00:00:26.000]  我也要指示他,為我的名必須走很多的路
[00:00:26.000 --> 00:00:31.000]  沒有跟丹尼爾合作過,丹尼爾剛好說他保羅核眼的故事
[00:00:31.000 --> 00:00:33.000]  都是這一大段的經文
[00:00:33.000 --> 00:00:36.000]  另外兩段我是沒有詳細的說
[00:00:36.000 --> 00:00:42.000]  保羅的矇召,也是藉著這兩段看到神長期的帶領
[00:00:42.000 --> 00:00:46.000]  包括他捐錢給尤薩冷,怎料被人抓,記得嗎
[00:00:46.000 --> 00:00:51.000]  在抓裡面,神預告他將來去到羅馬做見證
[00:00:51.000 --> 00:00:56.000]  最終他經過沉船等,大家記得保羅的經歷
[00:00:56.000 --> 00:01:00.000]  最後說一句,這樣我們來到羅馬
[00:01:00.000 --> 00:01:03.000]  其實是千山萬水的感覺
[00:01:03.000 --> 00:01:09.000]  首先想代表在疫情後開始,進入半疫情後
[00:01:09.000 --> 00:01:12.000]  如果大家有機會來見到,歡迎你們來探我們
[00:01:12.000 --> 00:01:15.000]  因為我們很久都沒有開門,很多教會都是這樣
[00:01:15.000 --> 00:01:25.000]  在過去幾年,梁家倫院長的後期,我們有些新的裝飾
[00:01:25.000 --> 00:01:30.000]  將開荒吃虎火熱,做了三個圈的特繫
[00:01:30.000 --> 00:01:35.000]  有底子每日幫忙,我們有個牧師說
[00:01:35.000 --> 00:01:41.000]  「耶穌,歡迎你」,也歡迎有一張「耶穌,你愛我媽」的表達
[00:01:41.000 --> 00:01:47.000]  如果大家熟識建道,建道的遠信是一個文言版
[00:01:47.000 --> 00:01:51.000]  如果大家不介意,用「以」開始讀這個遠信
[00:01:51.000 --> 00:01:56.000]  「以當,以所信,至聖之真道自見」
[00:01:56.000 --> 00:02:01.000]  建道的校歌用了孫信博士的「要忠心必出」這句
[00:02:01.000 --> 00:02:05.000]  我們每年都有個口號,今年我們都選這個校歌
[00:02:05.000 --> 00:02:09.000]  希望在艱難時期,我們成為忠心的主僕
[00:02:09.000 --> 00:02:14.000]  同樣,我們是一個親近真神,傳揚真道
[00:02:14.000 --> 00:02:18.000]  堅守真理,待人真誠的群體
[00:02:18.000 --> 00:02:20.000]  這是一個小小的情況
[00:02:20.000 --> 00:02:25.000]  我自己最近每一季左右都有一個遠信
[00:02:25.000 --> 00:02:28.000]  我們遠信裡面有少許分析時代
[00:02:28.000 --> 00:02:32.000]  這個時代在加拿大,大家知道香港經濟移民
[00:02:32.000 --> 00:02:34.000]  各方面都有挑戰
[00:02:34.000 --> 00:02:44.000]  至少部份教會有一個小鳥、淡鳥、鬆散鳥、弱鳥和老太鳥的挑戰
[00:02:44.000 --> 00:02:47.000]  有些教會比較多,有些比較少
[00:02:47.000 --> 00:02:52.000]  另外,表面聚會是復常容易
[00:02:52.000 --> 00:02:57.000]  但很多心靈的準備、張力都是一個漫長
[00:02:57.000 --> 00:03:05.000]  至少部份香港人覺得,以前有些好的傳統開始有些動搖
[00:03:05.000 --> 00:03:12.000]  會不會整個香港的氣質、香港的處境已經跟以前很不同呢
[00:03:12.000 --> 00:03:17.000]  另外,最後一段試一下一起讀
[00:03:17.000 --> 00:03:22.000]  疫情稍退,但金融危機冷戰
[00:03:22.000 --> 00:03:27.000]  蜀陵冷淡前夕,黑暈漸近
[00:03:27.000 --> 00:03:30.000]  開始好像台灣人很怕打仗
[00:03:30.000 --> 00:03:34.000]  經濟開始好像樓價都在下跌
[00:03:34.000 --> 00:03:38.000]  所以我用了一個標題,利希米記
[00:03:38.000 --> 00:03:41.000]  寫今次遠信,希望我們有信心
[00:03:41.000 --> 00:03:46.000]  神可以重建我們的家庭、社會、教會
[00:03:46.000 --> 00:03:50.000]  希望人有勇敢,神呼召更多人侍奉他
[00:03:50.000 --> 00:03:53.000]  而教會界有些人說四個方
[00:03:53.000 --> 00:03:59.000]  駕木方、侍奉領袖方、奉獻方、神學生方
[00:03:59.000 --> 00:04:03.000]  今年為例,頗多時候已經收生少了
[00:04:03.000 --> 00:04:07.000]  所以都是一個青年移民,四十歲移民潮
[00:04:07.000 --> 00:04:09.000]  都是一個很動盪的時代
[00:04:09.000 --> 00:04:13.000]  今天不特別針對時代多說,只是點題
[00:04:13.000 --> 00:04:16.000]  在這個時代,我們需要更多人起來侍奉
[00:04:16.000 --> 00:04:18.000]  無論信徒、領袖或牧者
[00:04:18.000 --> 00:04:22.000]  所以今年我們每年首月都有一個奉獻營
[00:04:22.000 --> 00:04:25.000]  獻身營,即是弟姊妹思考獻身
