
[00:00:00.000 --> 00:00:04.200]  很高興神給我有機會和大家分享
[00:00:04.200 --> 00:00:09.000]  也歡迎在網上參加我們的崇拜的弟兄姊妹
[00:00:09.000 --> 00:00:12.000]  願神祝福你好像祝福我們一樣
[00:00:12.000 --> 00:00:14.000]  今天要多謝Anissa
[00:00:14.000 --> 00:00:17.000]  其中一首歌令我非常感動
[00:00:17.000 --> 00:00:19.000]  讚美至全
[00:00:19.000 --> 00:00:24.000]  它講到一個冰冷的心怎麼去融化
[00:00:24.000 --> 00:00:28.000]  我們實在需要神將我們的生命改變
[00:00:28.000 --> 00:00:33.000]  將我們的冰冷心能夠融化開
[00:00:33.000 --> 00:00:36.000]  能夠接受它自己
[00:00:36.000 --> 00:00:42.000]  今天我選的題目是《種子的死與生》
[00:00:42.000 --> 00:00:50.000]  所讀的經文是在《遊行福音》第十二章
[00:00:50.000 --> 00:00:55.000]  我記得這段經文是我大概中四的時候
[00:00:55.000 --> 00:00:59.000]  我們在中學裡面有一個細胞小組
[00:00:59.000 --> 00:01:04.000]  其中一個組員用這段經文來激勵我
[00:01:04.000 --> 00:01:11.000]  希望我能夠做一個能夠多結果子的基督徒
[00:01:11.000 --> 00:01:15.000]  所以今天我也是用同一段經文
[00:01:15.000 --> 00:01:19.000]  希望從中鼓勵大家
[00:01:19.000 --> 00:01:23.000]  讓我們低頭做一個祈禱
[00:01:23.000 --> 00:01:28.000]  讓我們大冷又愛我們的主
[00:01:28.000 --> 00:01:30.000]  願祢與我們同在
[00:01:30.000 --> 00:01:35.000]  願祢自己親臨到我們的當中
[00:01:35.000 --> 00:01:39.000]  因為祢是體察我們裡面一切的需要
[00:01:39.000 --> 00:01:43.000]  祢知道我們無論是信祢
[00:01:43.000 --> 00:01:46.000]  未信祢的人一切的光景
[00:01:46.000 --> 00:01:50.000]  求祢就是用祢自己的話語來改造我們
[00:01:50.000 --> 00:01:53.000]  用祢自己的話語來激勵我們
[00:01:53.000 --> 00:01:58.000]  用祢自己的話語來改變我們的生命
[00:01:58.000 --> 00:02:01.000]  將以下時間恭敬交給祢
[00:02:01.000 --> 00:02:05.000]  奉耶穌基督聖名祈禱
[00:02:05.000 --> 00:02:10.000]  我可以大膽地說一句
[00:02:10.000 --> 00:02:15.000]  就是每一個人無論你信了還是不信的
[00:02:15.000 --> 00:02:17.000]  我們都有一個願望
[00:02:17.000 --> 00:02:20.000]  就是在我們一生人裡面
[00:02:20.000 --> 00:02:23.000]  過一個很豐足的生活
[00:02:23.000 --> 00:02:25.000]  很滿足的生活
[00:02:25.000 --> 00:02:28.000]  在我們還沒閉上眼睛之前
[00:02:28.000 --> 00:02:31.000]  我們能夠對自己說
[00:02:31.000 --> 00:02:34.000]  我很滿意這一生
[00:02:34.000 --> 00:02:37.000]  但我相信不會太多人
[00:02:37.000 --> 00:02:40.000]  能夠說同一句話
[00:02:44.000 --> 00:02:50.000]  在講道開始我將我的經文稍微跳一跳
[00:02:50.000 --> 00:02:55.000]  我們看看今天的經文
[00:02:55.000 --> 00:02:59.000]  第26節12章26節
[00:02:59.000 --> 00:03:00.000]  在這裡說
[00:03:00.000 --> 00:03:03.000]  若有人服侍我就當跟從我
[00:03:03.000 --> 00:03:05.000]  我在那裡
[00:03:05.000 --> 00:03:08.000]  服侍我的人也要在那裡
[00:03:08.000 --> 00:03:10.000]  若有人服侍我
[00:03:10.000 --> 00:03:13.000]  我父必尊重他
[00:03:13.000 --> 00:03:15.000]  首先注意這個經文
[00:03:15.000 --> 00:03:17.000]  第一個字
[00:03:17.000 --> 00:03:19.000]  若
[00:03:19.000 --> 00:03:21.000]  if
[00:03:21.000 --> 00:03:23.000]  如果
[00:03:23.000 --> 00:03:26.000]  若就是如果這個意思
[00:03:26.000 --> 00:03:29.000]  這個是給我們看見一個什麼
[00:03:29.000 --> 00:03:31.000]  有一個選擇在身
[00:03:31.000 --> 00:03:33.000]  你可以不服侍我
[00:03:33.000 --> 00:03:35.000]  你可以服侍我
[00:03:35.000 --> 00:03:37.000]  他沒有神沒有監
[00:03:37.000 --> 00:03:38.000]  我們服侍他
[00:03:38.000 --> 00:03:41.000]  是我們自己要願意服侍他
[00:03:41.000 --> 00:03:47.000]  但當你願意服侍神的時候
[00:03:47.000 --> 00:03:49.000]  就有一個條件
[00:03:49.000 --> 00:03:51.000]  怎樣去服侍
[00:03:51.000 --> 00:03:54.000]  服侍的方法就是跟從他
[00:03:54.000 --> 00:03:56.000]  怎樣跟從
