
[00:00:00.000 --> 00:00:04.000]  奉旨冥門後,弟兄姐妹平安。
[00:00:04.000 --> 00:00:12.000]  弟兄姐妹,我們對神的話,我盼望有這樣的態度。
[00:00:12.000 --> 00:00:17.000]  上帝說了,我們信。
[00:00:17.000 --> 00:00:21.000]  什麼叫信呢?看不到,但是是真的。
[00:00:21.000 --> 00:00:24.000]  這就是得救的信仰。
[00:00:25.000 --> 00:00:42.000]  當信主耶穌,你和你的家人都必得救,上帝愛世人,猜他獨生子來拯救我們,叫一切相信他的,不致滅亡,反則永生。
[00:00:42.000 --> 00:00:45.000]  你是不是這樣信的呢?
[00:00:46.000 --> 00:00:55.000]  你再信了,就當是真的時候,將來我們的主耶穌都會honor你這個commitment。
[00:00:55.000 --> 00:00:58.000]  honor這個字是什麼意思呢?
[00:00:58.000 --> 00:01:00.000]  honor這個字怎麼解釋呢?
[00:01:00.000 --> 00:01:03.000]  你出糧了,老闆會給你支票。
[00:01:03.000 --> 00:01:06.000]  你給公司老闆給你支票。
[00:01:06.000 --> 00:01:08.000]  你去銀行存戶口。
[00:01:08.000 --> 00:01:10.000]  你到銀行存戶口。
[00:01:10.000 --> 00:01:12.000]  銀行怎麼樣?
[00:01:12.000 --> 00:01:14.000]  honor你的支票。
[00:01:15.000 --> 00:01:16.000]  honor你的支票是good的。
[00:01:16.000 --> 00:01:18.000]  支票是對的,好的。
[00:01:18.000 --> 00:01:21.000]  你credit你的account,入你的賬。
[00:01:21.000 --> 00:01:24.000]  就會到你的賬號去,就給你的信用。
[00:01:24.000 --> 00:01:26.000]  所以這個honor是不是很重要?
[00:01:26.000 --> 00:01:28.000]  honor是不是很重要?
[00:01:28.000 --> 00:01:30.000]  上帝會honor。
[00:01:30.000 --> 00:01:32.000]  中文的翻譯是honor。
[00:01:32.000 --> 00:01:34.000]  兌現。
[00:01:34.000 --> 00:01:36.000]  兌現。
[00:01:36.000 --> 00:01:42.000]  你現在向他的confession of faith,你向他承認的信仰,他會honor的。
[00:01:43.000 --> 00:01:45.000]  如果說你承認信仰,他會兌現。
[00:01:45.000 --> 00:01:51.000]  所以保羅說,口裡承認,心裡相信。
[00:01:51.000 --> 00:01:54.000]  聖經是一疊一疊的,是連一連串的,不是一句的。
[00:01:54.000 --> 00:01:56.000]  聖經是一連串的,不是一句話。
[00:01:56.000 --> 00:01:59.000]  聖經指明,這裡仍然是神的話。
[00:01:59.000 --> 00:02:01.000]  這裡仍然是神的話。
[00:02:01.000 --> 00:02:03.000]  耶律比全神的話。
[00:02:03.000 --> 00:02:07.000]  但是猶大人不信。
[00:02:07.000 --> 00:02:09.000]  但是猶大人不信。
[00:02:09.000 --> 00:02:11.000]  你可以看到猶大人不蠢是怎麼樣呢?
[00:02:12.000 --> 00:02:14.000]  就是老闆給支票啊。
[00:02:14.000 --> 00:02:16.000]  就是老闆給支票。
[00:02:16.000 --> 00:02:19.000]  你拉下手怎麼樣啊?
[00:02:19.000 --> 00:02:22.000]  扔了他啊?
[00:02:22.000 --> 00:02:24.000]  他把支票給扔了。
[00:02:24.000 --> 00:02:26.000]  可不可惜啊?
[00:02:26.000 --> 00:02:28.000]  可不可惜呢?
[00:02:28.000 --> 00:02:30.000]  那如果你看到一個同事這樣,你是不是蠢材啊?
[00:02:30.000 --> 00:02:32.000]  如果說你同事這樣,你說他是不是蠢材呢?
[00:02:32.000 --> 00:02:38.000]  你說我一個月,28天,在法國,為了什麼?
[00:02:38.000 --> 00:02:40.000]  工作一個月了,28號。
[00:02:41.000 --> 00:02:42.000]  為了支票。
[00:02:42.000 --> 00:02:44.000]  現在老闆把支票給你了。
[00:02:44.000 --> 00:02:46.000]  老闆把支票給你了。
[00:02:46.000 --> 00:02:48.000]  把支票扔在垃圾桶。
[00:02:48.000 --> 00:02:50.000]  你就把支票扔到垃圾桶了。
[00:02:50.000 --> 00:02:52.000]  有這個概念。
[00:02:52.000 --> 00:02:54.000]  如果用這個概念。
[00:02:54.000 --> 00:02:56.000]  猶大人就是這樣的概念。
[00:02:56.000 --> 00:02:58.000]  就是這樣的概念。
[00:02:58.000 --> 00:03:00.000]  耶律比全神的話。
[00:03:00.000 --> 00:03:02.000]  耶律比全神的話。
[00:03:02.000 --> 00:03:04.000]  講給他們聽。
[00:03:04.000 --> 00:03:07.000]  等於老闆把很漂亮的支票給他們。
[00:03:07.000 --> 00:03:09.000]  就像他給你一張很漂亮的支票一樣。
[00:03:10.000 --> 00:03:11.000]  把支票扔到垃圾桶。
[00:03:11.000 --> 00:03:13.000]  他把支票扔到垃圾桶裡面去了。
[00:03:13.000 --> 00:03:16.000]  我們用這樣的心情去讀聖經。
[00:03:16.000 --> 00:03:19.000]  我們用這樣的心情來讀聖經。
[00:03:19.000 --> 00:03:24.000]  所以我現在給你解釋的是,耶律比講上帝的話有多麼寶貴。
[00:03:24.000 --> 00:03:27.000]  耶律比講上帝的話有多麼寶貴。
[00:03:27.000 --> 00:03:31.000]  當時的人將上帝的話扔到垃圾桶。
[00:03:31.000 --> 00:03:34.000]  當時的人將上帝的話扔進了垃圾桶。
[00:03:34.000 --> 00:03:37.000]  你怎樣對上帝所說的話呢?
[00:03:37.000 --> 00:03:39.000]  你怎麼去對上帝所說的話呢?
[00:03:40.000 --> 00:03:41.000]  我們用這樣的心情來聽,好不好?
[00:03:41.000 --> 00:03:43.000]  我們用這樣的心情來聽,好不好?
[00:03:43.000 --> 00:03:55.000]  本文是講到上帝要公開起訴以色列,包括猶大的重要因素。
[00:03:55.000 --> 00:04:00.000]  本文描述了上帝要公開起訴以色列猶大的重要因素。
[00:04:00.000 --> 00:04:04.000]  並且聲明要隨之而來的審判。
[00:04:04.000 --> 00:04:07.000]  並聲明要隨之而來的審判。
[00:04:08.000 --> 00:04:10.000]  這是一個很重要的聲明。
[00:04:10.000 --> 00:04:12.000]  這是一個很重要的聲明。
[00:04:12.000 --> 00:04:17.000]  我們因為聖經讀者是很直率的。
[00:04:17.000 --> 00:04:19.000]  我們聖經讀者是很直率的。
