
[00:00:00.000 --> 00:00:01.720]  各位頂姐妹 大家好
[00:00:01.720 --> 00:00:03.960]  各位弟兄姊妹 大家好
[00:00:03.960 --> 00:00:05.240]  大家都不如給點回應我來
[00:00:05.240 --> 00:00:06.200]  大家好 各位早安
[00:00:06.200 --> 00:00:07.760]  大家有點回應好嗎
[00:00:07.760 --> 00:00:09.560]  這樣就很醒神了
[00:00:09.560 --> 00:00:11.600]  大家都警醒起來了
[00:00:11.600 --> 00:00:13.880]  訊息之前問大家一個問題 好嗎
[00:00:13.880 --> 00:00:17.440]  開始訊息之前 我想問大家一個問題
[00:00:17.440 --> 00:00:19.920]  教會的招牌在哪裡呢
[00:00:19.920 --> 00:00:22.560]  我們教會的招牌是在哪裡
[00:00:22.560 --> 00:00:24.920]  教會招牌在哪裡
[00:00:24.920 --> 00:00:26.880]  在門外面
[00:00:26.880 --> 00:00:29.000]  是在門外面 對的
[00:00:29.000 --> 00:00:31.000]  教會還有一個招牌
[00:00:31.000 --> 00:00:33.240]  教會還有另外一個招牌
[00:00:33.240 --> 00:00:35.800]  大家猜到在哪裡嗎
[00:00:35.800 --> 00:00:37.840]  是不是雜物房
[00:00:37.840 --> 00:00:39.480]  是在雜物房裡面嗎
[00:00:39.480 --> 00:00:41.160]  遲些告訴大家 好嗎
[00:00:41.160 --> 00:00:42.920]  我們過些時候告訴大家
[00:00:42.920 --> 00:00:44.960]  今天的訊息是
[00:00:44.960 --> 00:00:48.800]  感謝福氏信徒一家
[00:00:48.800 --> 00:00:50.400]  今天的訊息就是
[00:00:50.400 --> 00:00:53.280]  感謝福氏信徒一家
[00:00:53.280 --> 00:00:55.360]  今天我可以站在這裡
[00:00:55.360 --> 00:00:58.000]  今天詹牧師說他能夠站在這裡
[00:00:58.000 --> 00:01:01.360]  是因為有一群愛主的大兄姊妹
[00:01:01.360 --> 00:01:04.280]  是因為有一群愛主的弟兄姊妹
[00:01:04.280 --> 00:01:06.960]  正正是大家的服侍
[00:01:06.960 --> 00:01:11.040]  令到這個家有生氣和能夠運作
[00:01:11.040 --> 00:01:12.880]  正因為有大家的福氏
[00:01:12.880 --> 00:01:15.880]  讓這個家是有生氣和溫暖
[00:01:15.880 --> 00:01:19.280]  當一群的信徒我們彼此相愛
[00:01:19.280 --> 00:01:22.000]  當一群信徒彼此相愛
[00:01:22.000 --> 00:01:23.480]  我們互相支持
[00:01:23.480 --> 00:01:24.880]  我們互相支持
[00:01:24.880 --> 00:01:27.360]  就好像一家人的一樣
[00:01:27.360 --> 00:01:28.920]  就好像一家人的一樣
[00:01:28.920 --> 00:01:30.640]  就是信徒一家
[00:01:30.640 --> 00:01:32.200]  就是信徒一家
[00:01:32.200 --> 00:01:35.680]  而福氏就是這個家裡面的人
[00:01:35.680 --> 00:01:38.880]  分擔各種的家頭世務
[00:01:38.880 --> 00:01:40.920]  福氏就是一家人裡面
[00:01:40.920 --> 00:01:43.440]  每個人都分享一點家裡的事物
