
[00:00:00.000 --> 00:00:02.640]  就和你分享這段經文
[00:00:02.640 --> 00:00:04.080]  有些弟兄姊妹
[00:00:04.080 --> 00:00:07.040]  特別我家庭崇拜也要多聽一次
[00:00:07.040 --> 00:00:10.440]  因為我平時每個星期會為一些家庭
[00:00:10.440 --> 00:00:13.560]  去帶領他們家庭崇拜
[00:00:13.560 --> 00:00:16.880]  和他們的家人說這段經文
[00:00:16.880 --> 00:00:19.760]  所以Karen多聽一次
[00:00:19.760 --> 00:00:21.280]  應該可以的
[00:00:21.280 --> 00:00:24.400]  另外這段經文我一說的時候
[00:00:24.400 --> 00:00:27.480]  今天主要先說了24節
[00:00:27.480 --> 00:00:29.440]  但是我沒辦法不忍住
[00:00:29.440 --> 00:00:31.360]  一定要和你唱一首詩歌
[00:00:31.360 --> 00:00:33.320]  我通常是最後才唱
[00:00:33.320 --> 00:00:34.440]  但是這次反過來
[00:00:34.440 --> 00:00:36.080]  要先上一首詩歌
[00:00:36.080 --> 00:00:38.680]  我相信陳姑娘應該很熟悉的
[00:00:38.680 --> 00:00:42.000]  從命因方至蓋在盤石上
[00:00:42.000 --> 00:00:42.760]  懂不懂得唱
[00:00:42.760 --> 00:00:43.520]  不用怕
[00:00:43.520 --> 00:00:45.360]  詩琴不用你彈的
[00:00:45.360 --> 00:00:46.280]  這些也沒得彈
[00:00:46.280 --> 00:00:47.440]  不用彈的
[00:00:47.440 --> 00:00:50.160]  有沒有哪位懂得唱從命因
[00:00:50.160 --> 00:00:51.040]  對了
[00:00:51.040 --> 00:00:52.440]  惠敏非常好
[00:00:52.440 --> 00:00:52.960]  感謝主
[00:00:52.960 --> 00:00:54.760]  起碼有兩個人扶著我
[00:00:54.760 --> 00:00:57.400]  我們不用看歌詞的
[00:00:57.400 --> 00:00:58.000]  懂得背的
[00:00:58.000 --> 00:00:59.240]  應該很快就背得到
[00:00:59.240 --> 00:01:01.240]  如果你要看歌詞就看經文
[00:01:01.240 --> 00:01:02.920]  24節就是了
[00:01:02.920 --> 00:01:06.880]  從命因方至蓋在盤石上
[00:01:06.880 --> 00:01:10.760]  從命因方至蓋在盤石上
[00:01:10.760 --> 00:01:15.240]  從命因方至蓋在盤石上
[00:01:15.240 --> 00:01:19.120]  大雨沖天上降下
[00:01:19.120 --> 00:01:22.400]  大雨降下帶誰往上漲
[00:01:22.400 --> 00:01:25.680]  大雨降下帶誰往上漲
[00:01:25.680 --> 00:01:28.880]  大雨降下帶誰往上漲
[00:01:28.880 --> 00:01:32.440]  方至堅固永不動搖
[00:01:32.440 --> 00:01:34.120]  行不行
