
[00:00:00.000 --> 00:00:03.480]  最近兩個星期前
[00:00:03.480 --> 00:00:06.200]  我傳了一個非常感恩的心
[00:00:06.200 --> 00:00:09.640]  看見《哲行傳》時代的一些神蹟奇事
[00:00:09.640 --> 00:00:11.960]  原來現在都可以繼續發生
[00:00:11.960 --> 00:00:13.560]  在我們這個地上
[00:00:13.560 --> 00:00:17.440]  是讓我再一次看見聖靈的大能
[00:00:17.440 --> 00:00:20.560]  在這個世界上無處不在
[00:00:20.560 --> 00:00:21.960]  兩個多星期前上去
[00:00:21.960 --> 00:00:24.160]  主要是為了一個主要負責的童宮
[00:00:24.160 --> 00:00:27.440]  主持一個他的兒子的婚禮
[00:00:27.440 --> 00:00:31.200]  另一方面亦都去探望弟子姊妹
[00:00:31.200 --> 00:00:32.880]  做一些培訓
[00:00:32.880 --> 00:00:34.480]  去到那個時候
[00:00:34.480 --> 00:00:37.480]  神給我看見有兩樣令我
[00:00:37.480 --> 00:00:43.200]  心裏不能夠從心裏發出的感恩
[00:00:43.200 --> 00:00:47.360]  第一件事就是帶了一個
[00:00:47.360 --> 00:00:53.680]  當地整個市的煤礦部部長信主
[00:00:53.680 --> 00:00:58.320]  這個部長的太太信了十幾二十年
[00:00:58.320 --> 00:00:59.680]  但太太信了之後
[00:00:59.680 --> 00:01:01.920]  特別是兒子都信了
[00:01:01.920 --> 00:01:04.160]  他非常抗拒
[00:01:04.160 --> 00:01:06.680]  以前他的兒子和太太
[00:01:06.680 --> 00:01:09.280]  拿任何有關基督教的東西回家
[00:01:09.280 --> 00:01:10.800]  他會將它撕爛
[00:01:10.800 --> 00:01:12.200]  撕爛了之後
[00:01:12.200 --> 00:01:14.480]  放在廁所沖走
[00:01:14.480 --> 00:01:17.920]  但有一次因為太多
[00:01:17.920 --> 00:01:19.400]  沖不走
[00:01:19.400 --> 00:01:22.080]  結果把廁所塞了
[00:01:22.080 --> 00:01:23.920]  然後他太太跟我說
[00:01:23.920 --> 00:01:29.680]  真理是沖不走的
[00:01:29.680 --> 00:01:33.680]  他的改變是大概兩年前
[00:01:33.680 --> 00:01:35.360]  因為他的一個同事
[00:01:35.360 --> 00:01:38.160]  亦都是一個很高級的幹部
[00:01:38.160 --> 00:01:43.240]  他的兒子來到香港
[00:01:43.240 --> 00:01:45.360]  來舉行一個婚禮
