
[00:00:00.000 --> 00:00:02.000]  各位好,我們今天繼續去看看
[00:00:02.000 --> 00:00:05.000]  逆境當中怎麼去做一個門徒
[00:00:05.000 --> 00:00:07.000]  今天我們看聖經裡面
[00:00:07.000 --> 00:00:10.500]  智慧文學的其中一本書叫做《傳道書》
[00:00:10.500 --> 00:00:13.000]  《傳道書》在聖經裡面這麼多的書裡面
[00:00:13.000 --> 00:00:15.000]  算是最有哲學味道的
[00:00:15.000 --> 00:00:18.000]  因為是在探索人生的意義
[00:00:18.000 --> 00:00:21.000]  最出名的一句話就是虛空的虛空
[00:00:21.000 --> 00:00:24.000]  好像我們這裡一章第一節開始這麼說
[00:00:24.000 --> 00:00:28.000]  耶路撒冷作王大位的兒子傳道者的言語
[00:00:28.000 --> 00:00:30.000]  傳道者說什麼呢?
[00:00:30.000 --> 00:00:33.000]  虛空的虛空,虛空的虛空
[00:00:33.000 --> 00:00:35.000]  凡事都是虛空的
[00:00:35.000 --> 00:00:38.000]  人一切所有的勞碌
[00:00:38.000 --> 00:00:41.000]  在他日光之下,under the sun的勞碌
[00:00:41.000 --> 00:00:43.000]  有什麼益處呢?
[00:00:43.000 --> 00:00:45.000]  因為一切都是虛空
[00:00:45.000 --> 00:00:48.000]  我們看看這本這麼有哲學味道的書的時候
[00:00:48.000 --> 00:00:50.000]  我們需要知道整本的傳道書
[00:00:50.000 --> 00:00:52.000]  Ecclesiastes
[00:00:52.000 --> 00:00:55.000]  其實是有兩把聲音在裡面的
[00:00:55.000 --> 00:00:56.000]  什麼兩把聲音呢?
[00:00:56.000 --> 00:00:59.000]  就是這個傳書的結構告訴我們
[00:00:59.000 --> 00:01:01.000]  一節到第十一節
[00:01:01.000 --> 00:01:03.000]  這裡其實就是一個父親
[00:01:03.000 --> 00:01:05.000]  一個真正的智者
[00:01:05.000 --> 00:01:09.000]  跟他的孩子來去教訓他
[00:01:09.000 --> 00:01:11.000]  來去叮嚀他
[00:01:11.000 --> 00:01:13.000]  然後一章十二節開始
[00:01:13.000 --> 00:01:17.000]  他就去引用一個傳道者的講話
[00:01:17.000 --> 00:01:21.000]  這個傳道者的希伯來文叫做Kohelet
[00:01:21.000 --> 00:01:23.000]  這個字是什麼意思呢?
[00:01:23.000 --> 00:01:25.000]  有很多的討論
[00:01:25.000 --> 00:01:30.000]  很可能這個字是來自希伯來一個文字
[00:01:30.000 --> 00:01:33.000]  叫做召集Assembly的意思
[00:01:33.000 --> 00:01:35.000]  所以Kohelet這個人
[00:01:35.000 --> 00:01:37.000]  我們譯做傳道書
[00:01:37.000 --> 00:01:39.000]  可能是一個召集人
[00:01:39.000 --> 00:01:42.000]  就是有一群門生在他面前
[00:01:42.000 --> 00:01:44.000]  他就好像一個哲學家
[00:01:44.000 --> 00:01:46.000]  一個老師來去教導他們
[00:01:46.000 --> 00:01:48.000]  召集他們,向他們講學
[00:01:48.000 --> 00:01:52.000]  講的就是他領悟人生的意義
[00:01:52.000 --> 00:01:55.000]  所以引用他的說話由十二節開始
[00:01:55.000 --> 00:01:57.000]  直到十二章第七節
[00:01:57.000 --> 00:02:00.000]  都是這個真正的智者父親
[00:02:00.000 --> 00:02:02.000]  去引用這個Kohelet
[00:02:02.000 --> 00:02:05.000]  這個傳道者所講的言論
[00:02:05.000 --> 00:02:08.000]  然後最後才有一個結束
[00:02:08.000 --> 00:02:12.000]  到底傳道書十幾章裡面講什麼呢?
[00:02:12.000 --> 00:02:14.000]  或者引用這個傳道者
[00:02:14.000 --> 00:02:16.000]  為什麼這麼長篇大論
