
[00:00:00.000 --> 00:00:05.820]  在三國志三國的時代
[00:00:05.820 --> 00:00:08.700]  我很喜歡看三國志演義
[00:00:08.700 --> 00:00:11.700]  我都曾經說過
[00:00:11.700 --> 00:00:13.840]  其中有一個人物
[00:00:13.840 --> 00:00:17.740]  我以前就非常不喜歡的
[00:00:17.740 --> 00:00:21.780]  這個人物是誰呢?就是曹操
[00:00:21.780 --> 00:00:26.600]  曹操在他的元配中有三個兒子
[00:00:26.600 --> 00:00:29.580]  大兒子曹丕 二兒子曹章
[00:00:29.580 --> 00:00:33.860]  三兒子曹植
[00:00:33.860 --> 00:00:35.780]  三個兒子當中
[00:00:35.780 --> 00:00:40.180]  小兒子的才華是最厲害的
[00:00:40.180 --> 00:00:44.100]  出口成文 入口成詩
[00:00:44.100 --> 00:00:46.020]  隨時隨地
[00:00:46.020 --> 00:00:49.300]  他的思路充滿創意
[00:00:49.300 --> 00:00:51.060]  是因為這樣
[00:00:51.060 --> 00:00:53.480]  有很多大臣就已經說
[00:00:53.480 --> 00:00:57.540]  這個兒子似乎最能夠接替你
[00:00:57.540 --> 00:00:59.420]  而曹操的心中有可能
[00:00:59.420 --> 00:01:01.520]  都曾經想過
[00:01:01.520 --> 00:01:05.300]  讓這個兒子接替他
[00:01:05.300 --> 00:01:08.500]  但是在那個時候
[00:01:08.500 --> 00:01:12.340]  他這個計劃還沒有完成
[00:01:12.340 --> 00:01:14.740]  他就突然離世
[00:01:14.740 --> 00:01:19.540]  離世之後 曹丕很快
[00:01:19.540 --> 00:01:24.740]  就去掌握所有軍政大權
[00:01:24.740 --> 00:01:26.580]  在他的手上
[00:01:26.580 --> 00:01:29.820]  然後趁著辦父親的喪事
[00:01:29.820 --> 00:01:31.260]  就召那些弟弟
[00:01:31.260 --> 00:01:34.940]  實際上 元配三個之外
[00:01:34.940 --> 00:01:37.180]  其實曹操還有二十多個
[00:01:37.180 --> 00:01:40.220]  他加上二十五個兒子
[00:01:40.220 --> 00:01:41.780]  多不多
[00:01:41.780 --> 00:01:45.220]  這個就是以前的皇帝
[00:01:45.220 --> 00:01:46.620]  所以召他們來做什麼呢
[00:01:46.620 --> 00:01:48.340]  其實他最緊張的
[00:01:48.340 --> 00:01:53.140]  就是三個同父同母的兄弟
[00:01:53.140 --> 00:01:56.900]  換句話來講就是曹張和曹直
[00:01:56.900 --> 00:02:00.500]  曹張一到已經被他差不多軟禁
[00:02:00.500 --> 00:02:06.460]  然後接著差不多拿了一切的兵權
[00:02:06.460 --> 00:02:09.980]  曹直他聽到奉承
[00:02:09.980 --> 00:02:13.100]  他就沒有去奔喪
[00:02:13.100 --> 00:02:15.100]  就是因為他沒有奔喪
[00:02:15.100 --> 00:02:21.060]  所以曹操就派了一些軍將 兵將去抓他
[00:02:21.060 --> 00:02:24.620]  抓了他之後就押他回京城
[00:02:24.620 --> 00:02:26.380]  押到回去的時間
[00:02:26.380 --> 00:02:29.620]  他就告訴他
