
[00:00:00.000 --> 00:00:03.220]  昨天在教會舉辦 River Kids 十周年慶
[00:00:03.220 --> 00:00:08.080]  再次感謝 Pastor Philly 和每一位中心服侍的同工們
[00:00:08.080 --> 00:00:11.580]  在過去這些年來為兒童施工擺上
[00:00:11.580 --> 00:00:16.600]  事實上在我全職呼召的見證裡面
[00:00:16.600 --> 00:00:20.780]  兒童竹日學老師扮演的非常重要的角色
[00:00:20.780 --> 00:00:24.320]  所以每次想到兒童施工我心中非常的感恩
[00:00:24.320 --> 00:00:27.260]  我想問一下我們當中有沒有哪些弟兄姊妹
[00:00:27.260 --> 00:00:30.560]  在過去這些年日有參與過兒童施工的
[00:00:30.560 --> 00:00:32.560]  可以請你揮揮手好嗎
[00:00:32.560 --> 00:00:39.940]  我們拍手來謝謝每一位服侍兒童的
[00:00:39.940 --> 00:00:43.080]  我剛剛差點講成誤人子弟
[00:00:43.080 --> 00:00:47.340]  這個中心服侍兒童的這些老師們
[00:00:47.340 --> 00:00:48.600]  願神祝福你們
[00:00:48.600 --> 00:00:52.640]  也相信你們所灑的種子
[00:00:52.640 --> 00:00:57.240]  在這些孩子們他們一生當中一定會發芽成長
[00:00:58.240 --> 00:01:01.180]  也在這邊也感謝大家為我們這次
[00:01:01.180 --> 00:01:05.680]  九月份西非多哥和賽內加爾的短宣的禱告
[00:01:05.680 --> 00:01:08.400]  我們真的是歡歡喜喜的出去
[00:01:08.400 --> 00:01:11.440]  然後東倒西歪的爬回來
[00:01:11.440 --> 00:01:19.000]  我們這次沒有想到在旅途的一半竟然生病
[00:01:19.000 --> 00:01:22.500]  後來才得知我們竟然得了新冠
[00:01:22.500 --> 00:01:26.300]  那是一個蠻預期之外的事情
[00:01:26.300 --> 00:01:27.640]  不過感謝神
[00:01:27.640 --> 00:01:28.940]  我們這次非常忙碌
[00:01:28.940 --> 00:01:31.040]  有來自七個不同的地方
[00:01:31.040 --> 00:01:35.840]  至少12個單位一起做了很多很榮美的工作
[00:01:35.840 --> 00:01:37.980]  那你們不用擔心了
[00:01:37.980 --> 00:01:40.620]  我們大家都已經轉陰了
[00:01:40.620 --> 00:01:43.780]  我今天在這裡也是陰陰無事
