
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹早晨
[00:00:02.000 --> 00:00:04.000]  很多時候我們覺得
[00:00:04.000 --> 00:00:06.000]  世界上的事情
[00:00:06.000 --> 00:00:08.000]  是
[00:00:08.000 --> 00:00:10.000]  可能是偶然發生
[00:00:10.000 --> 00:00:12.000]  但是在
[00:00:12.000 --> 00:00:14.000]  一個信徒的生命
[00:00:14.000 --> 00:00:16.000]  在一個國度的生命
[00:00:16.000 --> 00:00:18.000]  所發生的事情
[00:00:18.000 --> 00:00:20.000]  沒有偶然的回事
[00:00:20.000 --> 00:00:22.000]  完全是有
[00:00:22.000 --> 00:00:24.000]  上帝的安排
[00:00:24.000 --> 00:00:26.000]  待會我會跟你說西大加的
[00:00:26.000 --> 00:00:28.000]  這個故事
[00:00:28.000 --> 00:00:30.000]  我現在已經和你去到
[00:00:30.000 --> 00:00:32.000]  獵王記下
[00:00:32.000 --> 00:00:34.000]  差不多拉尾了,25張是最後一張
[00:00:34.000 --> 00:00:36.000]  你見我的題目是
[00:00:36.000 --> 00:00:38.000]  應許
[00:00:38.000 --> 00:00:40.000]  拆除
[00:00:40.000 --> 00:00:42.000]  我的英文叫Dismantle
[00:00:42.000 --> 00:00:44.000]  什麼叫Dismantle呢
[00:00:44.000 --> 00:00:46.000]  你將一些東西
[00:00:46.000 --> 00:00:48.000]  整個架子擺好
[00:00:48.000 --> 00:00:50.000]  叫Dismantle
[00:00:50.000 --> 00:00:52.000]  Dismantle
[00:00:52.000 --> 00:00:54.000]  將它拆除
[00:00:54.000 --> 00:00:56.000]  如果用一個最好的例子,香港
[00:00:56.000 --> 00:00:58.000]  打棚
[00:00:58.000 --> 00:01:00.000]  打棚
[00:01:00.000 --> 00:01:02.000]  將棚拆除
[00:01:02.000 --> 00:01:04.000]  叫Dismantle
[00:01:04.000 --> 00:01:06.000]  在一個國度來說
[00:01:06.000 --> 00:01:08.000]  上帝給了這個
[00:01:08.000 --> 00:01:10.000]  國家一個國度
[00:01:10.000 --> 00:01:12.000]  有應許
[00:01:12.000 --> 00:01:14.000]  但這個應許已經拆除了
[00:01:14.000 --> 00:01:16.000]  當上帝
[00:01:16.000 --> 00:01:18.000]  給了猶大國
[00:01:18.000 --> 00:01:20.000]  一個應許,他說要拆除
[00:01:20.000 --> 00:01:22.000]  什麼意思呢
[00:01:22.000 --> 00:01:24.000]  他的末日
[00:01:24.000 --> 00:01:26.000]  到了
[00:01:26.000 --> 00:01:28.000]  你看我的題目
[00:01:28.000 --> 00:01:30.000]  有個第三講
[00:01:30.000 --> 00:01:32.000]  猶大第二
[00:01:32.000 --> 00:01:34.000]  我漏了一個字
[00:01:34.000 --> 00:01:36.000]  我先字打錯了
[00:01:36.000 --> 00:01:38.000]  第二次被擄
[00:01:38.000 --> 00:01:40.000]  你見到
[00:01:40.000 --> 00:01:42.000]  我手上的大綱
[00:01:42.000 --> 00:01:44.000]  我有兩點和大家說
[00:01:44.000 --> 00:01:46.000]  一會兒會回應
[00:01:46.000 --> 00:01:48.000]  這兩點
[00:01:48.000 --> 00:01:50.000]  不過我想回顧一點
[00:01:50.000 --> 00:01:52.000]  獵王記
[00:01:52.000 --> 00:01:54.000]  來到這裡
[00:01:54.000 --> 00:01:58.000]  最後
[00:01:58.000 --> 00:02:00.000]  他最後一個好的王
[00:02:00.000 --> 00:02:02.000]  叫約西亞
[00:02:02.000 --> 00:02:04.000]  喬西亞
[00:02:04.000 --> 00:02:06.000]  是一個好的王
[00:02:06.000 --> 00:02:08.000]  但他死了之後
[00:02:08.000 --> 00:02:10.000]  31年這個國度就亡了
[00:02:10.000 --> 00:02:12.000]  但他死了之後這31年
[00:02:12.000 --> 00:02:14.000]  出了四個王
[00:02:14.000 --> 00:02:16.000]  首先
[00:02:16.000 --> 00:02:18.000]  作王的
[00:02:18.000 --> 00:02:20.000]  約哈斯
[00:02:20.000 --> 00:02:22.000]  是他中間的兒子
[00:02:22.000 --> 00:02:24.000]  作王三個月
[00:02:24.000 --> 00:02:28.000]  法老王尼戈
[00:02:28.000 --> 00:02:30.000]  不喜歡他
[00:02:30.000 --> 00:02:32.000]  就立了他的哥哥
[00:02:32.000 --> 00:02:34.000]  叫約瓦敬
[00:02:34.000 --> 00:02:36.000]  作王
[00:02:36.000 --> 00:02:38.000]  約瓦敬就做了十一年王
[00:02:38.000 --> 00:02:40.000]  但是
[00:02:40.000 --> 00:02:42.000]  又被尼布甲尼撒
[00:02:42.000 --> 00:02:44.000]  不喜歡他
[00:02:50.000 --> 00:02:52.000]  約瓦敬在耶路撒冷
[00:02:52.000 --> 00:02:54.000]  做王十一年
[00:02:54.000 --> 00:02:58.000]  法老不能夠保護他
[00:02:58.000 --> 00:03:00.000]  約瓦敬被迫
[00:03:00.000 --> 00:03:02.000]  臣服尼布甲尼撒
[00:03:02.000 --> 00:03:04.000]  約瓦敬
[00:03:04.000 --> 00:03:06.000]  就造反第一次被擄
[00:03:06.000 --> 00:03:08.000]  整個國第一次被擄
[00:03:08.000 --> 00:03:10.000]  被擄之後
[00:03:10.000 --> 00:03:12.000]  尼布甲尼撒就立了約瓦根
[00:03:12.000 --> 00:03:16.000]  約瓦根
[00:03:16.000 --> 00:03:18.000]  就是約瓦敬的兒子
[00:03:18.000 --> 00:03:20.000]  是約西亞王的孫
[00:03:20.000 --> 00:03:26.000]  約瓦敬
[00:03:26.000 --> 00:03:28.000]  也是造反
[00:03:28.000 --> 00:03:30.000]  所以約瓦根
[00:03:30.000 --> 00:03:32.000]  作王三個月後
[00:03:32.000 --> 00:03:34.000]  又被人廢了巴比倫
[00:03:34.000 --> 00:03:36.000]  王尼布甲尼撒廢了他
[00:03:36.000 --> 00:03:38.000]  就立了另一個
