
[00:00:00.000 --> 00:00:02.940]  聽完節目 我今天有個題目叫「認識新知」
[00:00:02.940 --> 00:00:07.720]  我不知道你們回來會點教會
[00:00:07.720 --> 00:00:09.720]  我想先看看一個統計
[00:00:09.720 --> 00:00:13.260]  大家舉手給我看 其實沒甚麼後果的 不用怕
[00:00:13.260 --> 00:00:17.300]  如果你回來會點教會
[00:00:17.300 --> 00:00:19.940]  是認識有人帶你回來
[00:00:19.940 --> 00:00:22.740]  或者你認識有人介紹給你
[00:00:22.740 --> 00:00:25.520]  叫你回來也好 叫你上網看資料也好
[00:00:25.520 --> 00:00:28.600]  總之有一些的結連是
[00:00:28.600 --> 00:00:32.860]  因為你認識人 以致你來到會點教會
[00:00:32.860 --> 00:00:35.600]  有這樣的人 請你舉手
[00:00:35.600 --> 00:00:37.120]  認識人
[00:00:37.120 --> 00:00:39.840]  好了 請放下
[00:00:39.840 --> 00:00:42.120]  如果你是完全不認識人的
[00:00:42.120 --> 00:00:44.420]  只是有一天開車經過
[00:00:44.420 --> 00:00:47.220]  看到這裡的奇海
[00:00:47.220 --> 00:00:51.680]  又或者你突然間性靈感動你
[00:00:51.680 --> 00:00:56.440]  總之開車出去 你突然間走來這裡崇拜
[00:00:56.440 --> 00:00:59.520]  又或者你完全是沒人認識的
[00:00:59.520 --> 00:01:01.520]  你只是上網找教會
[00:01:01.520 --> 00:01:06.000]  找到一間會點 於是你就中來了
[00:01:06.000 --> 00:01:08.840]  有多少人是這樣的 請舉手
[00:01:08.840 --> 00:01:11.200]  有多少人
[00:01:11.200 --> 00:01:14.120]  很少 不足十個 請放下
[00:01:14.120 --> 00:01:18.160]  其實是一個很顯淺的道理
[00:01:18.160 --> 00:01:21.600]  每逢你問教會 大部份人都會告訴你
[00:01:21.600 --> 00:01:25.840]  他回來教會是因為有人認識
[00:01:25.840 --> 00:01:29.720]  或者有人介紹 來到當中
[00:01:29.720 --> 00:01:32.520]  這也是跟很多教育中心的學家
[00:01:32.520 --> 00:01:34.800]  其中一個叫Tom Rainer
[00:01:34.800 --> 00:01:38.840]  現在在Lightway擔任CEO
[00:01:38.840 --> 00:01:44.080]  他以前在南方神話院擔任教授
[00:01:44.080 --> 00:01:46.080]  他做了很多的資料搜集
[00:01:46.080 --> 00:01:48.080]  其中一個資料搜集告訴我們
[00:01:48.080 --> 00:01:52.560]  原來在教會裏面 通常87%以上的人
[00:01:52.560 --> 00:01:57.120]  接近九成的人都是因著某些人的認識
[00:01:57.120 --> 00:02:02.640]  或者轉介 來到教會裏面
[00:02:02.640 --> 00:02:05.360]  道理其實很簡單
[00:02:05.360 --> 00:02:07.840]  你想想 如果你走在街上
[00:02:07.840 --> 00:02:11.440]  有個人介紹你一些好東西
[00:02:11.440 --> 00:02:14.680]  或者吃某些東西可以治好某些病
[00:02:14.680 --> 00:02:18.400]  你都會害怕 完全不認識他
[00:02:18.400 --> 00:02:21.400]  但如果你來到會點 有一個人必定要問他
[00:02:21.400 --> 00:02:24.200]  就是趙思武
[00:02:24.200 --> 00:02:26.200]  我每次跟他吃飯
[00:02:26.200 --> 00:02:28.440]  我都會在身上有什麼問題告訴他
[00:02:28.440 --> 00:02:30.920]  他就會介紹你吃什麼
[00:02:30.920 --> 00:02:35.560]  中國人最希望幫到別人
[00:02:35.560 --> 00:02:40.200]  所以有時候看到趙牧師每天都吃不同的食療補品
[00:02:40.200 --> 00:02:42.440]  這次看到他拿著一杯不知什麼
[00:02:42.440 --> 00:02:45.400]  他就說 師母 告訴他這東西好
[00:02:45.400 --> 00:02:48.320]  其實道理很簡單
[00:02:48.320 --> 00:02:50.720]  如果一個熟悉的人
[00:02:50.720 --> 00:02:53.040]  介紹你一些好的東西
[00:02:53.040 --> 00:02:54.800]  能夠幫到你的
[00:02:54.800 --> 00:02:58.800]  你不是相信那東西那麼簡單
[00:02:58.800 --> 00:03:01.440]  可能你自己都會上網
[00:03:01.440 --> 00:03:03.440]  看看究竟行不行
[00:03:03.440 --> 00:03:05.040]  或者做一些資料搜集
[00:03:05.040 --> 00:03:08.960]  但最重要的是 你有一個人版在看
[00:03:08.960 --> 00:03:11.800]  趙牧師都生存得很好
[00:03:11.800 --> 00:03:14.800]  還活著
[00:03:14.800 --> 00:03:17.520]  吃了這麼多這些 可能我也要試一下
[00:03:17.520 --> 00:03:20.280]  有個人版在看 你認識他
[00:03:20.280 --> 00:03:23.960]  可能你都覺得願意嘗試
[00:03:23.960 --> 00:03:27.640]  如果生命之道
[00:03:27.640 --> 00:03:33.320]  是關乎永生和今生的豐盛的人生的話
[00:03:33.320 --> 00:03:37.320]  而有個人版在你面前向你推介
[00:03:37.320 --> 00:03:40.760]  他又活了見證給你看
[00:03:40.760 --> 00:03:43.680]  這是不是一個更加好的方法
[00:03:43.680 --> 00:03:47.720]  將福音介紹給你認識的人
[00:03:47.720 --> 00:03:51.600]  例如外母 未來外母
