
[00:00:00.000 --> 00:00:04.000]  希望大家平安,我們才一起祈禱
[00:00:04.000 --> 00:00:12.000]  天父感謝您的恩典,讓我們在最後的清晨可以一同聚集
[00:00:12.000 --> 00:00:15.000]  一同敬拜您,可以聆聽您的話語
[00:00:15.000 --> 00:00:20.000]  我們求聖靈幫助我們聽到您的話語
[00:00:20.000 --> 00:00:26.000]  放在內心裡,讓我們在每天的生活當中謹守遵行您的話
[00:00:26.000 --> 00:00:31.000]  並要主領您的名,奉耶穌基督的名祈禱
[00:00:31.000 --> 00:00:37.000]  星期前我們已經開始看《羅馬書》
[00:00:37.000 --> 00:00:40.000]  《羅馬書》是一個很重要的中心信息
[00:00:40.000 --> 00:00:43.000]  是在《羅馬書》一章16至17節說的
[00:00:43.000 --> 00:00:48.000]  我不以福音為止,這福音本是上帝的大能
[00:00:48.000 --> 00:00:53.000]  要救一世相信的,先是猶太人,後是希臘人
[00:00:53.000 --> 00:00:58.000]  因為上帝的義正在這福音上顯明出來
[00:00:58.000 --> 00:01:05.000]  者義是本於信,以至於信,如經上所記,義人必因信得生
[00:01:05.000 --> 00:01:11.000]  我們留意到這裡說了一句話,就是要救一世相信的
[00:01:11.000 --> 00:01:15.000]  在這句話當中,如果未信的人聽到
[00:01:15.000 --> 00:01:22.000]  要救一世相信的,他可能會問,我為什麼要被救?
[00:01:22.000 --> 00:01:29.000]  我不需要被救,福音留給你吧,我不需要知道
[00:01:29.000 --> 00:01:34.000]  上星期張全道已經跟我們分享了一章18至32節
[00:01:34.000 --> 00:01:40.000]  他提到世人都是罪人
[00:01:40.000 --> 00:01:49.000]  世人聽到這消息又如何?世人都是罪人又如何?
[00:01:49.000 --> 00:01:58.000]  我記得我年輕時有一次上稅務法例課程
[00:01:58.000 --> 00:02:07.000]  老師說到稅務法例將防止走稅漏稅的行為
[00:02:07.000 --> 00:02:11.000]  講完之後他很幽默地問我們
[00:02:11.000 --> 00:02:15.000]  你們有沒有聽到第11條誡命?
[00:02:15.000 --> 00:02:21.000]  我們很擔心,只有第11條誡命才聽到
[00:02:21.000 --> 00:02:28.000]  他告訴我們,稅務法例課程,你不要被人捉到就可以了
[00:02:28.000 --> 00:02:32.000]  這就是他的含義
[00:02:32.000 --> 00:02:36.000]  犯法有什麼問題?犯罪也沒有問題
[00:02:36.000 --> 00:02:39.000]  最重要是不要被人捉到
[00:02:39.000 --> 00:02:48.000]  但是保羅在一章18至32節提到犯罪是有後果的
[00:02:48.000 --> 00:02:53.000]  他說不前不二的人,第一上帝知道
[00:02:53.000 --> 00:02:58.000]  然後上帝會向他們發怒
[00:02:58.000 --> 00:03:03.000]  上帝還會說任憑他們,不理他們
[00:03:03.000 --> 00:03:07.000]  這個對犯罪的人來說其實是壞消息
[00:03:07.000 --> 00:03:11.000]  保羅要將壞消息告訴他們
[00:03:11.000 --> 00:03:15.000]  然後他們才會知道什麼是好消息
[00:03:15.000 --> 00:03:19.000]  並且是真真正正的好消息
[00:03:19.000 --> 00:03:23.000]  可能有些人不會同意
[00:03:23.000 --> 00:03:28.000]  上帝不理他們也不見得壞
[00:03:28.000 --> 00:03:34.000]  他們繼續過沒有王館的生活自由自在好寫意不是很好嗎?
[00:03:34.000 --> 00:03:38.000]  原來不是
[00:03:38.000 --> 00:03:45.000]  上帝任憑他們,是說當他們仍然在世活著的時候
[00:03:45.000 --> 00:03:48.000]  是沒有上帝的照顧
[00:03:48.000 --> 00:03:53.000]  不照顧你,也沒有上帝的祝福
[00:03:53.000 --> 00:03:57.000]  並且在今天的經文二章五節就說
[00:03:57.000 --> 00:04:02.000]  上帝是故意讓他們自己累積憤怒
