
[00:00:00.000 --> 00:00:04.900]  約書亞今天跟大家分享的是他的金石良言
[00:00:04.900 --> 00:00:06.900]  或者可以說是肺腑之言
[00:00:06.900 --> 00:00:10.300]  亦都是臨別秋波的臨別贈言
[00:00:10.300 --> 00:00:17.300]  上個月跟大家分享約書亞公開的侍奉
[00:00:17.300 --> 00:00:19.960]  我們記得約書亞有他的隱藏期
[00:00:19.960 --> 00:00:22.600]  他跟從摩西一段時間
[00:00:22.600 --> 00:00:24.600]  來學習侍奉
[00:00:24.600 --> 00:00:27.100]  他慢慢成長、成熟
[00:00:27.100 --> 00:00:29.500]  能夠被神預備
[00:00:29.500 --> 00:00:31.200]  被神揀選
[00:00:31.200 --> 00:00:34.200]  我們也看到他開始一個斷奶的時期
[00:00:34.200 --> 00:00:35.900]  就是進入約書亞記
[00:00:35.900 --> 00:00:37.900]  他來帶領以色列民
[00:00:37.900 --> 00:00:39.600]  成為新一代的領袖
[00:00:39.600 --> 00:00:41.600]  要承擔新的使命
[00:00:41.600 --> 00:00:45.000]  要幫助以色列人過約旦河
[00:00:45.000 --> 00:00:47.500]  進入英許之地
[00:00:47.500 --> 00:00:49.000]  就是神給他們的地方
[00:00:49.000 --> 00:00:50.800]  但更加要得地
[00:00:50.800 --> 00:00:54.000]  就是靠著神給他們的命令
[00:00:54.000 --> 00:00:55.700]  以及給他們的英許
[00:00:55.700 --> 00:00:57.900]  他來得這個迦林地
[00:00:57.900 --> 00:00:59.000]  趕走仇敵
[00:00:59.000 --> 00:01:01.600]  將這些異教、不信服神的
[00:01:01.600 --> 00:01:04.700]  犯罪的族類滅絕
[00:01:04.700 --> 00:01:08.700]  這是神吩咐他要做的旨意
[00:01:08.700 --> 00:01:13.600]  但我們看到上一次我們去到二十二章
[00:01:13.600 --> 00:01:15.800]  他戰事結束了
[00:01:15.800 --> 00:01:19.800]  兩個支派伴河東回到自己地方之前
[00:01:19.800 --> 00:01:21.800]  約書亞祝福他們
[00:01:21.800 --> 00:01:24.800]  祝福他們記得要遵行神的話語
[00:01:24.800 --> 00:01:26.200]  專心愛他
[00:01:26.200 --> 00:01:30.200]  以後他們就到達他們自己的地方
[00:01:30.200 --> 00:01:34.600]  今天我們看約書亞最後一章
[00:01:34.600 --> 00:01:36.100]  也是最後一段
[00:01:36.100 --> 00:01:39.500]  約書亞他在人生最後這個階段
[00:01:39.500 --> 00:01:42.600]  可以說是一個專榮的晚年期
[00:01:42.600 --> 00:01:48.200]  他留下給以色列民一些很重要的金石良言
[00:01:48.200 --> 00:01:49.800]  今天這些金石良言
[00:01:49.800 --> 00:01:52.600]  不知道大家可以領受到多少句
[00:01:52.600 --> 00:01:54.900]  或者在當中得到多少句
[00:01:54.900 --> 00:01:59.000]  但在這裡如果能夠得到一句
[00:01:59.000 --> 00:02:01.900]  我相信就可以影響我們人生
[00:02:01.900 --> 00:02:03.300]  我們可否祈禱
[00:02:03.300 --> 00:02:07.600]  求主今天透過約書亞這些金石良言
[00:02:07.600 --> 00:02:09.400]  正是我們的需要
[00:02:09.400 --> 00:02:11.900]  神提醒我們
[00:02:11.900 --> 00:02:13.800]  有時候不需要多
[00:02:13.800 --> 00:02:16.900]  可能一句話就可以改變了我們生命
[00:02:16.900 --> 00:02:18.700]  影響我們一生
[00:02:18.700 --> 00:02:22.800]  求主今天也這樣向我們說話
[00:02:22.800 --> 00:02:24.800]  約書亞記第二十四章十四節
[00:02:24.800 --> 00:02:27.600]  我們一起來讀讀這十幾節的經文
[00:02:27.600 --> 00:02:31.300]  請大家在家裡或者在場的
