
[00:00:00.000 --> 00:00:05.000]  等著我們看「士徒行傳」來到最後一個階段
[00:00:05.000 --> 00:00:08.500]  在上幾個星期我們已經說到
[00:00:08.500 --> 00:00:12.000]  保羅一直朝向耶路撒冷進發
[00:00:12.000 --> 00:00:15.000]  要返回他原本出發的地方
[00:00:15.000 --> 00:00:17.500]  當中聖靈已經說了很多次
[00:00:17.500 --> 00:00:20.500]  會有困鎖、會有危難
[00:00:20.500 --> 00:00:23.500]  他亦會受很多的苦
[00:00:23.500 --> 00:00:26.500]  來到今天我們會看其中一場
[00:00:26.500 --> 00:00:30.000]  保羅接受審訊的過程
[00:00:30.000 --> 00:00:32.000]  我們繼續去祈禱
[00:00:32.000 --> 00:00:34.000]  求主帶領我們去明白
[00:00:34.000 --> 00:00:36.500]  當中他要我們所了解的真理
[00:00:36.500 --> 00:00:39.500]  我們先一同禱告
[00:00:39.500 --> 00:00:43.000]  主啊,祢是所有人的主
[00:00:43.000 --> 00:00:46.000]  祢是掌管萬有的主
[00:00:46.000 --> 00:00:48.500]  求祢幫助我們
[00:00:48.500 --> 00:00:51.500]  在我們所身處的地方
[00:00:51.500 --> 00:00:54.000]  在我們所身處的這個世界
[00:00:54.000 --> 00:00:58.000]  當我們眼前見到很多不同的事情不斷發生
[00:00:58.000 --> 00:01:02.000]  我們心裡會有很多的問號
[00:01:02.000 --> 00:01:04.000]  同時我們也期盼著
[00:01:04.000 --> 00:01:08.000]  祢真理的話語帶給我們有指引
[00:01:08.000 --> 00:01:12.500]  祢真理的話語能夠讓我們心中得著祢的安慰
[00:01:12.500 --> 00:01:17.500]  繼續去明白、踐行祢交託給我們的使命
[00:01:17.500 --> 00:01:20.500]  求主讓我們打開祢的話語的時候
[00:01:20.500 --> 00:01:23.500]  有聖靈的引導、了解、學習
[00:01:23.500 --> 00:01:24.500]  多謝祢
[00:01:24.500 --> 00:01:27.500]  祈禱奉主耶穌基督得聖名至祈求
[00:01:27.500 --> 00:01:29.500]  阿們
[00:01:53.500 --> 00:01:56.500]  你就知道是幾個磨人
[00:01:56.500 --> 00:01:59.500]  不要說你是去告人或被告
[00:01:59.500 --> 00:02:02.500]  不少人就算連做陪審團
[00:02:02.500 --> 00:02:04.500]  都覺得很不想做
[00:02:04.500 --> 00:02:07.500]  千方百計希望擺脫這個責任
[00:02:07.500 --> 00:02:11.500]  總之法庭就不是一個令人快樂的地方
[00:02:11.500 --> 00:02:14.500]  保羅他自己怎樣看呢?
[00:02:14.500 --> 00:02:18.500]  在前面兩章我們知道他要上耶路撒冷
[00:02:18.500 --> 00:02:24.500]  他身旁的人和他怎樣抱著頸痛哭
[00:02:24.500 --> 00:02:27.500]  是一幅傷感的圖畫
[00:02:27.500 --> 00:02:33.500]  始終他身邊的人看見他摯親摯愛的使徒
[00:02:33.500 --> 00:02:36.500]  即將會被拉被囚禁
[00:02:36.500 --> 00:02:38.500]  大家心裡很傷感
[00:02:38.500 --> 00:02:40.500]  但是保羅他怎樣去看
[00:02:40.500 --> 00:02:43.500]  他自己所面對的各樣審訊
[00:02:43.500 --> 00:02:46.500]  他現在即將在這一幕當中
[00:02:46.500 --> 00:02:49.500]  在羅馬的總督面前受審
[00:02:49.500 --> 00:02:53.500]  他是怎樣去做呢?
[00:02:53.500 --> 00:02:58.500]  我們了解到前言是發生了甚麼事
