
[00:00:00.000 --> 00:00:02.880]  請各位平安,我們一齊祈禱
[00:00:02.880 --> 00:00:06.680]  我們感謝站美理智的恩典
[00:00:06.680 --> 00:00:11.400]  讓我們在諸日的清晨能夠一起聚集敬拜祢
[00:00:11.400 --> 00:00:14.720]  更加可以聆聽理智的話語
[00:00:14.720 --> 00:00:16.880]  祢求聖靈幫助我們
[00:00:16.880 --> 00:00:20.600]  從祢的話語中可以得到鼓勵
[00:00:20.600 --> 00:00:21.880]  得到勇氣
[00:00:21.880 --> 00:00:25.600]  努力去完成主給我們的大使名
[00:00:25.600 --> 00:00:28.640]  奉耶穌基督的名,祈禱,阿們
[00:00:30.960 --> 00:00:35.200]  今年我們教會要推動全體會眾
[00:00:35.200 --> 00:00:37.840]  勇敢去傳福音
[00:00:37.840 --> 00:00:41.000]  帶領更多人進入天國
[00:00:41.000 --> 00:00:45.400]  教會選用了一個英文字叫「寶」
[00:00:45.400 --> 00:00:50.000]  有膽量,有勇氣,勇敢
[00:00:50.000 --> 00:00:53.920]  但是其實每一個英文字母
[00:00:53.920 --> 00:00:59.120]  都有一個意思或者方法幫助我們傳福音
[00:01:00.680 --> 00:01:01.920]  第一個字母「Be」
[00:01:01.920 --> 00:01:04.120]  是「Be Curious」
[00:01:04.120 --> 00:01:07.680]  是叫我們不要單顧自己的事
[00:01:07.680 --> 00:01:12.720]  對其他人的事都要有些關心,有些興趣
[00:01:12.720 --> 00:01:15.640]  澳洲的環境不錯
[00:01:15.640 --> 00:01:19.800]  在我的住宅區,其實很少人在街上行走
[00:01:19.800 --> 00:01:22.480]  偶然遇到華人面孔
[00:01:22.480 --> 00:01:25.560]  很容易跟別人點頭,打個招呼
[00:01:26.840 --> 00:01:31.680]  將傳道住那區可能有太多華人,這樣會比較困難
[00:01:31.680 --> 00:01:33.960]  假如我們有機會
[00:01:33.960 --> 00:01:38.640]  見到華人在前院剪草,洗車
[00:01:38.640 --> 00:01:43.480]  我們不妨試試主動跟別人打招呼
[00:01:43.480 --> 00:01:47.000]  問問對象,「阿倌來這裡多久了?」
[00:01:47.000 --> 00:01:50.920]  「花多漂亮,有沒有什麼秘訣?」
[00:01:50.920 --> 00:01:56.640]  這些問題幫助我們可以慢慢開始建立友誼
[00:01:57.800 --> 00:01:59.560]  第二個字母是「O」
[00:01:59.560 --> 00:02:01.400]  是「Open Our Faith」
[00:02:01.400 --> 00:02:05.400]  意思是我們要找機會
[00:02:05.400 --> 00:02:11.160]  跟朋友表明自己的信仰
[00:02:11.160 --> 00:02:15.400]  我們不要一初相識就跟別人說耶穌
[00:02:15.400 --> 00:02:19.080]  這樣可能會得到反效果
[00:02:19.080 --> 00:02:22.280]  第三個字母是「L」
[00:02:22.280 --> 00:02:24.680]  「L」代表「Link to the Church」
[00:02:25.200 --> 00:02:28.520]  有機會的時候,我們邀請對方來教會
[00:02:28.520 --> 00:02:33.040]  教會平日的主日敬拜
[00:02:33.040 --> 00:02:38.240]  我們是服侍基督徒為主的人群
[00:02:38.240 --> 00:02:42.200]  所以有時未必適合邀請新朋友來
[00:02:42.200 --> 00:02:45.000]  除非他們對信仰很有興趣
[00:02:45.000 --> 00:02:50.280]  但我們有些聚會特別是針對未信的朋友
[00:02:50.280 --> 00:02:54.480]  比如我們有免費的英語繪畫班
[00:02:54.760 --> 00:02:58.160]  久不久會舉行的步行活動
[00:02:58.160 --> 00:03:04.080]  特別節日有中秋節晚會、元宵節慶祝會
[00:03:04.080 --> 00:03:09.920]  這些聚會比較適合邀請未信的朋友來參加
[00:03:09.920 --> 00:03:12.760]  最後一個字母是「D」
[00:03:12.760 --> 00:03:15.360]  「D」是「Doing Life Together」
[00:03:15.360 --> 00:03:22.160]  我想中文可以翻譯為「與別人結伴同行」
[00:03:23.120 --> 00:03:30.440]  「與別人結伴同行」是假設我們已經跟對方相當熟悉
[00:03:30.440 --> 00:03:37.640]  我們怎樣可以跟他們更加熟絡呢?
[00:03:37.640 --> 00:03:38.960]  比如「左鄰右利」
[00:03:38.960 --> 00:03:43.920]  有時我們不妨邀請對方來我們家裡
[00:03:43.920 --> 00:03:45.920]  坐下來喝杯下午茶
[00:03:45.920 --> 00:03:52.240]  我從前有位鄰居,他是華人,他是修車的
[00:03:52.760 --> 00:03:56.280]  我以前的車子也曾經找他維修
[00:03:56.280 --> 00:04:00.360]  有關車子的問題,也會請教他
[00:04:00.360 --> 00:04:05.400]  很多時候人都會喜歡幫助別人
[00:04:05.400 --> 00:04:08.400]  特別是說些知識給你聽
[00:04:08.400 --> 00:04:10.240]  他又不用花費什麼錢
[00:04:10.240 --> 00:04:16.760]  但是我們找他幫忙,請教別人
[00:04:16.760 --> 00:04:18.560]  慢慢會比較熟悉
[00:04:19.240 --> 00:04:25.640]  我家裡有汪洪花果,果實修成時會拿些東西送給他
[00:04:25.640 --> 00:04:30.320]  我太太有時做了些糕點,也會拿來請我們吃
[00:04:30.320 --> 00:04:35.280]  我們慢慢就可以結伴同行
[00:04:35.280 --> 00:04:42.160]  這就是「B.O.L.D.勇敢」所代表的意思
[00:04:42.160 --> 00:04:45.480]  希望我們可以靈活應用
[00:04:46.720 --> 00:04:52.160]  未來幾個星期,我們都會環繞「B.O.L.D.」的主題來講道
[00:04:52.160 --> 00:04:58.360]  對我們中文學來說,傳福音也是非常重要的一件事
[00:04:58.360 --> 00:05:01.640]  因為這是主對我們的要求
[00:05:01.640 --> 00:05:06.200]  況且我們近來教會的人數也有下降的趨勢
[00:05:06.200 --> 00:05:10.280]  有新人曾經來過,不過後來又走了
[00:05:10.280 --> 00:05:14.840]  我相信這是教會普遍的現象
[00:05:15.480 --> 00:05:19.040]  有些可能受到消費者文化的影響
[00:05:19.040 --> 00:05:23.120]  你感覺這個教會有些什麼地方不適合你
[00:05:23.120 --> 00:05:26.840]  那就轉教會,到處都有華人教會
[00:05:26.840 --> 00:05:32.480]  我鼓勵大家,我們真的要一起努力去傳廣福音
[00:05:32.480 --> 00:05:37.600]  今天我們讀到《士道行傳》第四章的經文
[00:05:37.600 --> 00:05:40.000]  是一段頗長的經文
[00:05:40.800 --> 00:05:45.760]  其實我們還要先講講第三章發生了什麼事
[00:05:45.760 --> 00:05:48.520]  才會明白第四章的記載
