
[00:00:00.000 --> 00:00:05.000]  今日講道的題目是作神而屢的信徒
[00:00:05.000 --> 00:00:11.000]  而經文是記載在羅馬書八章十四到十七節
[00:00:11.000 --> 00:00:16.000]  請聽我讀出今日的講道經文
[00:00:16.000 --> 00:00:18.000]  羅馬書八章十四節
[00:00:18.000 --> 00:00:21.000]  因為凡被神的靈引導的
[00:00:21.000 --> 00:00:24.000]  都是神的兒子
[00:00:24.000 --> 00:00:30.000]  你們所受的不是奴僕的心仍舊害怕
[00:00:30.000 --> 00:00:33.000]  所受的乃是兒子的心
[00:00:33.000 --> 00:00:36.000]  因此我們呼叫阿爸父
[00:00:36.000 --> 00:00:41.000]  聖靈與我們的心同證我們是神的兒女
[00:00:41.000 --> 00:00:44.000]  既是兒女便是後製
[00:00:44.000 --> 00:00:46.000]  就是神的後製
[00:00:46.000 --> 00:00:49.000]  和基督同作後製
[00:00:49.000 --> 00:00:55.000]  如果我們和他一同受苦也必和他一同得榮耀
[00:00:55.000 --> 00:01:00.000]  連同這個星期我們用了三個星期的時間
[00:01:00.000 --> 00:01:03.000]  看羅馬書八章一到十七節
[00:01:03.000 --> 00:01:08.000]  如果我們要用一個題目去總括這十七節的經文的時候
[00:01:08.000 --> 00:01:12.000]  我會用一個題目是聖靈的工作
[00:01:12.000 --> 00:01:16.000]  如果大家忘記了或者沒有聽到上兩個星期的訊息
[00:01:16.000 --> 00:01:20.000]  我都鼓勵大家去網上聽這兩個星期的
[00:01:20.000 --> 00:01:25.000]  有關羅馬書八章第一個段落的訊息
[00:01:25.000 --> 00:01:26.000]  如果大家記得的話
[00:01:26.000 --> 00:01:30.000]  我們第一個星期所說的是關乎我們在聖靈裏面
[00:01:30.000 --> 00:01:36.000]  得到一個從罪惡被釋放出來的自由
[00:01:36.000 --> 00:01:38.000]  然後第二個的訊息就是說到我們
[00:01:38.000 --> 00:01:42.000]  接受聖靈進入我們生命裏面的時候
[00:01:42.000 --> 00:01:46.000]  我們的心思意念被聖靈所引導
[00:01:46.000 --> 00:01:53.000]  以致我們有能力也願意服從跟隨聖靈的帶領
[00:01:53.000 --> 00:02:00.000]  今天讓我們看看我們得到這個生命以後的另外一些福分
[00:02:00.000 --> 00:02:04.000]  我們看羅馬書八章的第十四節
[00:02:04.000 --> 00:02:11.000]  保羅說因為凡被神的靈引導的都是神的兒子
[00:02:11.000 --> 00:02:14.000]  由於我們第十四節開始的時候
[00:02:14.000 --> 00:02:17.000]  因為這個連接詞
[00:02:17.000 --> 00:02:21.000]  我們就好知道要明白這一句經文
[00:02:21.000 --> 00:02:25.000]  我們需要連同十三節一同去理解
[00:02:25.000 --> 00:02:28.000]  十三節我們上個星期就已經說過
[00:02:28.000 --> 00:02:30.000]  十三節是告訴我們
[00:02:30.000 --> 00:02:33.000]  假如我們倚靠聖靈的時候
[00:02:33.000 --> 00:02:39.000]  我們就得到聖靈所賜的能力去治死身體的惡行
[00:02:39.000 --> 00:02:42.000]  而中國就是生命
