
[00:00:00.000 --> 00:00:04.120]  讓我們在開始之前一起低頭同心的禱告
[00:00:04.120 --> 00:00:07.300]  與我口中的言語
[00:00:07.300 --> 00:00:10.420]  眾弟兄姊妹的心思意念
[00:00:10.420 --> 00:00:12.680]  都夢尚處月立
[00:00:12.680 --> 00:00:16.820]  我們是奉我主耶穌基督的名祈求
[00:00:16.820 --> 00:00:17.720]  阿們
[00:00:17.720 --> 00:00:25.720]  相信在座應該有不少人聽過一句很流行的勵志短句
[00:00:25.720 --> 00:00:28.720]  叫做「態度決定高度」
[00:00:28.720 --> 00:00:31.120]  altitude determines altitude
[00:00:31.120 --> 00:00:33.340]  altitude determines altitude
[00:00:33.340 --> 00:00:35.640]  這句說話可以理解成
[00:00:35.640 --> 00:00:38.040]  決定你人生高度的
[00:00:38.040 --> 00:00:39.720]  不是你的才能
[00:00:39.720 --> 00:00:41.520]  而是你的態度
[00:00:41.520 --> 00:00:43.180]  it's your attitude
[00:00:43.180 --> 00:00:45.420]  not your aptitude
[00:00:45.420 --> 00:00:48.520]  that will determine your altitude
[00:00:48.520 --> 00:00:50.120]  的縮短版
[00:00:50.120 --> 00:00:54.040]  這句說話是出自於已故美國的作家
[00:00:54.040 --> 00:00:55.920]  勵志、演說家
[00:00:55.920 --> 00:01:02.720]  和營銷員Ziegler的一句短句
[00:01:02.720 --> 00:01:04.920]  他用了很多的勵志短句
[00:01:04.920 --> 00:01:08.720]  去鼓勵營銷員和企業家
[00:01:08.720 --> 00:01:11.220]  去追求一個成功的人生
[00:01:11.220 --> 00:01:14.520]  鼓掌成功的關鍵其實很簡單
[00:01:14.520 --> 00:01:17.120]  就是要有積極的心態
[00:01:17.120 --> 00:01:20.920]  無可厚非這句說話是有它的道理
[00:01:20.920 --> 00:01:25.320]  但是它強調的是個人的成功與得失
[00:01:25.320 --> 00:01:28.920]  相反地我們今天的新約書信
[00:01:28.920 --> 00:01:31.920]  《哥羅西書》三章一至十一節
[00:01:31.920 --> 00:01:34.320]  以及其後的十二至十五節
[00:01:34.320 --> 00:01:38.220]  所提倡的就是一種很不同的人生態度
[00:01:38.220 --> 00:01:40.620]  經文強調的是
[00:01:40.620 --> 00:01:45.720]  個人愛在行為和內心素質的更新
[00:01:45.720 --> 00:01:50.120]  決定群體關係的轉變
[00:01:50.120 --> 00:01:51.820]  這種的轉化
[00:01:51.820 --> 00:01:57.720]  包括了是個人生命和群體關係的轉化的層面
[00:01:57.720 --> 00:02:00.220]  經文重視的並不是
[00:02:00.220 --> 00:02:04.820]  一個以個人的成就和得失為目的
[00:02:04.820 --> 00:02:08.620]  而是怎樣有個人內在素質的更新
[00:02:08.620 --> 00:02:13.820]  達致一個更包容、更有愛、更平等的群體
