
[00:00:00.000 --> 00:00:02.000]  教會最重要兩個節期
[00:00:02.000 --> 00:00:04.000]  一個是聖誕節 一個是復活節
[00:00:04.000 --> 00:00:06.000]  誰的節日較重要?
[00:00:06.000 --> 00:00:11.000]  但假期較少
[00:00:11.000 --> 00:00:15.000]  復活節較重要
[00:00:15.000 --> 00:00:19.000]  因為復活節是慶祝主耶穌基督的德性
[00:00:19.000 --> 00:00:21.000]  我們怎樣慶祝好呢?
[00:00:21.000 --> 00:00:23.000]  我們試過勁大
[00:00:23.000 --> 00:00:27.000]  不如我們試試用小朋友的方式去慶祝
[00:00:27.000 --> 00:00:29.000]  如果旁邊有人 包括你的小朋友
[00:00:29.000 --> 00:00:31.000]  你便說Give me five
[00:00:31.000 --> 00:00:33.000]  跟他說 主耶穌復活了
[00:00:33.000 --> 00:00:37.000]  Give me five, give me ten
[00:00:37.000 --> 00:00:39.000]  給小朋友
[00:00:39.000 --> 00:00:49.000]  其實不是單單十點半在這裡
[00:00:49.000 --> 00:00:52.000]  全世界的教會今天
[00:00:52.000 --> 00:00:55.000]  都一同敬拜慶祝主耶穌基督的復活
[00:00:55.000 --> 00:01:02.000]  歷代教會將敬拜放在星期日
[00:01:02.000 --> 00:01:03.000]  七天的第一天
[00:01:03.000 --> 00:01:07.000]  是因為主耶穌基督在七天的第一天復活
[00:01:07.000 --> 00:01:11.000]  我們試試用我們的想像力
[00:01:11.000 --> 00:01:13.000]  因為時差的問題
[00:01:13.000 --> 00:01:17.000]  我們十點半在這裡一同敬拜
[00:01:17.000 --> 00:01:18.000]  對不對?
[00:01:18.000 --> 00:01:20.000]  之前一個小時
[00:01:20.000 --> 00:01:23.000]  我先計算地方的名字
[00:01:23.000 --> 00:01:25.000]  之前一個小時
[00:01:25.000 --> 00:01:27.000]  可能剛剛柬埔寨的弟兄姊妹
[00:01:27.000 --> 00:01:29.000]  剛剛敬拜完
[00:01:29.000 --> 00:01:31.000]  再之前一個小時
[00:01:31.000 --> 00:01:33.000]  可能孟加拉的信徒
[00:01:33.000 --> 00:01:34.000]  敬拜完
[00:01:34.000 --> 00:01:36.000]  再之前一個小時
[00:01:36.000 --> 00:01:37.000]  巴基斯坦的信徒
[00:01:37.000 --> 00:01:38.000]  敬拜完
[00:01:38.000 --> 00:01:40.000]  再之前一個小時
[00:01:40.000 --> 00:01:41.000]  阿聯酋的信徒
[00:01:41.000 --> 00:01:43.000]  再之前一個小時
[00:01:43.000 --> 00:01:45.000]  土耳其的信徒
