
[00:00:00.000 --> 00:00:03.280]  我們做一個很簡單的祈禱
[00:00:03.280 --> 00:00:06.000]  上主求禰的聖言
[00:00:06.000 --> 00:00:08.440]  好像榮光一樣
[00:00:08.440 --> 00:00:10.280]  光照我們
[00:00:10.280 --> 00:00:12.360]  讓他們口中的豔麗
[00:00:12.360 --> 00:00:14.120]  心中的豔麗
[00:00:14.120 --> 00:00:17.480]  在你面前蒙你月亮
[00:00:17.480 --> 00:00:19.360]  阿們
[00:00:19.360 --> 00:00:22.760]  高清電視出現之後
[00:00:22.760 --> 00:00:25.400]  令到那些藝員
[00:00:25.400 --> 00:00:27.800]  電視的主播
[00:00:27.800 --> 00:00:29.560]  有很大的壓力
[00:00:29.560 --> 00:00:31.000]  是噩夢來的
[00:00:31.000 --> 00:00:34.360]  因爲念想的風光一覽無遺
[00:00:34.360 --> 00:00:36.520]  但是手機的美照
[00:00:36.520 --> 00:00:37.640]  P圖呢
[00:00:37.640 --> 00:00:40.400]  令到大家得到安慰
[00:00:40.400 --> 00:00:43.560]  前一段時間我和人合照的那幅相
[00:00:43.560 --> 00:00:45.680]  給我的時候一看
[00:00:45.680 --> 00:00:47.800]  是我來的嗎?
[00:00:47.800 --> 00:00:49.360]  不像啊
[00:00:49.360 --> 00:00:51.040]  這個美圖的效果
[00:00:51.040 --> 00:00:55.120]  但是肯定不是很像
[00:00:55.120 --> 00:00:59.240]  這個將我transfiguration
[00:00:59.240 --> 00:01:01.280]  將我變了像
[00:01:01.280 --> 00:01:05.800]  今天是顯現期的最後一個主日
[00:01:05.800 --> 00:01:08.600]  教會傳統稱這個主日爲
[00:01:08.600 --> 00:01:09.800]  顯現
[00:01:09.800 --> 00:01:12.080]  就是登山變像主日
[00:01:12.080 --> 00:01:15.680]  但我認爲這個翻譯最好就是
[00:01:15.680 --> 00:01:18.640]  顯容主日
[00:01:18.640 --> 00:01:21.040]  耶穌基督在山上
[00:01:21.040 --> 00:01:22.960]  不是易容
[00:01:22.960 --> 00:01:25.000]  是顯容
[00:01:25.000 --> 00:01:27.720]  祂在地上生活是易容
[00:01:27.720 --> 00:01:30.360]  取代人的樣式
[00:01:30.360 --> 00:01:31.800]  成木匠之子
[00:01:31.800 --> 00:01:34.120]  但在山上剛纔讀的聖經
[00:01:34.120 --> 00:01:36.440]  是顯出本上
[00:01:36.440 --> 00:01:39.280]  是上帝的榮光
[00:01:39.280 --> 00:01:42.000]  我們很快下個禮拜三
[00:01:42.000 --> 00:01:43.920]  有一個叫聖灰日
[00:01:43.920 --> 00:01:46.160]  就開始御府期
[00:01:46.160 --> 00:01:48.960]  御府期將去年
[00:01:48.960 --> 00:01:50.880]  忠知主日
[00:01:50.880 --> 00:01:53.000]  那些忠知燒了
[00:01:53.000 --> 00:01:54.640]  成爲灰燼
[00:01:54.640 --> 00:01:58.120]  然後就塗在額上
[00:01:58.120 --> 00:02:00.520]  你來自塵土
[00:02:00.520 --> 00:02:02.880]  你要歸回塵土
[00:02:02.880 --> 00:02:05.160]  你要遠離罪惡
[00:02:05.160 --> 00:02:07.000]  跟隨基督
[00:02:07.000 --> 00:02:09.480]  聖灰日
[00:02:09.480 --> 00:02:10.720]  御府期的開始
