
[00:00:00.000 --> 00:00:02.400]  好,讓我們一起聽神的道理
[00:00:02.400 --> 00:00:04.600]  祭仙讓我們同心禱告
[00:00:04.600 --> 00:00:06.000]  完全地負神懇謝你
[00:00:06.000 --> 00:00:08.600]  讓我們今天能夠再次打開你的說話
[00:00:08.600 --> 00:00:11.800]  能夠一起來到研讀當中的教訓
[00:00:11.800 --> 00:00:13.000]  我們很求你
[00:00:13.000 --> 00:00:16.800]  讓你的靈在我們當中再次載重
[00:00:16.800 --> 00:00:18.000]  把你的道理
[00:00:18.000 --> 00:00:21.400]  好好地在我們裏面生根建造
[00:00:21.400 --> 00:00:23.400]  好使我們能夠學習到
[00:00:23.400 --> 00:00:25.000]  上帝你的說話
[00:00:25.000 --> 00:00:27.800]  並不是單純只在腦海裏面的
[00:00:27.800 --> 00:00:30.600]  並不是單在書卷上面
[00:00:30.600 --> 00:00:33.600]  印在聖經的樣品上面
[00:00:33.600 --> 00:00:34.800]  使我們實實在在
[00:00:34.800 --> 00:00:37.800]  能夠活在我們生活每一個環節
[00:00:37.800 --> 00:00:40.600]  我們很求你再次幫助我們
[00:00:40.600 --> 00:00:42.000]  使你的道理
[00:00:42.000 --> 00:00:46.200]  活活地在我們生命當中顯現出來
[00:00:46.200 --> 00:00:47.200]  我們真的最感謝你
[00:00:47.200 --> 00:00:49.800]  讓我們今天能夠再次打開你的說話
[00:00:49.800 --> 00:00:52.400]  一起去細心研讀
[00:00:52.400 --> 00:00:55.000]  求你的靈再次在我們裏面
[00:00:55.000 --> 00:00:58.400]  幫助我們把你的真理載重起上來
[00:00:58.400 --> 00:00:59.800]  從而使你的道
[00:00:59.800 --> 00:01:02.400]  不單只是在頭腦當中
[00:01:02.400 --> 00:01:04.200]  不是單單在書卷上面
[00:01:04.200 --> 00:01:06.200]  印刷品而打出來
[00:01:06.200 --> 00:01:07.200]  而是活活地
[00:01:07.200 --> 00:01:10.200]  在我們生活每一個環節裏面活出來
[00:01:10.200 --> 00:01:12.800]  所以很求主你再次幫助我們
[00:01:12.800 --> 00:01:14.400]  讓我們今天的敬拜
[00:01:14.400 --> 00:01:15.400]  我們的學習
[00:01:15.400 --> 00:01:16.800]  都能夠化成爲
[00:01:16.800 --> 00:01:19.600]  真是有行動的見證
[00:01:19.600 --> 00:01:21.000]  我們禱告感恩
[00:01:21.000 --> 00:01:23.000]  封靠主耶穌的名字
[00:01:23.000 --> 00:01:25.200]  Amen
[00:01:25.200 --> 00:01:27.000]  很多人說我是個好人
[00:01:27.000 --> 00:01:28.600]  很多人說我是個好人
[00:01:28.600 --> 00:01:30.600]  我是個好人呢
[00:01:30.600 --> 00:01:32.400]  我說好人呢
[00:01:32.400 --> 00:01:36.000]  啊,我爲什麼說了普通話
[00:01:36.000 --> 00:01:37.800]  整個都亂了
[00:01:37.800 --> 00:01:39.400]  有時有些人就常常說
[00:01:39.400 --> 00:01:41.400]  黃牧師你個人都挺好的
[00:01:41.400 --> 00:01:43.400]  很多時候人都對我說
[00:01:43.400 --> 00:01:45.000]  黃牧師你的人不錯
[00:01:45.000 --> 00:01:46.600]  你懂事又不少
[00:01:46.600 --> 00:01:48.400]  你懂的東西也不少
[00:01:48.400 --> 00:01:50.600]  天文地理你都懂一點點
[00:01:50.600 --> 00:01:52.400]  天文地理也懂一點點
[00:01:52.400 --> 00:01:53.800]  有時可以扮下代表
[00:01:53.800 --> 00:01:56.400]  有時候可以作爲一個代表了
[00:01:56.400 --> 00:01:58.400]  啊,你真是大好人
[00:01:58.400 --> 00:02:00.000]  有時只需要找你
[00:02:00.000 --> 00:02:01.400]  你就一定幫我
[00:02:01.400 --> 00:02:02.800]  你真是一個大好人
[00:02:02.800 --> 00:02:03.800]  有事請找你
[00:02:03.800 --> 00:02:05.000]  你一定會幫助我的
[00:02:05.000 --> 00:02:06.600]  沒錯,這個世界的人
[00:02:06.600 --> 00:02:07.800]  當你做一個好人
[00:02:07.800 --> 00:02:09.600]  很多人都很喜歡的
[00:02:09.600 --> 00:02:11.400]  沒錯,當你要做一個好人
[00:02:11.400 --> 00:02:13.800]  在世上有很多人都很喜歡
[00:02:13.800 --> 00:02:15.400]  但是我很誠實地跟他說
[00:02:15.400 --> 00:02:16.600]  但是我很誠實地跟他說
[00:02:16.600 --> 00:02:17.800]  我不想做好人
[00:02:17.800 --> 00:02:19.400]  我說我不願意做好人
[00:02:19.400 --> 00:02:21.400]  因爲聖經不是要我們去做好人
[00:02:21.400 --> 00:02:25.400]  因爲聖經不是要我們去做好人
[00:02:25.400 --> 00:02:27.600]  好人只需要去籠絡人家的心
[00:02:27.600 --> 00:02:29.200]  收買人家就可以做得到
[00:02:29.200 --> 00:02:31.800]  做一個好人只要你籠絡人的心
[00:02:31.800 --> 00:02:33.200]  收買他的心就可以了
[00:02:33.200 --> 00:02:35.200]  在聖經裏面我學會一樣東西
[00:02:35.200 --> 00:02:37.000]  在聖經裏面我學會了一樣東西
[00:02:37.000 --> 00:02:40.400]  如果我是一個重新得救蒙恩的罪人的話
[00:02:40.400 --> 00:02:44.200]  假如我是一個蒙恩得救的重生的人
[00:02:44.200 --> 00:02:45.000]  罪人的話
[00:02:45.000 --> 00:02:47.800]  我應該是成爲一個有智慧
[00:02:47.800 --> 00:02:50.000]  也都能夠明白事理的人
[00:02:50.000 --> 00:02:52.000]  我應該是成爲一個有智慧
[00:02:52.000 --> 00:02:53.600]  也都能夠明白事理的人
[00:02:53.600 --> 00:02:56.600]  因爲這個正正是聖經裏面所指出的
[00:02:56.600 --> 00:02:59.600]  因爲這個正正是聖經裏面所指出的
[00:02:59.600 --> 00:03:00.400]  問題就是
[00:03:00.400 --> 00:03:02.600]  怎樣才能夠成爲一個有智慧
[00:03:02.600 --> 00:03:04.600]  和能夠明白事理的人呢
[00:03:04.600 --> 00:03:06.800]  問題是怎樣才能夠成爲一個有智慧
[00:03:06.800 --> 00:03:08.200]  又明白事理的人
[00:03:08.200 --> 00:03:10.200]  是不是你只要有很高的學識
[00:03:10.200 --> 00:03:11.800]  學歷就可以做得到的了嗎
[00:03:11.800 --> 00:03:14.000]  是否你有一個很高的學位
[00:03:14.000 --> 00:03:15.400]  學歷就可以做得到呢
[00:03:15.400 --> 00:03:16.400]  是不是你懂很多東西
[00:03:16.400 --> 00:03:17.000]  很多技能
[00:03:17.000 --> 00:03:18.600]  每樣東西你都能手的時候
[00:03:18.600 --> 00:03:20.800]  你就一定是一個有智慧
[00:03:20.800 --> 00:03:22.800]  和明白事理的人呢
[00:03:22.800 --> 00:03:24.600]  那是否你有很多的見識
[00:03:24.600 --> 00:03:26.000]  而且你也能手的
[00:03:26.000 --> 00:03:29.000]  你就能夠成爲一個很有智慧的人呢
[00:03:29.000 --> 00:03:31.000]  既然要成爲一個有智慧
[00:03:31.000 --> 00:03:33.000]  和明白事理的人是這麼重要
[00:03:33.000 --> 00:03:34.000]  那我們就今天一起
[00:03:34.000 --> 00:03:36.200]  不如從聖經裏面去學會
[00:03:36.200 --> 00:03:38.400]  怎樣做一個屬靈的人
[00:03:38.400 --> 00:03:41.600]  是有智慧又明白事理
[00:03:41.600 --> 00:03:43.000]  既然有智慧
[00:03:43.000 --> 00:03:45.400]  明白事理是這樣的重要
[00:03:45.400 --> 00:03:48.000]  今天我們就從聖經裏面去看
