
[00:00:00.000 --> 00:00:05.120]  網絡上的頂尖媒體早晨
[00:00:05.120 --> 00:00:08.280]  不知道大家最近看新聞
[00:00:08.280 --> 00:00:12.240]  有沒有看到一個好像詹士邦那些間諜片
[00:00:12.240 --> 00:00:17.780]  聽說最近有架飛機在空中被人截停了 逼降
[00:00:17.780 --> 00:00:20.520]  好像看電影那樣
[00:00:20.520 --> 00:00:23.340]  接著白俄羅斯和俄羅斯出來
[00:00:23.340 --> 00:00:30.920]  抗議歐洲和美國要投訴 反對他們
[00:00:30.920 --> 00:00:36.220]  因為當年美國在奧地利逼降玻利維亞總統的專機
[00:00:36.220 --> 00:00:40.520]  接著說因為以前你做過 所以我現在做都可以
[00:00:40.520 --> 00:00:43.560]  我想說現在世界
[00:00:43.560 --> 00:00:48.160]  不只是我們普通人與人
[00:00:48.160 --> 00:00:53.420]  夥計與老闆 或者不同的機構
[00:00:53.420 --> 00:00:55.900]  不同的單位 連各與各
[00:00:55.900 --> 00:01:00.680]  去到很高層次都不斷有很多的爭拗
[00:01:00.680 --> 00:01:03.980]  很多不同的意見
[00:01:03.980 --> 00:01:07.720]  有沒有覺得世界很亂 很特別
[00:01:07.720 --> 00:01:09.600]  其中一個感受就是
[00:01:09.600 --> 00:01:13.200]  現在你發覺原來世界很多地方
[00:01:13.200 --> 00:01:16.740]  大家都好像講道理 或者大家都講道理
[00:01:16.740 --> 00:01:19.420]  但是講道理講不通的
[00:01:19.420 --> 00:01:24.080]  我就想說一個在我們屬靈成長裡面很重要的東西
[00:01:24.080 --> 00:01:28.180]  有些東西就算在道理上你想得通了
[00:01:28.180 --> 00:01:30.580]  但是從人的角度你都知道
[00:01:30.580 --> 00:01:33.500]  我們人這麼有限的眼界
[00:01:33.500 --> 00:01:35.220]  我們看到多麼通
[00:01:35.220 --> 00:01:41.180]  都是在人的視野範圍 在人的想像範圍
[00:01:41.180 --> 00:01:44.640]  我們慢慢就發覺我們人根本是很有限
[00:01:44.640 --> 00:01:47.060]  我們謙卑一點看
[00:01:47.060 --> 00:01:51.600]  就算我們真的通了 在理性 在頭腦上
[00:01:51.600 --> 00:01:53.940]  我們發現一個很悲哀的事情就是
[00:01:53.940 --> 00:01:58.060]  你想通了的東西 你都未必能改變
[00:01:58.060 --> 00:02:04.300]  就算你完全明白什麼是真實 真相 真理
[00:02:04.300 --> 00:02:08.740]  那個難處就是 只是搞定了理性 通了
[00:02:08.740 --> 00:02:12.500]  但是我們人的問題有時候不是道理 不是理性
[00:02:12.500 --> 00:02:14.940]  不是你聰不聰明
[00:02:14.940 --> 00:02:18.300]  而是我們在靈性上有問題
[00:02:18.300 --> 00:02:22.380]  崔鼎之妹 我講這麼多就是想說
[00:02:22.380 --> 00:02:25.480]  下個禮拜有個祈禱會
[00:02:25.480 --> 00:02:27.280]  但重點不是有個祈禱會
[00:02:27.280 --> 00:02:31.620]  是你有沒有祈禱敬拜倚靠神的心
[00:02:31.620 --> 00:02:34.800]  如果你讀多一點書 或者上多一點YouTube
[00:02:34.800 --> 00:02:36.600]  看多一點資訊
[00:02:36.600 --> 00:02:41.900]  你以為你見識廣一點 周遊列國
[00:02:41.900 --> 00:02:47.000]  你多拿幾個博士 或者學歷高一點
[00:02:47.000 --> 00:02:51.280]  你知道為什麼那些聰明人 那些有錢人會自殺嗎?
[00:02:51.280 --> 00:02:54.440]  越聰明越有能力的人發覺就是
[00:02:54.440 --> 00:02:56.780]  我讓你聰明到盡
[00:02:56.780 --> 00:03:00.200]  你發覺有很多東西你都改變不了
[00:03:00.200 --> 00:03:01.380]  一個很簡單的例子就是
[00:03:01.380 --> 00:03:07.480]  多聰明的人都不敢說自己會教兒子 是吧?
[00:03:07.480 --> 00:03:12.980]  我不開名舉例 我幾乎想開名
[00:03:12.980 --> 00:03:17.680]  那個很聰明 教兒子都不行
[00:03:17.680 --> 00:03:20.080]  但不用開名都知道
[00:03:20.080 --> 00:03:23.780]  為什麼你這麼聰明都教不成自己的子女
[00:03:23.780 --> 00:03:27.380]  都不是你聰明不聰明 是子女自己的選擇
[00:03:27.380 --> 00:03:29.480]  我想說世界有很多東西
[00:03:29.480 --> 00:03:34.280]  我們要回去看 靈性的問題比
[00:03:34.280 --> 00:03:36.780]  聰不聰明 理不理性更重要
[00:03:36.780 --> 00:03:39.580]  今天有時候人們灰心就是
[00:03:39.580 --> 00:03:42.780]  道理很清楚 一清二楚
[00:03:42.780 --> 00:03:47.380]  但我們卻發現我們人是無能為力
[00:03:47.380 --> 00:03:50.680]  為什麼這麼多戰爭衝突
[00:03:50.680 --> 00:03:52.380]  大家都知道是勞民傷財
[00:03:52.380 --> 00:03:55.280]  為什麼這麼多東西不值得這樣呢?
[00:03:55.280 --> 00:03:59.680]  但偏偏就是這樣 很惋惜
[00:03:59.680 --> 00:04:02.980]  所以開始的時候 我都想一起有禱告
[00:04:02.980 --> 00:04:06.480]  你不只是要預備好你的頭腦
[00:04:06.480 --> 00:04:09.580]  你的理性更加要預備好你的心靈
[00:04:09.580 --> 00:04:12.980]  你的靈性有沒有親近主
[00:04:12.980 --> 00:04:17.380]  有沒有被更新 我們一起禱告
[00:04:17.380 --> 00:04:21.380]  天主上祈求你幫我們更新我們的靈性
[00:04:21.380 --> 00:04:24.580]  讓我們知道我們越有智慧
[00:04:24.580 --> 00:04:28.880]  越加增知識 卻是加增受煩和憂傷
[00:04:28.880 --> 00:04:32.180]  我們越明得多 越知得多
[00:04:32.180 --> 00:04:35.380]  我們卻知道我們人是更加渺小
[00:04:35.380 --> 00:04:38.480]  更加無能無助
[00:04:38.480 --> 00:04:42.780]  主有時候我們知得少 都是你的恩典
