
[00:00:00.000 --> 00:00:03.360]  各位弟兄姊妹我們今天是第十二月的第一個主日
[00:00:03.360 --> 00:00:08.200]  我們會真的從聖經開始去繼續看聖誕節的訊息
[00:00:08.200 --> 00:00:12.320]  同一時間我們都是一同在看《薩姆爾記》
[00:00:12.320 --> 00:00:16.000]  不知不覺今天已經是第二十四講
[00:00:16.000 --> 00:00:18.480]  關於《薩姆爾記》上和下
[00:00:18.480 --> 00:00:21.560]  是講到如何我們做一個合神心意的僕人
[00:00:21.560 --> 00:00:24.160]  剛剛過完感恩節
[00:00:24.160 --> 00:00:25.520]  感恩節期間當晚
[00:00:25.520 --> 00:00:26.560]  不是 星期五晚
[00:00:26.560 --> 00:00:29.160]  那晚我回來教會跟青年人吃飯
[00:00:29.160 --> 00:00:32.560]  但是早上我們就在那裡預備燈飾
[00:00:32.560 --> 00:00:35.560]  因為我們每逢過了感恩節那一天
[00:00:35.560 --> 00:00:38.920]  我們就開始簡單的佈置聖誕節
[00:00:38.920 --> 00:00:41.400]  我們的鄰居就佈置得很漂亮
[00:00:41.400 --> 00:00:43.200]  我們家裡沒那麼漂亮
[00:00:43.200 --> 00:00:46.920]  就是很漂亮的上面
[00:00:46.920 --> 00:00:48.240]  在黑暗裡面
[00:00:48.240 --> 00:00:51.640]  這些燈光是照亮黑暗的事情
[00:00:51.640 --> 00:00:53.400]  黑暗的世代裡面
[00:00:53.400 --> 00:00:59.560]  我們都看到這個變成一個傳統的習慣
[00:00:59.560 --> 00:01:00.080]  一個家庭
[00:01:00.080 --> 00:01:03.160]  每個家庭有自己的習慣
[00:01:03.160 --> 00:01:06.120]  如何跟家人一起過聖誕節
[00:01:06.120 --> 00:01:09.560]  我們的家裡都是有一點燈飾佈置的
[00:01:09.560 --> 00:01:12.640]  那天的天氣都挺暖
[00:01:12.640 --> 00:01:14.560]  所以神對我很好
[00:01:14.560 --> 00:01:16.640]  掛一些燈飾上去都不會太冷
[00:01:16.640 --> 00:01:17.800]  但是在
[00:01:17.800 --> 00:01:20.960]  你會看到去烏克蘭
[00:01:20.960 --> 00:01:22.920]  最近有一張相片
[00:01:22.920 --> 00:01:24.240]  在網上
[00:01:24.240 --> 00:01:28.720]  這是AP Associated Press 腦頭社
[00:01:28.720 --> 00:01:30.800]  一位記者所拍的
[00:01:30.800 --> 00:01:32.440]  這裡就是黑耳蟲
[00:01:32.440 --> 00:01:35.800]  在烏克蘭的南部的地方
[00:01:35.800 --> 00:01:38.560]  它那裡有很多的炮火攻擊
[00:01:38.560 --> 00:01:40.880]  雖然地方回到烏克蘭
[00:01:40.880 --> 00:01:45.960]  但是被俄羅斯的飛彈打到的發電站受到影響
[00:01:45.960 --> 00:01:52.560]  這幫市民就去到市中心的一個叉電站
[00:01:52.560 --> 00:01:54.760]  因為它有一個中央的叉電站
[00:01:54.760 --> 00:01:56.240]  去充充他們的手機
[00:01:56.240 --> 00:02:00.120]  充充他們各樣需要充電的電子用品
[00:02:00.120 --> 00:02:01.440]  真的我們看到
[00:02:01.440 --> 00:02:06.600]  他們在等待政局的平定下來
[00:02:06.600 --> 00:02:09.360]  看到這個地方這個城市
[00:02:09.360 --> 00:02:10.640]  本來是烏克蘭
[00:02:10.640 --> 00:02:11.640]  轉了去俄羅斯
[00:02:11.640 --> 00:02:13.120]  然後又回到烏克蘭
[00:02:13.120 --> 00:02:15.640]  真是一樣米養百樣人
[00:02:15.640 --> 00:02:17.760]  雖然我們在同樣是
[00:02:17.760 --> 00:02:20.560]  一直這樣是神創造了我們
[00:02:20.560 --> 00:02:23.480]  每個人都是神的兒女
[00:02:23.480 --> 00:02:25.960]  神所創造
[00:02:25.960 --> 00:02:27.960]  就算在美國裡面
[00:02:27.960 --> 00:02:28.880]  在教會裡面
[00:02:28.880 --> 00:02:31.240]  都有不同的人的背景
