
[00:00:00.000 --> 00:00:03.720]  在八十年代我仍然做電腦行業的時候
[00:00:03.720 --> 00:00:08.520]  有一次公司派了我去意大利一個小鎮接受訓練
[00:00:08.520 --> 00:00:10.560]  我記得我走在街上的時候
[00:00:10.560 --> 00:00:14.440]  有一班意大利的年輕人走過來
[00:00:14.440 --> 00:00:16.000]  說要跟我拍照
[00:00:16.000 --> 00:00:19.480]  我大概都不是因為我是英俊
[00:00:19.480 --> 00:00:21.520]  我相信最主要的原因就是因為
[00:00:21.520 --> 00:00:24.160]  我跟他們一起看已經知道我不是意大利人
[00:00:24.160 --> 00:00:27.840]  一看就知道我是一個從外面來的人
[00:00:27.840 --> 00:00:30.520]  因為我的樣貌跟他們很不同
[00:00:30.520 --> 00:00:32.960]  我相信就好像西方人
[00:00:32.960 --> 00:00:34.640]  就是以前剛剛去到中國的時候
[00:00:34.640 --> 00:00:35.640]  哇! 中華人民共和國見到他
[00:00:35.640 --> 00:00:37.240]  哇! 紅鬚綠眼
[00:00:37.240 --> 00:00:39.280]  跟中華人民很不同
[00:00:39.280 --> 00:00:42.800]  今天就是在今天的經文裡面
[00:00:42.800 --> 00:00:45.520]  使徒約翰在這個異象裡面
[00:00:45.520 --> 00:00:47.840]  見到不單止是紅鬚綠眼
[00:00:47.840 --> 00:00:49.720]  使徒約翰看到的
[00:00:49.720 --> 00:00:55.120]  明顯那個外貌的形容是來自另外一個世界
[00:00:55.120 --> 00:00:56.960]  好像人 但又不是人
[00:00:56.960 --> 00:01:03.280]  在這裡 約翰就跟他說
[00:01:03.280 --> 00:01:06.920]  這個人像是人子一樣
[00:01:06.920 --> 00:01:12.720]  人子不單止是出現在這個異象裡面
[00:01:12.720 --> 00:01:16.560]  這個人子甚至跟約翰去講說話
[00:01:16.560 --> 00:01:21.960]  而約翰所聽到從人子出來的說話
[00:01:21.960 --> 00:01:27.280]  是帶來他自己和那時候的信徒
[00:01:27.280 --> 00:01:30.120]  很大的安慰和希望
[00:01:30.120 --> 00:01:31.960]  不單止是對當時的人
[00:01:31.960 --> 00:01:34.800]  我相信對歷世歷代所有的人
[00:01:34.800 --> 00:01:39.240]  都是帶來希望和安慰
[00:01:39.240 --> 00:01:42.160]  我們一同通過今天的經文來看看
[00:01:42.160 --> 00:01:43.960]  這一段經文
[00:01:43.960 --> 00:01:47.320]  這個人子所帶來的說話
[00:01:47.320 --> 00:01:50.440]  是怎樣來理解的
[00:01:50.440 --> 00:01:52.320]  如果我們看第八節的時候
[00:01:52.320 --> 00:01:55.280]  第八節那裡有一個宣稱
[00:01:55.280 --> 00:01:57.360]  這個宣稱就是講到
[00:01:57.360 --> 00:01:59.880]  我是阿拉法 我是俄媒格
[00:01:59.880 --> 00:02:04.760]  是色在金在 以後永在的全能者
[00:02:04.760 --> 00:02:06.680]  我們來理解 什麼叫阿拉法呢
[00:02:06.680 --> 00:02:10.880]  阿拉法就是希臘文字母裡面的第一個字母
[00:02:10.880 --> 00:02:16.640]  而這個俄媒格就是最後的一個字母
[00:02:16.640 --> 00:02:18.160]  按字面的解釋
[00:02:18.160 --> 00:02:21.520]  很明顯就是指我是開始 也是末後
[00:02:21.520 --> 00:02:24.880]  我是首先 也是終結
[00:02:24.880 --> 00:02:27.160]  那是什麼意思呢
[00:02:27.160 --> 00:02:29.240]  跟我們有什麼關係呢
[00:02:29.240 --> 00:02:31.360]  很多時候我跟大家說
[00:02:31.360 --> 00:02:33.800]  當我們理解某一些聖經的經文的時候
[00:02:33.800 --> 00:02:38.280]  我們需要按整體聖經的教導去明白
[00:02:38.280 --> 00:02:39.320]  如果大家記得的話
[00:02:39.320 --> 00:02:41.520]  上星期主任牧師跟我們說
[00:02:41.520 --> 00:02:45.200]  啟示錄是貫穿著整個舊約和新約
[00:02:45.200 --> 00:02:48.320]  貫穿著過去 現在 與 將來
[00:02:48.320 --> 00:02:49.600]  而在這個約翰福音裡面
[00:02:49.600 --> 00:02:51.360]  大家不知道記不記得
[00:02:51.360 --> 00:02:56.080]  耶穌基督曾經做過七次「我是」的宣稱
[00:02:56.080 --> 00:02:57.760]  如果大家記得的話
[00:02:57.760 --> 00:03:00.280]  這七個「我是」的宣稱包括什麼
[00:03:00.280 --> 00:03:02.640]  包括我是生命的糧
[00:03:02.640 --> 00:03:04.560]  世界的光 陽的門
[00:03:04.560 --> 00:03:06.000]  好牧人 復活
[00:03:06.000 --> 00:03:07.320]  道路 真理 生命
[00:03:07.320 --> 00:03:10.400]  以及我是真的葡萄樹
[00:03:10.400 --> 00:03:13.840]  在這麼多個「我是」的宣稱裡面
[00:03:13.840 --> 00:03:17.880]  其實也彰顯了耶穌基督的屬性
[00:03:17.880 --> 00:03:20.720]  在這幾個宣稱裡面告訴我們
[00:03:20.720 --> 00:03:25.120]  祂與世界 與人的關係
[00:03:25.120 --> 00:03:29.160]  而事實上在聖經其他的地方
[00:03:29.160 --> 00:03:34.040]  也都記載了兩個「我是」的宣稱
