
[00:00:00.000 --> 00:00:03.000]  歡迎大家來到我們的周律崇拜
[00:00:03.000 --> 00:00:07.000]  今年年初我們開始了一個新的講道系列
[00:00:07.000 --> 00:00:09.000]  叫做未來報告
[00:00:09.000 --> 00:00:14.000]  系列的內容是舊的聖經裡面十二位小先知
[00:00:14.000 --> 00:00:19.000]  今天我們會繼續思想十二位小先知裡面的第七位
[00:00:19.000 --> 00:00:21.000]  哈巴谷先知
[00:00:21.000 --> 00:00:22.000]  從字面來講
[00:00:22.000 --> 00:00:29.000]  哈巴谷所宣講的是上帝對南國猶大和巴比倫國的審判
[00:00:29.000 --> 00:00:33.000]  不過他最終極的信息不是審判
[00:00:33.000 --> 00:00:36.000]  而是要上帝的子民迴轉悖改
[00:00:36.000 --> 00:00:38.000]  因信得生
[00:00:38.000 --> 00:00:43.000]  哈巴谷書第二章第四節整本書的核心point
[00:00:43.000 --> 00:00:45.000]  惡人至高至大
[00:00:45.000 --> 00:00:46.000]  心不正直
[00:00:46.000 --> 00:00:50.000]  為義人必因他的信得生
[00:00:50.000 --> 00:00:52.000]  正如我之前所講
[00:00:52.000 --> 00:00:54.000]  有猶太拉比雙信
[00:00:54.000 --> 00:00:58.000]  這節聖經是整本舊約的總和和要旨
[00:00:58.000 --> 00:01:02.000]  也都是進入上帝永恆天國的約時
[00:01:02.000 --> 00:01:03.000]  有趣的是
[00:01:03.000 --> 00:01:06.000]  因信得生這個詞組
[00:01:06.000 --> 00:01:10.000]  有三個不同的翻譯的可能性
[00:01:10.000 --> 00:01:12.000]  第一個翻譯是
[00:01:12.000 --> 00:01:15.000]  為義人必因他的信實
[00:01:15.000 --> 00:01:17.000]  他的忠誠得生
[00:01:17.000 --> 00:01:18.000]  第二個翻譯是
[00:01:18.000 --> 00:01:22.000]  為義人必因他的信靠得生
[00:01:22.000 --> 00:01:24.000]  第三個翻譯是
[00:01:24.000 --> 00:01:28.000]  為義人必因我的信實
[00:01:28.000 --> 00:01:31.000]  上帝的信實而得生
[00:01:31.000 --> 00:01:32.000]  如果你問我的話
[00:01:32.000 --> 00:01:33.000]  我會告訴你
[00:01:33.000 --> 00:01:38.000]  第一個翻譯應該是最正確恰當的翻譯
[00:01:38.000 --> 00:01:41.000]  不過第二和第三的翻譯都沒有錯
[00:01:41.000 --> 00:01:45.000]  他們代表了在背後的神學的思想
[00:01:45.000 --> 00:01:46.000]  假設
[00:01:46.000 --> 00:01:47.000]  和邏輯
[00:01:47.000 --> 00:01:51.000]  整個故事整個流程應該是這樣
[00:01:51.000 --> 00:01:55.000]  由A到B到C
[00:01:55.000 --> 00:01:58.000]  所有一切的救恩出於上帝的信實
[00:01:58.000 --> 00:02:02.000]  如果耶和華沒有拯救的認許
