
[00:00:00.000 --> 00:00:05.000]  今天我們2018年第一個逐日的聚會
[00:00:05.000 --> 00:00:07.000]  Hallelujah 是的
[00:00:07.000 --> 00:00:10.000]  我們去年的意象 教會的意象是
[00:00:10.000 --> 00:00:13.000]  體驗在逐你們的成長
[00:00:13.000 --> 00:00:19.000]  那麼今年我們教會的意象是什麼呢
[00:00:19.000 --> 00:00:22.000]  今年2018年教會的意象是什麼
[00:00:22.000 --> 00:00:24.000]  各位可以在週報上面
[00:00:24.000 --> 00:00:29.000]  正面走一行今年意象 是
[00:00:29.000 --> 00:00:34.000]  新的季節 新的恩高
[00:00:34.000 --> 00:00:38.000]  New season, new anointing
[00:00:38.000 --> 00:00:43.000]  這是今年我們教會的意象
[00:00:43.000 --> 00:00:48.000]  是的 各位如果注意到
[00:00:48.000 --> 00:00:51.000]  現今這個世代
[00:00:51.000 --> 00:00:55.000]  已經發生了許多劇烈的變化
[00:00:55.000 --> 00:01:01.000]  那我請問各位 21世紀是從什麼時候開始的
[00:01:01.000 --> 00:01:07.000]  21世紀
[00:01:07.000 --> 00:01:13.000]  照立法來說是2000年開始 21世紀
[00:01:13.000 --> 00:01:15.000]  你記得嗎 那個時候我們
[00:01:15.000 --> 00:01:17.000]  那時候我還在上班
[00:01:17.000 --> 00:01:19.000]  那麼做軟體的呢
[00:01:19.000 --> 00:01:23.000]  都還特別針對這個什麼2000年的
[00:01:23.000 --> 00:01:26.000]  Polymium 的 bug 千禧年的毒蟲
[00:01:26.000 --> 00:01:30.000]  我們還特別把這個公司的電腦通通清乾淨
[00:01:30.000 --> 00:01:33.000]  免得它中了毒
[00:01:33.000 --> 00:01:35.000]  但實際上您知道21世紀
[00:01:35.000 --> 00:01:38.000]  真的不是從2000年開始
[00:01:38.000 --> 00:01:41.000]  真正是從2001年開始
[00:01:41.000 --> 00:01:43.000]  什麼事情啊
[00:01:43.000 --> 00:01:46.000]  911
[00:01:46.000 --> 00:01:50.000]  我真的覺得21世紀是從911才開始的
[00:01:50.000 --> 00:01:55.000]  因為那整一個開始變
[00:01:55.000 --> 00:02:00.000]  以前美國是來氣自如
[00:02:00.000 --> 00:02:02.000]  進進出出的
[00:02:02.000 --> 00:02:05.000]  甚至於我還聽過一個人講說
[00:02:05.000 --> 00:02:08.000]  他請了一個保姆
[00:02:08.000 --> 00:02:13.000]  然後他就到加拿大去接那個保姆
[00:02:13.000 --> 00:02:15.000]  過了關
[00:02:15.000 --> 00:02:17.000]  都不查的
[00:02:17.000 --> 00:02:21.000]  用了幾天覺得不合適又開車送回去了
[00:02:21.000 --> 00:02:23.000]  就可以這樣子來氣自如
[00:02:23.000 --> 00:02:25.000]  今天
[00:02:25.000 --> 00:02:27.000]  我們甚至於
[00:02:27.000 --> 00:02:29.000]  連這個駕照都不行
[00:02:29.000 --> 00:02:33.000]  還要拿出護照才行
[00:02:33.000 --> 00:02:35.000]  甚至於護照都不行
[00:02:35.000 --> 00:02:38.000]  還要拿出簽證才可以進加拿大
[00:02:38.000 --> 00:02:41.000]  或者是入美國等
[00:02:41.000 --> 00:02:48.000]  以前在21世紀之前
[00:02:48.000 --> 00:02:52.000]  我們講的2001年911之前
[00:02:52.000 --> 00:02:56.000]  我們感覺到日子很好過
[00:02:56.000 --> 00:02:57.000]  你不用擔心
[00:02:57.000 --> 00:03:00.000]  世界上面在美國尤其是
[00:03:00.000 --> 00:03:04.000]  也沒有很多
[00:03:04.000 --> 00:03:09.000]  兇殺或者是很多的暴動啊
[00:03:09.000 --> 00:03:13.000]  或者是很多的什麼
[00:03:13.000 --> 00:03:15.000]  讓這個世界搞亂的事情
[00:03:15.000 --> 00:03:18.000]  但是自從
[00:03:18.000 --> 00:03:20.000]  after 911
[00:03:20.000 --> 00:03:22.000]  everything changed
[00:03:22.000 --> 00:03:24.000]  所有事情都變了
[00:03:24.000 --> 00:03:26.000]  所以我說這是
[00:03:26.000 --> 00:03:29.000]  start of 21st century
[00:03:29.000 --> 00:03:31.000]  21世紀的開始
[00:03:31.000 --> 00:03:34.000]  在這一個新的世紀呢
[00:03:34.000 --> 00:03:37.000]  我們本來都還不感覺到
[00:03:37.000 --> 00:03:39.000]  但是當我們慢慢感覺到
[00:03:39.000 --> 00:03:40.000]  才發現說
[00:03:40.000 --> 00:03:42.000]  這一個世紀
[00:03:42.000 --> 00:03:44.000]  我們進入一個
[00:03:44.000 --> 00:03:48.000]  很難能夠掌握的年頭
[00:03:48.000 --> 00:03:49.000]  我們的日子
[00:03:49.000 --> 00:03:51.000]  跟我們以前過的
[00:03:51.000 --> 00:03:53.000]  都不太一樣
[00:03:53.000 --> 00:03:57.000]  因為環境局勢
[00:03:57.000 --> 00:03:59.000]  不斷地改變
[00:03:59.000 --> 00:04:05.000]  到了去年2016年前年
[00:04:05.000 --> 00:04:08.000]  我們更看到美國的大選
[00:04:08.000 --> 00:04:11.000]  本來川普或者叫特朗普
[00:04:11.000 --> 00:04:13.000]  Donald Trump
[00:04:13.000 --> 00:04:15.000]  他出來選的時候
[00:04:15.000 --> 00:04:17.000]  大家都看笑話
[00:04:17.000 --> 00:04:18.000]  是不是
[00:04:18.000 --> 00:04:20.000]  但是
[00:04:20.000 --> 00:04:23.000]  其實這是美國正在經歷一場
[00:04:23.000 --> 00:04:25.000]  很大的一個叫做
[00:04:25.000 --> 00:04:27.000]  無聲的革命
[00:04:27.000 --> 00:04:30.000]  或者沉默的革命
[00:04:30.000 --> 00:04:34.000]  美國人的不滿還有憤怒
[00:04:34.000 --> 00:04:37.000]  好像一個洪流一般的
[00:04:37.000 --> 00:04:40.000]  衝擊了美國
[00:04:40.000 --> 00:04:43.000]  這是現今的世界
[00:04:43.000 --> 00:04:46.000]  很少能看到的
[00:04:46.000 --> 00:04:47.000]  上來做了總統
[00:04:47.000 --> 00:04:49.000]  我們也感覺到世界上面
[00:04:49.000 --> 00:04:51.000]  整個都變了
[00:04:51.000 --> 00:04:54.000]  世界上面各樣各式的事情
[00:04:54.000 --> 00:04:59.000]  都開始面臨一個巨大的變動
[00:04:59.000 --> 00:05:01.000]  對於我們基督徒
[00:05:01.000 --> 00:05:02.000]  我們要怎麼處理
[00:05:02.000 --> 00:05:04.000]  我們要怎麼做
[00:05:04.000 --> 00:05:06.000]  我們要怎麼面對
[00:05:06.000 --> 00:05:09.000]  這個神新的季節
[00:05:09.000 --> 00:05:11.000]  祂的新的挑戰
[00:05:11.000 --> 00:05:13.000]  你知道嗎
[00:05:13.000 --> 00:05:15.000]  我說我們今年的意向是
[00:05:15.000 --> 00:05:19.000]  新的季節新的恩高
[00:05:19.000 --> 00:05:21.000]  因為在新的季節新的恩高
[00:05:21.000 --> 00:05:24.000]  有新的恩高會要降下來
[00:05:24.000 --> 00:05:27.000]  但是你如果沒有把握住的話
[00:05:27.000 --> 00:05:32.000]  你沒有能夠跟上聖靈的腳步
[00:05:32.000 --> 00:05:36.000]  或者是沒有能夠像老鷹一樣
[00:05:36.000 --> 00:05:39.000]  祂能夠抓到風
[00:05:39.000 --> 00:05:40.000]  然後風來的時候
[00:05:40.000 --> 00:05:42.000]  祂翅膀一張開
[00:05:42.000 --> 00:05:45.000]  祂就可以乘風而上
[00:05:45.000 --> 00:05:47.000]  祂不需要花很大的力量
[00:05:47.000 --> 00:05:50.000]  祂是靠著聖靈的力量
[00:05:50.000 --> 00:05:54.000]  能夠來勝過這一切
[00:05:54.000 --> 00:05:57.000]  所以我們要怎麼樣面對
[00:05:57.000 --> 00:06:01.000]  神新的季節的挑戰
[00:06:01.000 --> 00:06:03.000]  Facing the challenge
[00:06:03.000 --> 00:06:06.000]  of God's new season
[00:06:06.000 --> 00:06:08.000]  of the new year
[00:06:08.000 --> 00:06:09.000]  new era
[00:06:09.000 --> 00:06:12.000]  這一切都是新的
[00:06:12.000 --> 00:06:14.000]  我們以前不熟悉的
[00:06:14.000 --> 00:06:17.000]  甚至於我們好像有點膽怯
[00:06:17.000 --> 00:06:20.000]  就好像約書亞記的時候
[00:06:20.000 --> 00:06:24.000]  當約書亞帶著以色列的百姓
[00:06:24.000 --> 00:06:26.000]  數百萬之眾
[00:06:26.000 --> 00:06:28.000]  要進入迦南平原
[00:06:28.000 --> 00:06:31.000]  要過約旦河的時候
[00:06:31.000 --> 00:06:33.000]  那摩西死了
[00:06:33.000 --> 00:06:35.000]  約書亞出來要帶他們
[00:06:35.000 --> 00:06:38.000]  所以他心裡面很害怕
[00:06:38.000 --> 00:06:40.000]  結果神跟他說
[00:06:40.000 --> 00:06:44.000]  你當鋼牆壯膽
[00:06:44.000 --> 00:06:47.000]  這是神今年也要跟我們說
[00:06:47.000 --> 00:06:49.000]  我有新的季節
[00:06:49.000 --> 00:06:52.000]  我有新的恩高
[00:06:52.000 --> 00:06:54.000]  或許你的生命中
[00:06:54.000 --> 00:06:55.000]  你說
[00:06:55.000 --> 00:06:56.000]  我的生命中
[00:06:56.000 --> 00:06:58.000]  穆斯你不知道啊
[00:06:58.000 --> 00:06:59.000]  有一個大巨人
[00:06:59.000 --> 00:07:03.000]  擋在我的面前啊
[00:07:03.000 --> 00:07:04.000]  神要賜給你
[00:07:04.000 --> 00:07:07.000]  戰勝巨人的恩高
[00:07:07.000 --> 00:07:10.000]  你說穆斯你不知道啊
[00:07:10.000 --> 00:07:12.000]  我好像來了一個新的地方
[00:07:12.000 --> 00:07:14.000]  好像來到耶穌倫
[00:07:14.000 --> 00:07:15.000]  這一個新的地方
[00:07:15.000 --> 00:07:18.000]  我是沒有任何熟悉的
[00:07:18.000 --> 00:07:22.000]  神要賜給你耶穌倫的恩高
[00:07:22.000 --> 00:07:23.000]  神要賜給你
[00:07:23.000 --> 00:07:26.000]  各式各樣的恩高
[00:07:26.000 --> 00:07:28.000]  甚至於恩高的教訓
[00:07:28.000 --> 00:07:30.000]  恩高的傳承
[00:07:30.000 --> 00:07:33.000]  甚至於恩高的啟動
[00:07:33.000 --> 00:07:35.000]  要在我們教會裡面
[00:07:35.000 --> 00:07:38.000]  不斷地要發生
[00:07:38.000 --> 00:07:40.000]  所以這是今年第一個禮拜
[00:07:40.000 --> 00:07:41.000]  每個月第一個禮拜
[00:07:41.000 --> 00:07:43.000]  我要講的
[00:07:43.000 --> 00:07:45.000]  到底
[00:07:45.000 --> 00:07:48.000]  我們怎麼樣在這個新的季節
[00:07:48.000 --> 00:07:51.000]  來領受神新的恩高
[00:07:51.000 --> 00:07:54.000]  剛才說我們基督徒要知道
[00:07:54.000 --> 00:07:57.000]  每一次環境的大改變
[00:07:57.000 --> 00:07:59.000]  不論是政治的
[00:07:59.000 --> 00:08:01.000]  軍事的 經濟的 文化
[00:08:01.000 --> 00:08:03.000]  或屬靈上面的
[00:08:03.000 --> 00:08:07.000]  那都是神屬靈工作的開始
[00:08:07.000 --> 00:08:09.000]  那是轉捩點
[00:08:09.000 --> 00:08:13.000]  我們中國人說危機就是轉機啊
[00:08:13.000 --> 00:08:14.000]  是不是
[00:08:14.000 --> 00:08:16.000]  你有沒有看到
[00:08:16.000 --> 00:08:19.000]  有的時候你在困苦患難中
[00:08:19.000 --> 00:08:21.000]  民事無路
[00:08:21.000 --> 00:08:24.000]  但是柳暗花明又一春
[00:08:24.000 --> 00:08:26.000]  這就是你的轉捩點
[00:08:26.000 --> 00:08:28.000]  你的轉機
[00:08:28.000 --> 00:08:30.000]  哦 明眼的人
[00:08:30.000 --> 00:08:33.000]  那個靈裡面敏銳的人
[00:08:33.000 --> 00:08:34.000]  聰明的人
[00:08:34.000 --> 00:08:38.000]  他能夠抓到在危險之中
[00:08:38.000 --> 00:08:40.000]  許多人或許會說
[00:08:40.000 --> 00:08:42.000]  哎呀 太危險了 過不去啊
[00:08:42.000 --> 00:08:44.000]  像約蘇亞一樣
[00:08:44.000 --> 00:08:47.000]  哦 那個迦南平原 迦南區族
[00:08:47.000 --> 00:08:49.000]  他們搶得好大啊
[00:08:49.000 --> 00:08:51.000]  我們像是詐謀一樣
[00:08:51.000 --> 00:08:53.000]  但是殊不知
[00:08:53.000 --> 00:08:56.000]  神給他們許多的能力
[00:08:56.000 --> 00:08:59.000]  當他們願意克服自己的時候
[00:08:59.000 --> 00:09:02.000]  當他們願意面臨這個新的環境
[00:09:02.000 --> 00:09:05.000]  面對新的挑戰的時候
[00:09:05.000 --> 00:09:08.000]  他就要領受新的恩高
[00:09:08.000 --> 00:09:10.000]  但是我們如果還是帶著
[00:09:10.000 --> 00:09:12.000]  我們這個舊皮囊
[00:09:12.000 --> 00:09:14.000]  什麼叫舊皮囊呢
[00:09:14.000 --> 00:09:16.000]  Old Skin
