
[00:00:00.000 --> 00:00:02.000]  我哋再一次低頭祈禱
[00:00:02.000 --> 00:00:04.000]  天父啊求祢帶領我哋
[00:00:04.000 --> 00:00:07.000]  我哋再一次喺你面前聽你嘅說話嘅時候
[00:00:07.000 --> 00:00:10.000]  完你嘅話語再一次嘅教導我哋
[00:00:10.000 --> 00:00:11.000]  開我哋嘅耳朵
[00:00:11.000 --> 00:00:12.000]  畀我哋聽見
[00:00:12.000 --> 00:00:14.000]  唔單止係人嘅全講
[00:00:14.000 --> 00:00:16.000]  更加聽到你自己嘅聲音
[00:00:16.000 --> 00:00:18.000]  你對我哋嘅呼喚
[00:00:18.000 --> 00:00:20.000]  奉耶穌基督的名祈求
[00:00:20.000 --> 00:00:22.000]  阿們
[00:00:22.000 --> 00:00:24.000]  好啦 咁今日講嘅頭先就係
[00:00:24.000 --> 00:00:27.000]  讀過呢就係五餅二魚嘅神蹟啦
[00:00:27.000 --> 00:00:29.000]  咁五餅二魚嘅神蹟呢
[00:00:29.000 --> 00:00:31.000]  相信好多人都係
[00:00:31.000 --> 00:00:33.000]  非常之清楚㗎啦
[00:00:33.000 --> 00:00:35.000]  即係好多
[00:00:35.000 --> 00:00:38.000]  就算唔係信耶穌嘅人
[00:00:38.000 --> 00:00:40.000]  佢哋都聽過關於
[00:00:40.000 --> 00:00:42.000]  耶穌用五條餅
[00:00:42.000 --> 00:00:44.000]  五個餅兩條魚
[00:00:44.000 --> 00:00:47.000]  餵飽咗五千人嘅神蹟
[00:00:47.000 --> 00:00:49.000]  咁呢個神蹟本身呢
[00:00:49.000 --> 00:00:51.000]  所以就係可以咁講
[00:00:51.000 --> 00:00:53.000]  係其中一個聖經當中嘅
[00:00:53.000 --> 00:00:55.000]  出名神蹟之一嚟嘅
[00:00:55.000 --> 00:00:57.000]  如果你話聖經十大神蹟
[00:00:57.000 --> 00:00:59.000]  咁當然摩西
[00:00:59.000 --> 00:01:01.000]  過紅河嗰啲
[00:01:01.000 --> 00:01:03.000]  係好出名嘅神蹟
[00:01:03.000 --> 00:01:05.000]  但係我相信五餅二魚呢
[00:01:05.000 --> 00:01:07.000]  都係其中一個
[00:01:07.000 --> 00:01:09.000]  而事實上耶穌五餅二魚嘅神蹟呢
[00:01:09.000 --> 00:01:11.000]  所餵飽嘅人呢
[00:01:11.000 --> 00:01:13.000]  係唔單止五千人嘅
[00:01:13.000 --> 00:01:15.000]  佢講話男丁藥有五千
[00:01:15.000 --> 00:01:17.000]  即係話嫂個男人有五千
[00:01:17.000 --> 00:01:19.000]  咁冇理由只係男人
[00:01:19.000 --> 00:01:21.000]  去聽耶穌講道㗎嘛
[00:01:21.000 --> 00:01:23.000]  咁所以有男有女
[00:01:23.000 --> 00:01:25.000]  你當佢成二啦
[00:01:25.000 --> 00:01:27.000]  咁可能仲有啲細路仔添
[00:01:27.000 --> 00:01:29.000]  好明顯有細路
[00:01:29.000 --> 00:01:31.000]  講到後尾攞五餅二魚
[00:01:31.000 --> 00:01:33.000]  嗰個係一個細路嚟
[00:01:33.000 --> 00:01:35.000]  咁如果成三
[00:01:35.000 --> 00:01:37.000]  更加萬五人
[00:01:37.000 --> 00:01:39.000]  所以係好多人
[00:01:39.000 --> 00:01:41.000]  咁用五餅二魚行神蹟
[00:01:41.000 --> 00:01:43.000]  呢個係一個非常之
[00:01:43.000 --> 00:01:45.000]  可以講個好犀利嘅神蹟
[00:01:45.000 --> 00:01:47.000]  五個餅兩條魚
[00:01:47.000 --> 00:01:49.000]  就可以餵飽咗過萬人
[00:01:49.000 --> 00:01:51.000]  咁呢
[00:01:51.000 --> 00:01:53.000]  更加留意呢
[00:01:53.000 --> 00:01:55.000]  呢個神蹟本身呢
[00:01:55.000 --> 00:01:57.000]  係四福音當中呢
[00:01:57.000 --> 00:01:59.000]  獨有記載嘅神蹟嚟㗎喎
[00:01:59.000 --> 00:02:01.000]  呢個可能
[00:02:01.000 --> 00:02:03.000]  好多人冇留意到
[00:02:03.000 --> 00:02:05.000]  即係聽講一講五餅二魚就好
[00:02:05.000 --> 00:02:07.000]  覺得
[00:02:07.000 --> 00:02:09.000]  咁呢個咁出名嘅神蹟
[00:02:09.000 --> 00:02:11.000]  一定有記載啦
[00:02:11.000 --> 00:02:13.000]  但其實話畀你知呢
[00:02:13.000 --> 00:02:15.000]  聖經當你睇福音書嘅時候
[00:02:15.000 --> 00:02:17.000]  當然特別頭三本福音書
[00:02:17.000 --> 00:02:19.000]  馬太馬可路加呢
[00:02:19.000 --> 00:02:21.000]  係好多係好有類同嘅
[00:02:21.000 --> 00:02:23.000]  嘅
[00:02:23.000 --> 00:02:25.000]  事件去記載嘅咁事實上
[00:02:25.000 --> 00:02:27.000]  研究福音書嘅
[00:02:27.000 --> 00:02:29.000]  學者呢佢哋亦都發覺
[00:02:29.000 --> 00:02:31.000]  呢其實可能呢極有
[00:02:31.000 --> 00:02:33.000]  可能呢就係
[00:02:33.000 --> 00:02:35.000]  寫路加福音或者寫
[00:02:35.000 --> 00:02:37.000]  馬太福音嘅作者呢
[00:02:37.000 --> 00:02:39.000]  其實佢哋係參考過
[00:02:39.000 --> 00:02:41.000]  馬可福音嘅因為極有
[00:02:41.000 --> 00:02:43.000]  可能係馬可福音先寫成
[00:02:43.000 --> 00:02:45.000]  跟住寫路加福音同
[00:02:45.000 --> 00:02:47.000]  馬太福音嘅嘅
[00:02:47.000 --> 00:02:49.000]  作者呢係有參考過
[00:02:49.000 --> 00:02:51.000]  馬可福音先寫嘅
[00:02:51.000 --> 00:02:53.000]  咁所以好多嘅資料
[00:02:53.000 --> 00:02:55.000]  佢哋又有由馬可福音嗰度呢
[00:02:55.000 --> 00:02:57.000]  又攞啲出嚟咁所以呢係
[00:02:57.000 --> 00:02:59.000]  好類似嘅你發覺
[00:02:59.000 --> 00:03:01.000]  睇頭嗰三本福音書
[00:03:01.000 --> 00:03:03.000]  所以佢哋又畀個名
[00:03:03.000 --> 00:03:05.000]  叫類符福音咁但係呢
[00:03:05.000 --> 00:03:07.000]  一項福音呢係好特別嘅
