
[00:00:00.000 --> 00:00:05.000]  第七屆對小朋友來說是有少少挑戰
[00:00:05.000 --> 00:00:10.000]  對大人對傳導人來說
[00:00:10.000 --> 00:00:13.000]  都同樣會有少少挑戰
[00:00:13.000 --> 00:00:16.000]  所以我就說
[00:00:16.000 --> 00:00:19.000]  我很少跟小朋友講道
[00:00:19.000 --> 00:00:21.000]  不知行不行
[00:00:21.000 --> 00:00:23.000]  即管試下
[00:00:23.000 --> 00:00:27.000]  做老師應該都要接受挑戰
[00:00:27.000 --> 00:00:31.000]  所以最後就轉了原來是一個家庭
[00:00:31.000 --> 00:00:34.000]  跟小朋友一齊的崇拜
[00:00:34.000 --> 00:00:38.000]  所以今日這篇道除了跟小朋友講之外
[00:00:38.000 --> 00:00:43.000]  其實大人都應該一齊來聽
[00:00:43.000 --> 00:00:48.000]  當我預備這篇道的時候
[00:00:48.000 --> 00:00:52.000]  就想下講不可奸淫
[00:00:52.000 --> 00:00:55.000]  第七屆講不可奸淫大家知道
[00:00:55.000 --> 00:00:57.000]  這個很深奧的東西
[00:00:57.000 --> 00:00:59.000]  小朋友會不會呢
[00:00:59.000 --> 00:01:02.000]  我就上網在Youtube
[00:01:02.000 --> 00:01:07.000]  看看有沒有人在Youtube講下這一屆
[00:01:07.000 --> 00:01:08.000]  原來都有
[00:01:08.000 --> 00:01:10.000]  不過很短只有幾分鐘
[00:01:10.000 --> 00:01:13.000]  意外地就讓我看到有一個
[00:01:13.000 --> 00:01:15.000]  很有趣的訪問
[00:01:15.000 --> 00:01:17.000]  搞笑而已
[00:01:17.000 --> 00:01:23.000]  有些記者就特意去訪問小朋友
[00:01:23.000 --> 00:01:27.000]  外國的小朋友五六歲左右
[00:01:27.000 --> 00:01:30.000]  他就說我們有個英文字
[00:01:30.000 --> 00:01:32.000]  想問下你為什麼
[00:01:32.000 --> 00:01:35.000]  就是那個英文字
[00:01:35.000 --> 00:01:36.000]  打出來都可以
[00:01:36.000 --> 00:01:38.000]  adultery
[00:01:38.000 --> 00:01:42.000]  五六歲的小朋友原來對這個字
[00:01:42.000 --> 00:01:45.000]  都覺得很深奧
[00:01:45.000 --> 00:01:47.000]  其實都不太知道是什麼
[00:01:47.000 --> 00:01:50.000]  你們知不知道adultery是什麼
[00:01:50.000 --> 00:01:52.000]  知不知道是什麼
[00:01:52.000 --> 00:01:56.000]  有個五六歲的小朋友就這樣回答
[00:01:56.000 --> 00:01:59.000]  當然是和大人有關
[00:01:59.000 --> 00:02:01.000]  adult
[00:02:01.000 --> 00:02:02.000]  adult這個字
[00:02:02.000 --> 00:02:04.000]  和大人有關
[00:02:04.000 --> 00:02:07.000]  記者就搞笑
[00:02:07.000 --> 00:02:09.000]  和大人有關
[00:02:09.000 --> 00:02:11.000]  Is it fun
[00:02:11.000 --> 00:02:13.000]  是不是很好玩
