
[00:00:00.000 --> 00:00:04.360]  這個背景大家知道是甚麼事嗎?
[00:00:04.360 --> 00:00:05.760]  如果你是基督徒的話
[00:00:05.760 --> 00:00:09.320]  就知道彼得曾經在海上行走
[00:00:09.320 --> 00:00:10.080]  真的很厲害
[00:00:10.080 --> 00:00:11.120]  人可以在海上行走
[00:00:11.120 --> 00:00:13.520]  但是一沒有信心就掉下去了
[00:00:13.520 --> 00:00:16.920]  而耶穌就將他抓住
[00:00:16.920 --> 00:00:18.840]  其實今天要說些甚麼呢?
[00:00:18.840 --> 00:00:20.360]  比方我跟大家分享之前
[00:00:20.360 --> 00:00:22.360]  想問大家一個問題
[00:00:22.360 --> 00:00:26.640]  不知道大家認為在我們的人生當中
[00:00:26.640 --> 00:00:28.400]  甚麼是最重要的呢?
[00:00:28.400 --> 00:00:29.400]  對你來說
[00:00:29.400 --> 00:00:33.640]  甚麼是最重要最寶貴的呢?
[00:00:33.640 --> 00:00:35.320]  不知大家有沒有這些問題呢?
[00:00:35.320 --> 00:00:37.520]  這些問題很深的
[00:00:37.520 --> 00:00:39.840]  想Google查查吧
[00:00:39.840 --> 00:00:41.160]  你去Google一下
[00:00:41.160 --> 00:00:44.560]  或者你現在用OpenAI去問一問
[00:00:44.560 --> 00:00:47.080]  人生最寶貴最重要的是甚麼?
[00:00:47.080 --> 00:00:50.920]  我做過這樣的練習
[00:00:50.920 --> 00:00:52.080]  通常一出來
[00:00:52.080 --> 00:00:53.040]  第一個答案
[00:00:53.040 --> 00:00:53.840]  你猜到是甚麼嗎?
[00:00:53.840 --> 00:00:56.040]  人生最重要最寶貴的是甚麼?
[00:00:56.040 --> 00:00:56.880]  Google一下
[00:00:56.880 --> 00:00:59.800]  或者你用OpenAI去問一問的時候
[00:00:59.800 --> 00:01:02.080]  是甚麼?
[00:01:02.080 --> 00:01:04.160]  沒有?
[00:01:04.160 --> 00:01:06.800]  是時間
[00:01:06.800 --> 00:01:08.640]  是時間
[00:01:08.640 --> 00:01:11.040]  那你就…
[00:01:11.040 --> 00:01:12.680]  時間就看得很清楚了
[00:01:12.680 --> 00:01:13.880]  代表時間
[00:01:13.880 --> 00:01:16.120]  但是時間是會流逝的
[00:01:16.120 --> 00:01:17.000]  是不是?
[00:01:17.000 --> 00:01:18.320]  如果你問我的話
[00:01:18.320 --> 00:01:19.680]  如果人生最寶貴
[00:01:19.680 --> 00:01:21.320]  很多人都覺得是時間
[00:01:21.320 --> 00:01:23.880]  那你怎樣去解讀時間呢?
[00:01:23.880 --> 00:01:25.240]  我覺得…
[00:01:25.240 --> 00:01:26.280]  如果你問我的話
[00:01:26.280 --> 00:01:27.360]  那就代表生命
[00:01:27.360 --> 00:01:30.680]  時間就代表我們的生命
[00:01:30.680 --> 00:01:32.960]  因為人死了之後
[00:01:32.960 --> 00:01:33.880]  就甚麼都沒有了
[00:01:33.880 --> 00:01:35.720]  下一張我們看到
[00:01:35.720 --> 00:01:37.320]  人為甚麼會…
[00:01:37.320 --> 00:01:39.160]  就好像樹葉一樣
[00:01:39.160 --> 00:01:40.280]  會枯萎的
[00:01:40.280 --> 00:01:41.600]  會枯謝的
[00:01:41.600 --> 00:01:43.800]  一塊一塊掉出來
[00:01:43.800 --> 00:01:46.280]  到人死了之後的時候
[00:01:46.280 --> 00:01:47.720]  我們說甚麼都沒有了
[00:01:47.720 --> 00:01:48.960]  甚麼都做不到
[00:01:48.960 --> 00:01:50.800]  但是如果你不相信有神
[00:01:50.800 --> 00:01:53.840]  你不相信人死之後有靈魂的話
