
[00:00:00.000 --> 00:00:03.040]  各位在電視機在螢幕面前的
[00:00:03.040 --> 00:00:05.720]  每一位青少年你們好
[00:00:05.720 --> 00:00:08.580]  今天就在這個地方
[00:00:08.580 --> 00:00:13.400]  繼續與各位分享神的說話
[00:00:13.400 --> 00:00:20.320]  今天與各位分享的一段經文
[00:00:20.320 --> 00:00:26.640]  是在《雅各書》第二章八至十三節
[00:00:26.640 --> 00:00:29.280]  這一段經文是這樣說的
[00:00:29.280 --> 00:00:31.160]  經上記著說
[00:00:31.160 --> 00:00:33.080]  要愛人如己
[00:00:33.080 --> 00:00:39.480]  你們若傳守者至尊的律法才是好的
[00:00:39.480 --> 00:00:44.200]  但你們若愛外貌待人便是犯罪
[00:00:44.200 --> 00:00:46.800]  被律法定為犯法的
[00:00:46.800 --> 00:00:50.000]  因為凡遵守全律法的
[00:00:50.000 --> 00:00:52.680]  只在一條上跌倒
[00:00:52.680 --> 00:00:55.640]  他就是犯了眾條
[00:00:55.640 --> 00:00:58.840]  原來那說不可姦淫的
[00:00:58.840 --> 00:01:03.520]  也說不可殺人
[00:01:03.520 --> 00:01:07.960]  你就是不姦淫卻殺人
[00:01:07.960 --> 00:01:11.480]  仍是成了犯律法的
[00:01:11.480 --> 00:01:17.680]  你們既然要按使人自由的律法受審判
[00:01:17.680 --> 00:01:21.480]  就該照這律法說話行事
[00:01:21.480 --> 00:01:24.280]  因為那不憐憫人的
[00:01:24.280 --> 00:01:28.440]  也要受無憐憫的審判
[00:01:28.440 --> 00:01:35.400]  憐憫願是向審判跨性
[00:01:35.400 --> 00:01:40.840]  今日和各位分享的是「錯了一著」
[00:01:40.840 --> 00:01:44.080]  在地上有兩個群體
[00:01:44.080 --> 00:01:47.000]  不知道你喜歡是哪一個
[00:01:47.000 --> 00:01:50.120]  一個是很歡欣喜樂的
[00:01:50.120 --> 00:01:51.080]  很溫馨的
[00:01:51.080 --> 00:01:54.280]  沒有愛包容的一個群體
[00:01:54.280 --> 00:01:57.160]  另一個就是日酬夜酬
[00:01:57.160 --> 00:01:59.680]  又吵架又頂嘴
[00:01:59.680 --> 00:02:02.960]  你不包容我,我又不包容你
[00:02:02.960 --> 00:02:04.800]  不斷地這樣
[00:02:04.800 --> 00:02:06.800]  大家就像福圖說的
[00:02:06.800 --> 00:02:11.120]  不是你死就是我活
[00:02:11.120 --> 00:02:14.720]  說起來這兩個群體都是很極端的
[00:02:14.720 --> 00:02:17.200]  但是我們也是很相識
[00:02:17.200 --> 00:02:18.280]  也很熟悉
[00:02:18.280 --> 00:02:21.680]  這種相處的氣氛
[00:02:21.680 --> 00:02:28.920]  都會經常在我們的生活環境裏面出現
[00:02:28.920 --> 00:02:31.760]  當然當我們去到這個群體裏面
[00:02:31.760 --> 00:02:34.840]  大家有談話、有說話、有笑話
[00:02:34.840 --> 00:02:37.560]  亦都是大家不計較
[00:02:37.560 --> 00:02:40.960]  這種生活個個都是嚮往的
[00:02:40.960 --> 00:02:42.560]  若我們去到一個群體
[00:02:42.560 --> 00:02:46.160]  一埋位就在吵架
[00:02:46.160 --> 00:02:48.320]  在說三道四
[00:02:48.320 --> 00:02:50.480]  或者是說是非
[00:02:50.480 --> 00:02:53.720]  亦都不是我們很喜歡的一個群體
[00:02:53.720 --> 00:02:58.680]  甚至乎是我們互相去攻擊
[00:02:58.680 --> 00:02:59.880]  這些群體
[00:02:59.880 --> 00:03:06.480]  我們亦都不會願意和它們一起去生活
[00:03:06.480 --> 00:03:07.880]  今日的經文
[00:03:07.880 --> 00:03:12.040]  是承接上文第一節開始的
[00:03:12.040 --> 00:03:20.880]  講到教會裏面有人按外貌待人的事件的延續
[00:03:20.880 --> 00:03:22.200]  在這裏
[00:03:22.200 --> 00:03:25.360]  向我們每一個信主的人
[00:03:25.360 --> 00:03:28.840]  他們講出了這個相交之道
[00:03:28.840 --> 00:03:32.240]  對於我們和神之間的關係
[00:03:32.240 --> 00:03:34.160]  那個永恆的應許
[00:03:34.160 --> 00:03:36.440]  有多大的影響
[00:03:36.440 --> 00:03:39.360]  亞各就在這裏分享
[00:03:39.360 --> 00:03:41.800]  讓我們一起禱告
[00:03:41.800 --> 00:03:42.800]  真愛的天父
[00:03:42.800 --> 00:03:48.040]  求祢叫祢的話語深陷在我們心裏面
[00:03:48.040 --> 00:03:54.560]  以致我們都能夠在神的話語裏得到益處
[00:03:54.560 --> 00:03:57.880]  懂得如何與人相處
[00:03:57.880 --> 00:04:00.040]  亦都是與神相處
[00:04:00.040 --> 00:04:02.680]  禱告奉主耶穌基督的名字祈求
[00:04:02.680 --> 00:04:05.800]  阿門
[00:04:05.800 --> 00:04:07.920]  在第八節
[00:04:07.920 --> 00:04:10.040]  一開始的時候
[00:04:10.040 --> 00:04:12.040]  亞各已經說
[00:04:12.040 --> 00:04:14.360]  經上記著說
[00:04:14.360 --> 00:04:19.200]  經上記著說是記載在利微記
[00:04:19.200 --> 00:04:26.280]  利微記就是摩西五經裏面的其中一卷
[00:04:26.280 --> 00:04:29.800]  講到要愛人如己
[00:04:29.800 --> 00:04:33.720]  在馬太福音和馬可福音裏面
[00:04:33.720 --> 00:04:35.400]  當耶穌被問事
[00:04:35.400 --> 00:04:41.160]  去到問道「誡命中最重要的是哪一個?哪一樣?」
[00:04:41.160 --> 00:04:45.640]  摩西耶穌回應他
[00:04:45.640 --> 00:04:50.960]  「誡命中第一要緊的是盡心、盡性、盡義、盡力
[00:04:50.960 --> 00:04:52.600]  愛主你的神
[00:04:52.600 --> 00:04:56.800]  其次就是愛人如己」
[00:04:56.800 --> 00:04:59.600]  愛是天性
[00:04:59.600 --> 00:05:03.920]  當我們看到一隻母雞
[00:05:03.920 --> 00:05:06.440]  遇到危險的時候
[00:05:06.440 --> 00:05:09.680]  跟著一群小雞
[00:05:09.680 --> 00:05:10.960]  就會很徬徨
[00:05:10.960 --> 00:05:12.680]  牠自己也很徬徨
[00:05:12.680 --> 00:05:14.480]  但是在徬徨的裏面
[00:05:14.480 --> 00:05:17.400]  牠會張開牠的雙翼
[00:05:17.400 --> 00:05:20.600]  讓小雞來到牠的身邊
[00:05:20.600 --> 00:05:22.680]  被牠包圍
[00:05:22.680 --> 00:05:25.160]  這就是親子的愛
[00:05:25.160 --> 00:05:26.640]  動物界是這樣
[00:05:26.640 --> 00:05:28.880]  人亦都是這樣
[00:05:28.880 --> 00:05:32.800]  特別是對自己愛到至極
[00:05:32.800 --> 00:05:35.120]  是愛到最好
[00:05:35.120 --> 00:05:37.400]  當我們在網上也好
[00:05:37.400 --> 00:05:39.640]  或者一些傳聞也好
[00:05:39.640 --> 00:05:42.080]  都會見到一些人
[00:05:42.080 --> 00:05:43.840]  他們很悉心打扮
[00:05:43.840 --> 00:05:48.360]  為的是要提升自己的自信心
[00:05:48.360 --> 00:05:50.760]  有些人亦都把自己的樣貌
[00:05:50.760 --> 00:05:54.240]  弄得好像一些卡通人物一樣
[00:05:54.240 --> 00:05:57.840]  好像變成整個面容
[00:05:57.840 --> 00:06:01.760]  變成巴比、白色公主
[00:06:01.760 --> 00:06:06.200]  冰雪奇緣的Elsa和Anna等等
[00:06:06.200 --> 00:06:07.720]  對自己很好
[00:06:07.720 --> 00:06:09.040]  不僅很好
[00:06:09.040 --> 00:06:10.120]  好上加好
[00:06:10.120 --> 00:06:12.080]  十分之好
[00:06:12.080 --> 00:06:14.120]  這就是愛
[00:06:14.120 --> 00:06:15.920]  對人如己
[00:06:15.920 --> 00:06:19.040]  一個人很愛自己
[00:06:19.040 --> 00:06:19.880]  無論如何
[00:06:19.880 --> 00:06:24.520]  即使他在多艱難的時候
[00:06:24.520 --> 00:06:28.880]  他都會盡量對自己做到最好
[00:06:28.880 --> 00:06:32.840]  耶穌基督渴望他的門徒跟隨者
[00:06:32.840 --> 00:06:35.720]  亦都要保持這一種態度
[00:06:35.720 --> 00:06:37.680]  這一種理念
[00:06:37.680 --> 00:06:41.880]  對別人就好像對自己那麼好
[00:06:41.880 --> 00:06:44.200]  尊重自己
[00:06:44.200 --> 00:06:47.800]  同樣是尊重別人
[00:06:47.800 --> 00:06:49.880]  這個愛
