
[00:00:00.000 --> 00:00:03.680]  在2008年,13年前
[00:00:03.680 --> 00:00:06.520]  我和太太收拾行裝
[00:00:06.520 --> 00:00:09.320]  從加拿大回到香港侍奉
[00:00:09.320 --> 00:00:11.880]  我其實18歲就離開了香港
[00:00:11.880 --> 00:00:14.680]  回來是55歲那時候
[00:00:14.680 --> 00:00:16.680]  那我就和太太說
[00:00:16.680 --> 00:00:18.680]  10年之後退休
[00:00:18.680 --> 00:00:20.320]  我們回到加拿大
[00:00:20.320 --> 00:00:22.320]  我會買一部好的車
[00:00:22.320 --> 00:00:24.320]  和你遊山換水
[00:00:24.320 --> 00:00:26.480]  因爲我們結了婚這麼多年
[00:00:26.480 --> 00:00:32.560]  其實也不是有很多機會可以兩個人遊山換水
[00:00:32.560 --> 00:00:36.400]  那爲什麼我要提買一部好車呢
[00:00:36.400 --> 00:00:39.200]  就因爲我們23歲結婚
[00:00:39.200 --> 00:00:41.480]  大學畢業那一年就結婚
[00:00:41.480 --> 00:00:42.720]  沒有錢的
[00:00:42.720 --> 00:00:44.480]  又要還學生貸款
[00:00:44.480 --> 00:00:46.480]  就買了個前七
[00:00:46.480 --> 00:00:48.480]  你們開過前七沒有
[00:00:48.480 --> 00:00:50.480]  前七是怎樣的
[00:00:50.480 --> 00:00:52.920]  前七有時車頭出煙
[00:00:52.920 --> 00:00:54.920]  有時車尾出煙
[00:00:54.920 --> 00:00:56.920]  有時走,有時停
[00:00:56.920 --> 00:00:58.920]  那我們還記得
[00:00:58.920 --> 00:01:00.920]  我們結婚
[00:01:00.920 --> 00:01:02.920]  蜜月旅程就兩天
[00:01:02.920 --> 00:01:04.920]  因爲沒有那麼多錢
[00:01:04.920 --> 00:01:06.920]  那就開個前七出去
[00:01:06.920 --> 00:01:08.920]  一天去就一天回
[00:01:08.920 --> 00:01:11.920]  中間就住在汽車旅店
[00:01:11.920 --> 00:01:13.920]  那這兩天的車程裏面呢
[00:01:13.920 --> 00:01:16.920]  就入了6罐雞油
[00:01:16.920 --> 00:01:18.920]  那些Motor Oil
[00:01:18.920 --> 00:01:20.920]  不是Gasoline 是雞油
[00:01:20.920 --> 00:01:22.920]  那你會不會入雞油的
[00:01:22.920 --> 00:01:24.920]  首先呢
[00:01:24.920 --> 00:01:26.920]  你要打開車頭蓋
[00:01:26.920 --> 00:01:29.920]  然後就擰開引擎蓋
[00:01:29.920 --> 00:01:31.920]  然後將Motor Oil倒在裏面
[00:01:31.920 --> 00:01:33.920]  那兩天的蜜月旅程呢
[00:01:33.920 --> 00:01:35.920]  就在超級公路旁邊
[00:01:35.920 --> 00:01:37.920]  停了6次
[00:01:37.920 --> 00:01:39.920]  每次入一罐雞油
[00:01:39.920 --> 00:01:41.920]  那我們退休之後呢
[00:01:41.920 --> 00:01:43.920]  應該會買較好的車
[00:01:43.920 --> 00:01:45.920]  那這個就是我們的
[00:01:45.920 --> 00:01:47.920]  退休消閒計劃
[00:01:47.920 --> 00:01:49.920]  55歲回來的時候想的
[00:01:49.920 --> 00:01:52.920]  誰知道64歲
[00:01:52.920 --> 00:01:55.920]  播道會總會就找我
[00:01:55.920 --> 00:01:57.920]  他說 羅牧師
[00:01:57.920 --> 00:01:59.920]  我們總會有個位叫總幹事
[00:01:59.920 --> 00:02:01.920]  其實就是CEO
[00:02:01.920 --> 00:02:03.920]  那個位 就空了13年
[00:02:03.920 --> 00:02:05.920]  那我們找不到適合的人
[00:02:05.920 --> 00:02:07.920]  我們覺得你適合的
[00:02:07.920 --> 00:02:09.920]  我們想請你們總會
[00:02:09.920 --> 00:02:11.920]  侍奉整頓一下
[00:02:11.920 --> 00:02:13.920]  這個空了13年
[00:02:13.920 --> 00:02:16.920]  沒有CEO這個總會
[00:02:16.920 --> 00:02:19.920]  這個機構
[00:02:19.920 --> 00:02:21.920]  那我和我太太祈禱之後呢
[00:02:21.920 --> 00:02:24.920]  那就接受了這個任命
[00:02:24.920 --> 00:02:26.920]  不接受都不行
[00:02:26.920 --> 00:02:28.920]  因爲12度金牌
[00:02:28.920 --> 00:02:30.920]  比岳飛還要厲害
[00:02:30.920 --> 00:02:33.920]  那斬猛坑差不多5年
[00:02:33.920 --> 00:02:35.920]  那這個退休消閒計劃
[00:02:35.920 --> 00:02:37.920]  怎麼實踐呢
[00:02:37.920 --> 00:02:39.920]  那兩年之前呢
[00:02:39.920 --> 00:02:41.920]  亞太地區的
[00:02:41.920 --> 00:02:43.920]  播道會呢
[00:02:43.920 --> 00:02:45.920]  就有個意義
[00:02:45.920 --> 00:02:47.920]  就是聯合一起
[00:02:47.920 --> 00:02:49.920]  去臺灣宣教
[00:02:49.920 --> 00:02:51.920]  去臺灣建立雙語教會
[00:02:51.920 --> 00:02:54.920]  就是英語和國語一起
[00:02:54.920 --> 00:02:56.920]  那你想象
[00:02:56.920 --> 00:02:58.920]  那些宣教士從全世界各地
[00:02:58.920 --> 00:03:00.920]  就播道會
[00:03:00.920 --> 00:03:02.920]  美國啊 加拿大啊 香港啊
[00:03:02.920 --> 00:03:04.920]  新加坡啊 馬來西亞啊這樣
[00:03:04.920 --> 00:03:06.920]  去臺灣
[00:03:06.920 --> 00:03:09.920]  那這個籌備委員會就跟我說
[00:03:09.920 --> 00:03:11.920]  兩年前 他說
[00:03:11.920 --> 00:03:13.920]  一年半前 他說 羅牧師
[00:03:13.920 --> 00:03:15.920]  我們需要找一個人
[00:03:15.920 --> 00:03:18.920]  帶領這個跨國宣教士的羣體
[00:03:18.920 --> 00:03:20.920]  那這個人呢
[00:03:20.920 --> 00:03:22.920]  我們覺得你就要合適
[00:03:22.920 --> 00:03:24.920]  這個人呢 又要有
[00:03:24.920 --> 00:03:26.920]  穆會計劃 又要有
[00:03:26.920 --> 00:03:28.920]  席堂計劃 又要有
[00:03:28.920 --> 00:03:30.920]  行政的經驗
[00:03:30.920 --> 00:03:32.920]  那這個人呢 又要會說國語
[00:03:32.920 --> 00:03:34.920]  會說廣東話 因爲
[00:03:34.920 --> 00:03:36.920]  亞太地區最大的播道會
[00:03:36.920 --> 00:03:38.920]  就是香港 那又要
[00:03:38.920 --> 00:03:40.920]  又要國語 廣東話 英文
[00:03:40.920 --> 00:03:42.920]  那我們想請你呢
[00:03:42.920 --> 00:03:44.920]  你做完你的總幹事之後呢
[00:03:44.920 --> 00:03:46.920]  你就去臺灣
[00:03:46.920 --> 00:03:48.920]  跟我們開科
[00:03:48.920 --> 00:03:50.920]  那我說
[00:03:50.920 --> 00:03:52.920]  我做完這個總幹事呢
[00:03:52.920 --> 00:03:54.920]  是2022年
[00:03:54.920 --> 00:03:56.920]  就是明年 我兩年半前說
[00:03:56.920 --> 00:03:58.920]  2022年1月
[00:03:58.920 --> 00:04:00.920]  那時候我69歲
[00:04:00.920 --> 00:04:02.920]  年紀大一點
[00:04:02.920 --> 00:04:04.920]  那他說沒辦法的了
[00:04:04.920 --> 00:04:06.920]  現在這個世界
[00:04:06.920 --> 00:04:08.920]  你看我們馬來西亞的總理
[00:04:08.920 --> 00:04:10.920]  做到90多
[00:04:10.920 --> 00:04:12.920]  美國的總統是70多
[00:04:12.920 --> 00:04:14.920]  那你60多就有什麼
[00:04:14.920 --> 00:04:16.920]  What's your problem
[00:04:16.920 --> 00:04:20.920]  那我跟太太
[00:04:20.920 --> 00:04:22.920]  祈禱了大半年
[00:04:22.920 --> 00:04:24.920]  我其實已經說過
