
[00:00:00.000 --> 00:00:05.320]  我們說的是下一站的幸福
[00:00:05.320 --> 00:00:12.380]  今天要說的是「克服摧毀關係的恐懼」
[00:00:12.380 --> 00:00:14.680]  為什麼要說這個題目呢?
[00:00:14.680 --> 00:00:18.160]  因為原來當神創造人的時候
[00:00:18.160 --> 00:00:21.120]  聖經講得很清楚 神是造男造女的
[00:00:21.120 --> 00:00:22.820]  所以就算你不相信耶穌
[00:00:22.820 --> 00:00:24.340]  我相信你也不會反對
[00:00:24.340 --> 00:00:28.020]  人是一個群居的動物
[00:00:28.020 --> 00:00:32.820]  人很多時候是很怕孤零零的一個人
[00:00:32.820 --> 00:00:37.600]  人的幸福很多時候是決定在跟別人相處的時候
[00:00:37.600 --> 00:00:40.820]  相處得開不開心 相處得快不快樂
[00:00:40.820 --> 00:00:42.820]  我們每個人都希望有伴侶
[00:00:42.820 --> 00:00:45.760]  每個人都需要有朋友
[00:00:45.760 --> 00:00:49.500]  有些人知道我有兩個星期去了加拿大
[00:00:49.500 --> 00:00:50.880]  一個星期去了多倫多
[00:00:50.880 --> 00:00:52.180]  一個星期去了溫哥華
[00:00:52.180 --> 00:00:53.880]  是有些人要服侍
[00:00:53.880 --> 00:00:58.440]  師母上個星期才去參加我
[00:00:58.440 --> 00:01:01.720]  她遲去 所以我就遲走
[00:01:01.720 --> 00:01:02.920]  我早去 我早點回來
[00:01:02.920 --> 00:01:04.260]  星期三我回來了
[00:01:04.260 --> 00:01:05.460]  發生什麼事接我回家
[00:01:05.460 --> 00:01:07.360]  然後就送我回家
[00:01:07.360 --> 00:01:09.140]  回家後有很多事情要做
[00:01:09.140 --> 00:01:11.440]  兩個星期不在 洗衣服 收拾東西
[00:01:11.440 --> 00:01:13.340]  搞了一大輪 睡得很晚
[00:01:13.340 --> 00:01:15.600]  翌日早上起床 做什麼?
[00:01:15.600 --> 00:01:17.880]  上班 上班
[00:01:17.880 --> 00:01:19.200]  一直有很多事情要做
[00:01:19.200 --> 00:01:21.540]  因為兩個星期不在 有很多事情要做
[00:01:21.540 --> 00:01:24.420]  一直做 做 做 沒有停過
[00:01:24.420 --> 00:01:26.920]  做到下班
[00:01:26.920 --> 00:01:29.920]  要走了 回家
[00:01:29.920 --> 00:01:34.420]  一上車 今晚吃什麼呢?
[00:01:34.420 --> 00:01:39.320]  開始有些失落的感覺
[00:01:39.320 --> 00:01:42.500]  不是第一次 第一次就糟糕了
[00:01:42.500 --> 00:01:44.500]  不是第一次 開始有些失落的感覺
